"Date_collected","Site","State","Quadrat","Height","Survival_status","Season"
2023-10-03,"ASHC","CT",1,126.88,"Live","fall"
2023-10-03,"ASHC","CT",1,37.81,"Live","fall"
2023-10-03,"ASHC","CT",1,27.95,"Live","fall"
2023-10-03,"ASHC","CT",1,16.64,"Live","fall"
2023-10-03,"ASHC","CT",1,23.29,"Live","fall"
2023-10-03,"ASHC","CT",1,31.3,"Live","fall"
2023-10-03,"ASHC","CT",1,63.89,"Live","fall"
2023-10-03,"ASHC","CT",1,27.5,"Live","fall"
2023-10-03,"ASHC","CT",1,59.36,"Live","fall"
2023-10-03,"ASHC","CT",1,16.18,"Live","fall"
2023-10-03,"ASHC","CT",1,108.67,"Live","fall"
2023-10-03,"ASHC","CT",1,176.72,"Live","fall"
2023-10-03,"ASHC","CT",1,14.76,"Live","fall"
2023-10-03,"ASHC","CT",1,11.79,"Live","fall"
2023-10-03,"ASHC","CT",1,37.24,"Live","fall"
2023-10-03,"ASHC","CT",1,97.13,"Live","fall"
2023-10-03,"ASHC","CT",1,63.07,"Live","fall"
2023-10-03,"ASHC","CT",1,34,"Live","fall"
2023-10-03,"ASHC","CT",1,32.99,"Live","fall"
2023-10-03,"ASHC","CT",1,34.14,"Live","fall"
2023-10-03,"ASHC","CT",1,78,"Live","fall"
2023-10-03,"ASHC","CT",1,72.04,"Live","fall"
2023-10-03,"ASHC","CT",1,40.4,"Live","fall"
2023-10-03,"ASHC","CT",1,62.48,"Live","fall"
2023-10-03,"ASHC","CT",1,41.36,"Live","fall"
2023-10-03,"ASHC","CT",1,78.73,"Live","fall"
2023-10-03,"ASHC","CT",1,90.53,"Live","fall"
2023-10-03,"ASHC","CT",1,120.93,"Live","fall"
2023-10-03,"ASHC","CT",1,100.64,"Live","fall"
2023-10-03,"ASHC","CT",1,85.8,"Live","fall"
2023-10-03,"ASHC","CT",1,110.02,"Live","fall"
2023-10-03,"ASHC","CT",1,72.93,"Live","fall"
2023-10-03,"ASHC","CT",1,94.32,"Live","fall"
2023-10-03,"ASHC","CT",1,55.71,"Live","fall"
2023-10-03,"ASHC","CT",1,55.23,"Live","fall"
2023-10-03,"ASHC","CT",1,53.13,"Live","fall"
2023-10-03,"ASHC","CT",1,110.63,"Live","fall"
2023-10-03,"ASHC","CT",1,67.86,"Live","fall"
2023-10-03,"ASHC","CT",1,161.31,"Live","fall"
2023-10-03,"ASHC","CT",1,63.85,"Live","fall"
2023-10-03,"ASHC","CT",1,73.29,"Live","fall"
2023-10-03,"ASHC","CT",1,153.97,"Live","fall"
2023-10-03,"ASHC","CT",1,24.39,"Live","fall"
2023-10-03,"ASHC","CT",1,161.63,"Live","fall"
2023-10-03,"ASHC","CT",1,114.7,"Live","fall"
2023-10-03,"ASHC","CT",1,39.11,"Live","fall"
2023-10-03,"ASHC","CT",1,117.93,"Live","fall"
2023-10-03,"ASHC","CT",1,59.37,"Live","fall"
2023-10-03,"ASHC","CT",1,61.06,"Live","fall"
2023-10-03,"ASHC","CT",1,181.46,"Live","fall"
2023-10-03,"ASHC","CT",1,112.96,"Live","fall"
2023-10-03,"ASHC","CT",1,39.08,"Live","fall"
2023-10-03,"ASHC","CT",1,112.48,"Live","fall"
2023-10-03,"ASHC","CT",1,57.32,"Live","fall"
2023-10-03,"ASHC","CT",1,59.74,"Live","fall"
2023-10-03,"ASHC","CT",1,58.92,"Live","fall"
2023-10-03,"ASHC","CT",1,115.28,"Live","fall"
2023-10-03,"ASHC","CT",1,126.56,"Live","fall"
2023-10-03,"ASHC","CT",1,59.61,"Live","fall"
2023-10-03,"ASHC","CT",1,44.82,"Live","fall"
2023-10-03,"ASHC","CT",1,40.21,"Live","fall"
2023-10-03,"ASHC","CT",1,92.66,"Live","fall"
2023-10-03,"ASHC","CT",1,98.63,"Live","fall"
2023-10-03,"ASHC","CT",1,111.11,"Live","fall"
2023-10-03,"ASHC","CT",1,87.19,"Live","fall"
2023-10-03,"ASHC","CT",1,59.49,"Live","fall"
2023-10-03,"ASHC","CT",1,133.06,"Live","fall"
2023-10-03,"ASHC","CT",1,88.79,"Live","fall"
2023-10-03,"ASHC","CT",1,96.51,"Live","fall"
2023-10-03,"ASHC","CT",1,74.09,"Live","fall"
2023-10-03,"ASHC","CT",1,52.65,"Live","fall"
2023-10-03,"ASHC","CT",1,120.12,"Live","fall"
2023-10-03,"ASHC","CT",1,87.09,"Live","fall"
2023-10-03,"ASHC","CT",1,51.99,"Live","fall"
2023-10-03,"ASHC","CT",1,99.85,"Live","fall"
