"Site_Name","N","Rugosity","sd","se","ci","Zone","Bed_Section"
"Ash Creek",15,0.588646288209607,0.166348363622417,0.042950962798565,0.0921206532436151,"All","NA"
"Ash Creek",4,0.785480349344978,0.0434629459331758,0.0217314729665879,0.0691592458508905,"IT_low","NA"
"Ash Creek",4,0.538755458515284,0.129851489517256,0.064925744758628,0.206622696524889,"IT_mid","NA"
"Ash Creek",7,0.504678727386151,0.139564055295917,0.0527502546109517,0.129075223158452,"IT_up","NA"
"Fence Creek",12,0.563136826783115,0.108846117831833,0.0314211677152273,0.0691575238539657,"All","All"
"Fence Creek",2,0.655021834061136,0.00617560507586545,0.00436681222707452,0.0554856102016399,"IT_low","FENC_Shade_UnderBridge"
"Fence Creek",2,0.459606986899563,0.0818267672552116,0.0578602620087335,0.735184335171678,"IT_up","FENC_Shade_UnderBridge"
"Fence Creek",4,0.649563318777292,0.0889497962818857,0.0444748981409429,0.141538975266513,"IT_up","FENC_Sun_GilmanLease"
"Fence Creek",2,0.46943231441048,0.0277902228413926,0.019650655021834,0.249685245907362,"IT_low","FENC_Sun_Oceanside"
"Fence Creek",2,0.495633187772925,0.064843853296583,0.0458515283842795,0.58259890711718,"IT_up","FENC_Sun_Oceanside"
