Site,Survival_status,Season,N,Count,sd,se,ci,PSE_all,PercentComplete_Quad
ASHC,Box,fall,9,17.77777778,6.924192693,2.308064231,5.322405661,12.9828613,75
ASHC,Box,spring,11,17.54545455,13.99545381,4.219788095,9.402273803,24.05060573,91.66666667
ASHC,Gaping,spring,2,2,0,0,0,0,16.66666667
ASHC,Live,fall,9,44.11111111,32.91065346,10.97021782,25.29736766,24.86951143,75
ASHC,Live,spring,11,37.09090909,30.77809138,9.279943716,20.67700314,25.0194561,91.66666667
FENC,Box,fall,12,10.41666667,8.826183499,2.547899709,5.60788945,24.45983721,100
FENC,Box,spring,12,16.83333333,7.837361956,2.262451517,4.979622215,13.44030604,100
FENC,Gaping,fall,2,2,0,0,0,0,16.66666667
FENC,Gaping,spring,5,1.4,0.547722558,0.244948974,0.680087381,17.49635531,41.66666667
FENC,Live,fall,11,44.36363636,28.93189495,8.723294548,19.4367115,19.66316394,91.66666667
FENC,Live,spring,12,56.91666667,27.50688619,7.940554073,17.47704168,13.9511931,100
GOLD,Box,fall,3,15.33333333,8.621678104,4.977728174,21.41743572,32.46344462,25
GOLD,Live,fall,3,39.33333333,20.0333056,11.56623438,49.76548994,29.40568063,25
LAUR,Box,fall,3,10.33333333,3.511884584,2.02758751,8.724004935,19.62181461,25
LAUR,Live,fall,3,6,1,0.577350269,2.484137712,9.622504486,25
