"Site","Season","median_height","min_height","max_height","Q1","Q3","Survival_status"
"ASHC","fall",64.19,8.05,181.46,35.04,97.92,"All"
"ASHC","spring",65.6,8,167,28.13,90,"All"
"FENC","fall",62.02,5.08,189,41.25,95.5,"All"
"FENC","spring",53.91,5.82,232.1,26.33,86.6075,"All"
"GOLD","fall",81.805,25.44,159.97,51.7275,103.55,"All"
"LAUR","fall",108.44,83.18,139.32,100.83,116.62,"All"
"ASHC","fall",61.06,8.77,181.46,30.91,96.9,"Live"
"ASHC","spring",58.405,8,167,25.4075,84.225,"Live"
"FENC","fall",57.88,5.08,189,39.545,91.965,"Live"
"FENC","spring",51.8,5.82,183.66,25.385,86.52,"Live"
"GOLD","fall",93.415,27.97,159.97,71.605,111.09,"Live"
"LAUR","fall",115.815,105.59,125.6,111.975,117.7375,"Live"
"ASHC","fall",74.95,8.05,167.53,42.3875,100.965,"Box"
"ASHC","spring",76.55,9,160,54.83,99,"Box"
"FENC","fall",79.67,10.98,153.87,50.38,104,"Box"
"FENC","spring",61.24,7.59,232.1,34.06,88.4925,"Box"
"GOLD","fall",50.465,25.44,101.46,38.8975,61.965,"Box"
"LAUR","fall",102.27,83.18,139.32,98.265,111.115,"Box"
"ASHC","spring",65.505,24,98.81,54.75,74.21,"Gaper"
"FENC","spring",37.8,10.8,107.98,26.47,61.555,"Gaper"
