"Site_Name","N","AllCount_Mean","LiveCount_Mean","Quadrat_Zone","BoxCount_Mean","GaperCount_Mean","Bed_Section"
"Ash Creek",12,65.75,45.1666666666667,"All",20.25,0.333333333333333,"NA"
"Ash Creek",5,7.4,3.4,"IT_low",4,0,"NA"
"Ash Creek",4,57.75,42.75,"IT_mid",15,0,"NA"
"Ash Creek",3,173.666666666667,118,"IT_up",54.3333333333333,1.33333333333333,"NA"
"Fence Creek",12,108.5,82.75,"All",24.8333333333333,0.916666666666667,"All"
"Fence Creek",2,72,59.5,"IT_low",12,0.5,"FENC_Shade_UnderBridge"
"Fence Creek",2,172.5,134.5,"IT_up",35.5,2.5,"FENC_Shade_UnderBridge"
"Fence Creek",2,52.5,42,"IT_low",10,0.5,"FENC_Sun_GilmanLease"
"Fence Creek",2,21.5,12.5,"IT_up",9,0,"FENC_Sun_GilmanLease"
"Fence Creek",2,155,116,"IT_low",38.5,0.5,"FENC_Sun_Oceanside"
"Fence Creek",2,177.5,132,"IT_up",44,1.5,"FENC_Sun_Oceanside"
