Site,Survival_status,Season,Date_collected,N,Count,sd,se,ci,PSE_all,PercentComplete_Quad
ASHC,Box,Fall,10/3/2023,6,26.333333333333332,12.675435561221029,5.174724898753341,13.302053829150301,19.650854045898765,150
ASHC,Box,Fall,9/23/2024,4,46.75,8.220908303425682,4.110454151712841,13.081299628156609,8.792415297781478,100
ASHC,Box,Spring,5/1/2024,4,22.75,9.429563439877091,4.714781719938546,15.004539664837589,20.724315252477123,100
ASHC,Box,Spring,6/12/2024,12,20.25,22.20616212594235,6.410366840540644,14.109122286773482,31.65613254587972,300
ASHC,Gaping,Fall,10/3/2023,6,0,0,0,0,NA,150
ASHC,Gaping,Fall,9/23/2024,4,0.25,0.5,0.25,0.7956115763209269,100,100
ASHC,Gaping,Spring,5/1/2024,4,0.5,0.5773502691896257,0.28867513459481287,0.9186931155185393,57.735026918962575,100
ASHC,Gaping,Spring,6/12/2024,12,0.3333333333333333,0.778498944161523,0.22473328748774737,0.49463463073913994,67.41998624632421,300
ASHC,Live,Fall,10/3/2023,6,73.83333333333333,45.91477612562939,18.744628860319192,48.18460246408073,25.387759178761886,150
ASHC,Live,Fall,9/23/2024,4,155,82.92566952799758,41.46283476399879,131.95324530127684,26.75021597677341,100
ASHC,Live,Spring,5/1/2024,4,94,40.124805295477756,20.062402647738878,63.84751918141067,21.342981540147743,100
ASHC,Live,Spring,6/12/2024,12,45.166666666666664,48.64123453377491,14.041514925895335,30.90516597710088,31.088224928181557,300
FENC,Box,Fall,10/5/2023,12,10.75,9.186205072627306,2.6518289857562407,5.8366362447503475,24.66817661168596,300
FENC,Box,Fall,9/25/2024,4,17.5,4.509249752822894,2.254624876411447,7.175222607736346,12.883570722351125,100
FENC,Box,Spring,5/13/2024,4,28.75,17.308475765743594,8.654237882871797,27.541647375391648,30.101696983901903,100
FENC,Box,Spring,6/14/2024,12,24.833333333333332,17.81640374554423,5.1431527492405085,11.320002877162873,20.710682211706747,300
FENC,Gaping,Fall,10/5/2023,12,0.3333333333333333,0.778498944161523,0.22473328748774737,0.49463463073913994,67.41998624632421,300
FENC,Gaping,Fall,9/25/2024,4,0,0,0,0,NA,100
FENC,Gaping,Spring,5/13/2024,4,0,0,0,0,NA,100
FENC,Gaping,Spring,6/14/2024,12,0.9166666666666666,1.164500152881315,0.3361622383686938,0.7398880980326832,36.67224418567569,300
FENC,Live,Fall,10/5/2023,12,43.5,34.060107297113866,9.832306058308115,21.640759723815275,22.603002432892218,300
FENC,Live,Fall,9/25/2024,4,114,32.49615361854384,16.24807680927192,51.70863200963332,14.252698955501685,100
FENC,Live,Spring,5/13/2024,4,94.5,25.52776266472772,12.76388133236386,40.62036698726106,13.506752732660171,100
FENC,Live,Spring,6/14/2024,12,82.75,51.0723639910702,14.743321549197464,32.44983194024289,17.816702778486363,300
GOLD,Box,Fall,10/16/2023,3,15.333333333333334,8.621678104251709,4.977728174356026,21.417435717343764,32.46344461536539,75
GOLD,Box,Fall,8/14/2024,6,27.166666666666668,15.158056163857776,6.188250515650159,15.907404369897352,22.778836253926965,150
GOLD,Gaping,Fall,10/16/2023,3,0,0,0,0,NA,75
GOLD,Gaping,Fall,8/14/2024,6,0,0,0,0,NA,150
GOLD,Live,Fall,10/16/2023,3,39.333333333333336,20.033305601755625,11.566234381931649,49.76548993634029,29.40568063202961,75
GOLD,Live,Fall,8/14/2024,6,28.333333333333332,25.555169079203267,10.432854089099708,26.81850521528375,36.82183796152838,150
LAUR,Box,Fall,10/17/2023,3,10.333333333333334,3.5118845842842465,2.0275875100994067,8.724004935135127,19.621814613865226,75
LAUR,Gaping,Fall,10/17/2023,3,0,0,0,0,NA,75
LAUR,Live,Fall,10/17/2023,3,6,1,0.5773502691896258,2.4841377117503303,9.622504486493764,75
