Time,Date,Temperature,Long,Lat,Site,24 hrs,Temperature,,Avg Temp,
 12:09:00 AM,6/10/2024 0:09,14.942745,-73.23568,41.14643,Ashc, 12:09:00 AM,14.942745,,16.46358537,Ashc
 12:39:00 AM,6/10/2024 0:39,14.861462,-73.23564,41.14642,Ashc, 12:39:00 AM,14.861462,,16.21837557,Gold
 1:09:00 AM,6/10/2024 1:09,14.756665,-73.23551,41.14641,Ashc, 1:09:00 AM,14.756665,,17.37298695,Fenc
 1:39:00 AM,6/10/2024 1:39,14.630848,-73.23541,41.14638,Ashc, 1:39:00 AM,14.630848,,,
 2:09:00 AM,6/10/2024 2:09,14.644482,-73.23536,41.1465,Ashc, 2:09:00 AM,14.644482,,,
 2:39:00 AM,6/10/2024 2:39,14.663523,-73.23537,41.1466,Ashc, 2:39:00 AM,14.663523,,,
 3:09:00 AM,6/10/2024 3:09,14.6654415,-73.23546,41.14661,Ashc, 3:09:00 AM,14.6654415,,,
 3:39:00 AM,6/10/2024 3:39,14.735701,-73.23555,41.14653,Ashc, 3:39:00 AM,14.735701,,,
 4:09:00 AM,6/10/2024 4:09,14.751863,-73.23565,41.14649,Ashc, 4:09:00 AM,14.751863,,,
  4:39:00 AM,6/10/2024 4:39,14.813473,-73.23568,41.14643,Ashc,  4:39:00 AM,14.813473,,,
  5:09:00 AM,6/10/2024 5:09,14.924687,-73.23594,41.14654,Ashc,  5:09:00 AM,14.924687,,,
  5:39:00 AM,6/10/2024 5:39,15.005145,-73.23593,41.14654,Ashc,  5:39:00 AM,15.005145,,,
 6:09:00 AM,6/10/2024 6:09,15.070552,-73.23589,41.14655,Ashc, 6:09:00 AM,15.070552,,,
  6:39:00 AM,6/10/2024 6:39,15.199521,-73.23587,41.14655,Ashc,  6:39:00 AM,15.199521,,,
  7:09:00 AM,6/10/2024 7:09,15.230465,-73.23583,41.14656,Ashc,  7:09:00 AM,15.230465,,,
  7:39:00 AM,6/10/2024 7:39,15.3541565,-73.23581,41.14652,Ashc,  7:39:00 AM,15.3541565,,,
  8:09:00 AM,6/10/2024 8:09,15.633265,-73.23584,41.14645,Ashc,  8:09:00 AM,15.633265,,,
  8:39:00 AM,6/10/2024 8:39,16.459465,-73.23575,41.14635,Ashc,  8:39:00 AM,16.459465,,,
  9:09:00 AM,6/10/2024 9:09,16.896015,-73.23572,41.14627,Ashc,  9:09:00 AM,16.896015,,,
  9:39:00 AM,6/10/2024 9:39,17.637365,-73.23577,41.14618,Ashc,  9:39:00 AM,17.637365,,,
  10:09:00 AM,6/10/2024 10:09,17.048262,-73.23588,41.14614,Ashc,  10:09:00 AM,17.048262,,,
