Field ID,Date,Site,State,Quadrat_size,Quadrat,Zone,Region,Percent_coverage,Live_count,Box_count,Gaper_count,Bed_height,Rugosity
1023ASHC,10/3/2023,ASHC,CT,0.25,1,upper,,90,87,25,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,2,upper,,90,91,28,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,3,upper,,100,143,48,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,4,mid,,80,34,21,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,5,mid,,90,13,9,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,6,mid,,90,75,27,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,7,lower,,80,32,11,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,8,lower,,90,2,8,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,9,lower,,50,8,16,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,10,,,,0,0,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,11,,,,0,0,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,12,,,,0,0,0,,
