Field ID,Date,Site,State,Quadrat_size,Quadrat,Percent_coverage,Live_count,Box_count,Gaper_count,Bed_height,Rugosity
1023ASHC,10/3/2023,ASHC,CT,0.25,1,90,87,25,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,2,90,91,28,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,3,100,143,48,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,4,80,34,21,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,5,90,13,9,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,6,90,75,27,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,7,,0,0,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,8,,0,0,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,9,,0,0,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,10,,0,0,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,11,,0,0,0,,
1023ASHC,10/3/2023,ASHC,CT,0.25,12,,0,0,0,,
