Field ID,Date,Site,State,Quadrat_size,Quadrat,Zone,Region,Percent_coverage,Live_count,Box_count,Gaper_count,Bed_height,Rugosity,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,1,upper,oceanside_sun,100,92,23,0,,,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,2,upper,oceanside_sun,50,32,5,0,,,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,3,upper,under_bridge,100,80,9,0,,,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,4,upper,under_bridge,100,59,31,0,,,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,5,upper,lease_sun,15,4,9,0,,,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,6,upper,lease_sun,15,16,5,0,,,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,7,lower,oceanside_sun,80,69,2,0,,,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,8,lower,oceanside_sun,100,96,20,2,,,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,9,lower,under_bridge,50,21,12,2,,,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,10,lower,under_bridge,20,0,2,0,,,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,11,lower,lease_sun,100,25,6,0,,,,,,,,,,,,,,,,,
1023FENC,10-5-23,FENC,CT,0.25,12,lower,lease_sun,25,28,5,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
