Field ID,Date,Site,State,Quadrat_size,Quadrat,Percent_coverage,Live_count,Box_count,Gaper_count,Bed_height,Rugosity
1023GOLD,10-16-23,GOLD,NY,0.25,1,100,20,6,0,15,
1023GOLD,10-16-23,GOLD,NY,0.25,2,100,38,23,0,30,
1023GOLD,10-16-23,GOLD,NY,0.25,3,100,60,17,0,30,
1023GOLD,10-16-23,GOLD,NY,0.25,4,,0,0,0,,
1023GOLD,10-16-23,GOLD,NY,0.25,5,,0,0,0,,
1023GOLD,10-16-23,GOLD,NY,0.25,6,,0,0,0,,
1023GOLD,10-16-23,GOLD,NY,0.25,7,,0,0,,,
1023GOLD,10-16-23,GOLD,NY,0.25,8,,0,0,,,
1023GOLD,10-16-23,GOLD,NY,0.25,9,,0,0,,,
1023GOLD,10-16-23,GOLD,NY,0.25,10,,0,0,,,
1023GOLD,10-16-23,GOLD,NY,0.25,11,,0,0,,,
1023GOLD,10-16-23,GOLD,NY,0.25,12,,0,0,,,
