Field ID,Date,Site,State,Quadrat_size,Quadrat,Percent_coverage,Live_count,Box_count,Gaper_count,Bed_height,Rugosity
1023LAUR,10-17-23,LAUR,NY,0.5,1,30,5,7,0,7,
1023LAUR,10-17-23,LAUR,NY,0.5,2,40,6,10,0,6,
1023LAUR,10-17-23,LAUR,NY,0.5,3,40,7,14,0,4,
1023LAUR,10-17-23,LAUR,NY,0.5,4,,0,0,0,,
1023LAUR,10-17-23,LAUR,NY,0.5,5,,0,0,,,
1023LAUR,10-17-23,LAUR,NY,0.5,6,,0,0,,,
1023LAUR,10-17-23,LAUR,NY,0.5,7,,0,0,,,
1023LAUR,10-17-23,LAUR,NY,0.5,8,,0,0,,,
1023LAUR,10-17-23,LAUR,NY,0.5,9,,0,0,,,
1023LAUR,10-17-23,LAUR,NY,0.5,10,,0,0,,,
1023LAUR,10-17-23,LAUR,NY,0.5,11,,0,0,,,
1023LAUR,10-17-23,LAUR,NY,0.5,12,,0,0,,,
