Field ID,Date_collected,Site,State,Quadrat,Count,Height_live,Height_box,Height_gaper
0524ASHC,5/1/2024,ASHC,CT,1,1,,87.75,
0524ASHC,5/1/2024,ASHC,CT,1,2,71.4,,
0524ASHC,5/1/2024,ASHC,CT,1,3,126.97,,
0524ASHC,5/1/2024,ASHC,CT,1,4,144.32,,
0524ASHC,5/1/2024,ASHC,CT,1,5,69.6,,
0524ASHC,5/1/2024,ASHC,CT,1,6,133.68,,
0524ASHC,5/1/2024,ASHC,CT,1,7,,144.64,
0524ASHC,5/1/2024,ASHC,CT,1,8,34.61,,
0524ASHC,5/1/2024,ASHC,CT,1,9,98.95,,
0524ASHC,5/1/2024,ASHC,CT,1,10,,113.82,
0524ASHC,5/1/2024,ASHC,CT,1,11,61.57,,
0524ASHC,5/1/2024,ASHC,CT,1,12,69.42,,
0524ASHC,5/1/2024,ASHC,CT,1,13,144.5,,
0524ASHC,5/1/2024,ASHC,CT,1,14,,124.55,
0524ASHC,5/1/2024,ASHC,CT,1,15,,85.78,
0524ASHC,5/1/2024,ASHC,CT,1,16,55.83,,
0524ASHC,5/1/2024,ASHC,CT,1,17,86.1,,
0524ASHC,5/1/2024,ASHC,CT,1,18,129.33,,
0524ASHC,5/1/2024,ASHC,CT,1,19,129.33,,
0524ASHC,5/1/2024,ASHC,CT,1,20,168.17,,
0524ASHC,5/1/2024,ASHC,CT,1,21,160.8,,
0524ASHC,5/1/2024,ASHC,CT,1,22,88.62,,
0524ASHC,5/1/2024,ASHC,CT,1,23,64.67,,
0524ASHC,5/1/2024,ASHC,CT,1,24,,105.45,
0524ASHC,5/1/2024,ASHC,CT,1,25,119.7,,
0524ASHC,5/1/2024,ASHC,CT,1,26,68.6,,
0524ASHC,5/1/2024,ASHC,CT,1,27,134.32,,
0524ASHC,5/1/2024,ASHC,CT,1,28,,87.85,
0524ASHC,5/1/2024,ASHC,CT,1,29,123.96,,
0524ASHC,5/1/2024,ASHC,CT,1,30,97.29,,
0524ASHC,5/1/2024,ASHC,CT,1,31,25.93,,
0524ASHC,5/1/2024,ASHC,CT,1,32,66.77,,
0524ASHC,5/1/2024,ASHC,CT,1,33,53.38,,
0524ASHC,5/1/2024,ASHC,CT,1,34,,129.43,
0524ASHC,5/1/2024,ASHC,CT,1,35,98.05,,
0524ASHC,5/1/2024,ASHC,CT,1,36,73.88,,
0524ASHC,5/1/2024,ASHC,CT,1,37,32.55,,
0524ASHC,5/1/2024,ASHC,CT,1,38,124.88,,
0524ASHC,5/1/2024,ASHC,CT,1,39,,130.2,
0524ASHC,5/1/2024,ASHC,CT,1,40,,29.96,
0524ASHC,5/1/2024,ASHC,CT,1,41,141.88,,
0524ASHC,5/1/2024,ASHC,CT,1,42,114.12,,
0524ASHC,5/1/2024,ASHC,CT,1,43,25.84,,
0524ASHC,5/1/2024,ASHC,CT,1,44,35.54,,
0524ASHC,5/1/2024,ASHC,CT,1,45,104.07,,
0524ASHC,5/1/2024,ASHC,CT,1,46,74.03,,
0524ASHC,5/1/2024,ASHC,CT,1,47,71.08,,
0524ASHC,5/1/2024,ASHC,CT,1,48,143.5,,
0524ASHC,5/1/2024,ASHC,CT,1,49,,100.96,
0524ASHC,5/1/2024,ASHC,CT,1,50,26.65,,
0524ASHC,5/1/2024,ASHC,CT,1,51,21.15,,
0524ASHC,5/1/2024,ASHC,CT,1,52,108.63,,
0524ASHC,5/1/2024,ASHC,CT,1,53,35,,
0524ASHC,5/1/2024,ASHC,CT,1,54,15.39,,
0524ASHC,5/1/2024,ASHC,CT,1,55,136.81,,
0524ASHC,5/1/2024,ASHC,CT,1,56,61.54,,
0524ASHC,5/1/2024,ASHC,CT,1,57,,,
0524ASHC,5/1/2024,ASHC,CT,1,58,,,
0524ASHC,5/1/2024,ASHC,CT,1,59,,,
0524ASHC,5/1/2024,ASHC,CT,1,60,,,
0524ASHC,5/1/2024,ASHC,CT,1,61,,,
0524ASHC,5/1/2024,ASHC,CT,1,62,,,
0524ASHC,5/1/2024,ASHC,CT,1,63,,,
0524ASHC,5/1/2024,ASHC,CT,1,64,,,
0524ASHC,5/1/2024,ASHC,CT,1,65,,,
0524ASHC,5/1/2024,ASHC,CT,1,66,,,
0524ASHC,5/1/2024,ASHC,CT,1,67,,,
0524ASHC,5/1/2024,ASHC,CT,1,68,,,
0524ASHC,5/1/2024,ASHC,CT,1,69,,,
0524ASHC,5/1/2024,ASHC,CT,1,70,,,
0524ASHC,5/1/2024,ASHC,CT,1,71,,,
0524ASHC,5/1/2024,ASHC,CT,1,72,,,
0524ASHC,5/1/2024,ASHC,CT,1,73,,,
0524ASHC,5/1/2024,ASHC,CT,1,74,,,
0524ASHC,5/1/2024,ASHC,CT,1,75,,,
0524ASHC,5/1/2024,ASHC,CT,1,76,,,
0524ASHC,5/1/2024,ASHC,CT,1,77,,,
0524ASHC,5/1/2024,ASHC,CT,1,78,,,
0524ASHC,5/1/2024,ASHC,CT,1,79,,,
0524ASHC,5/1/2024,ASHC,CT,1,80,,,
0524ASHC,5/1/2024,ASHC,CT,1,81,,,
0524ASHC,5/1/2024,ASHC,CT,1,82,,,
0524ASHC,5/1/2024,ASHC,CT,1,83,,,
0524ASHC,5/1/2024,ASHC,CT,1,84,,,
0524ASHC,5/1/2024,ASHC,CT,1,85,,,
0524ASHC,5/1/2024,ASHC,CT,1,86,,,
0524ASHC,5/1/2024,ASHC,CT,1,87,,,
0524ASHC,5/1/2024,ASHC,CT,1,88,,,
0524ASHC,5/1/2024,ASHC,CT,1,89,,,
0524ASHC,5/1/2024,ASHC,CT,1,90,,,
0524ASHC,5/1/2024,ASHC,CT,1,91,,,
0524ASHC,5/1/2024,ASHC,CT,1,92,,,
0524ASHC,5/1/2024,ASHC,CT,1,93,,,
0524ASHC,5/1/2024,ASHC,CT,1,94,,,
0524ASHC,5/1/2024,ASHC,CT,1,95,,,
0524ASHC,5/1/2024,ASHC,CT,1,96,,,
0524ASHC,5/1/2024,ASHC,CT,1,97,,,
0524ASHC,5/1/2024,ASHC,CT,1,98,,,
0524ASHC,5/1/2024,ASHC,CT,1,99,,,
0524ASHC,5/1/2024,ASHC,CT,1,100,,,
0524ASHC,5/1/2024,ASHC,CT,2,1,,72.16,
0524ASHC,5/1/2024,ASHC,CT,2,2,,119.94,
0524ASHC,5/1/2024,ASHC,CT,2,3,17.03,,
0524ASHC,5/1/2024,ASHC,CT,2,4,75.69,,
0524ASHC,5/1/2024,ASHC,CT,2,5,21.35,,
0524ASHC,5/1/2024,ASHC,CT,2,6,94.17,,
0524ASHC,5/1/2024,ASHC,CT,2,7,62.07,,
0524ASHC,5/1/2024,ASHC,CT,2,8,16.44,,
0524ASHC,5/1/2024,ASHC,CT,2,9,54.23,,
0524ASHC,5/1/2024,ASHC,CT,2,10,6.97,,
0524ASHC,5/1/2024,ASHC,CT,2,11,,82.01,
0524ASHC,5/1/2024,ASHC,CT,2,12,,84.46,
0524ASHC,5/1/2024,ASHC,CT,2,13,,84.53,
0524ASHC,5/1/2024,ASHC,CT,2,14,,101.46,
0524ASHC,5/1/2024,ASHC,CT,2,15,32.36,,
0524ASHC,5/1/2024,ASHC,CT,2,16,26.46,,
0524ASHC,5/1/2024,ASHC,CT,2,17,28.34,,
0524ASHC,5/1/2024,ASHC,CT,2,18,34.74,,
0524ASHC,5/1/2024,ASHC,CT,2,19,15.21,,
0524ASHC,5/1/2024,ASHC,CT,2,20,16.1,,
0524ASHC,5/1/2024,ASHC,CT,2,21,35.04,,
0524ASHC,5/1/2024,ASHC,CT,2,22,56.67,,
0524ASHC,5/1/2024,ASHC,CT,2,23,,100.33,
0524ASHC,5/1/2024,ASHC,CT,2,24,37.05,,
0524ASHC,5/1/2024,ASHC,CT,2,25,85.75,,
0524ASHC,5/1/2024,ASHC,CT,2,26,83.71,,
0524ASHC,5/1/2024,ASHC,CT,2,27,24.97,,
0524ASHC,5/1/2024,ASHC,CT,2,28,29.34,,
0524ASHC,5/1/2024,ASHC,CT,2,29,88.91,,
0524ASHC,5/1/2024,ASHC,CT,2,30,15.99,,
0524ASHC,5/1/2024,ASHC,CT,2,31,78.19,,
0524ASHC,5/1/2024,ASHC,CT,2,32,111.03,,
0524ASHC,5/1/2024,ASHC,CT,2,33,68.99,,
0524ASHC,5/1/2024,ASHC,CT,2,34,,89.54,
0524ASHC,5/1/2024,ASHC,CT,2,35,20.09,,
0524ASHC,5/1/2024,ASHC,CT,2,36,,89.41,
0524ASHC,5/1/2024,ASHC,CT,2,37,,68.97,
0524ASHC,5/1/2024,ASHC,CT,2,38,68.61,,
0524ASHC,5/1/2024,ASHC,CT,2,39,56.05,,
0524ASHC,5/1/2024,ASHC,CT,2,40,60.06,,
0524ASHC,5/1/2024,ASHC,CT,2,41,76.99,,
0524ASHC,5/1/2024,ASHC,CT,2,42,60.53,,
0524ASHC,5/1/2024,ASHC,CT,2,43,82.97,,
0524ASHC,5/1/2024,ASHC,CT,2,44,52.49,,
0524ASHC,5/1/2024,ASHC,CT,2,45,99.23,,
0524ASHC,5/1/2024,ASHC,CT,2,46,70.91,,
0524ASHC,5/1/2024,ASHC,CT,2,47,23.43,,
0524ASHC,5/1/2024,ASHC,CT,2,48,84.52,,
0524ASHC,5/1/2024,ASHC,CT,2,49,22.82,,
0524ASHC,5/1/2024,ASHC,CT,2,50,33.82,,
0524ASHC,5/1/2024,ASHC,CT,2,51,120.69,,
0524ASHC,5/1/2024,ASHC,CT,2,52,24.37,,
0524ASHC,5/1/2024,ASHC,CT,2,53,81.53,,
0524ASHC,5/1/2024,ASHC,CT,2,54,17.24,,
0524ASHC,5/1/2024,ASHC,CT,2,55,26.33,,
0524ASHC,5/1/2024,ASHC,CT,2,56,63.46,,
0524ASHC,5/1/2024,ASHC,CT,2,57,76.43,,
0524ASHC,5/1/2024,ASHC,CT,2,58,28.32,,
0524ASHC,5/1/2024,ASHC,CT,2,59,21.91,,
0524ASHC,5/1/2024,ASHC,CT,2,60,,47.38,
0524ASHC,5/1/2024,ASHC,CT,2,61,66.38,,
0524ASHC,5/1/2024,ASHC,CT,2,62,,98.28,
0524ASHC,5/1/2024,ASHC,CT,2,63,,18.12,
0524ASHC,5/1/2024,ASHC,CT,2,64,14.97,,
0524ASHC,5/1/2024,ASHC,CT,2,65,90.36,,
0524ASHC,5/1/2024,ASHC,CT,2,66,117.97,,
0524ASHC,5/1/2024,ASHC,CT,2,67,35.81,,
0524ASHC,5/1/2024,ASHC,CT,2,68,11.91,,
0524ASHC,5/1/2024,ASHC,CT,2,69,25.48,,
0524ASHC,5/1/2024,ASHC,CT,2,70,28.98,,
0524ASHC,5/1/2024,ASHC,CT,2,71,37.81,,
0524ASHC,5/1/2024,ASHC,CT,2,72,66.67,,
0524ASHC,5/1/2024,ASHC,CT,2,73,103.14,,
0524ASHC,5/1/2024,ASHC,CT,2,74,18.62,,
0524ASHC,5/1/2024,ASHC,CT,2,75,40.67,,
0524ASHC,5/1/2024,ASHC,CT,2,76,,90.03,
0524ASHC,5/1/2024,ASHC,CT,2,77,74.23,,
0524ASHC,5/1/2024,ASHC,CT,2,78,15.58,,
0524ASHC,5/1/2024,ASHC,CT,2,79,68.79,,
0524ASHC,5/1/2024,ASHC,CT,2,80,102.44,,
0524ASHC,5/1/2024,ASHC,CT,2,81,72.05,,
0524ASHC,5/1/2024,ASHC,CT,2,82,,54.85,
0524ASHC,5/1/2024,ASHC,CT,2,83,103.08,,
0524ASHC,5/1/2024,ASHC,CT,2,84,59.7,,
