Field ID,Date_collected,Site,State,Quadrat,Count,Height_live,Height_box,Height_gaper
0524FENC,5/13/2024,FENC,CT,1,1,92.58,,
0524FENC,5/13/2024,FENC,CT,1,2,50.3,,
0524FENC,5/13/2024,FENC,CT,1,3,93.45,,
0524FENC,5/13/2024,FENC,CT,1,4,73.25,,
0524FENC,5/13/2024,FENC,CT,1,5,73.82,,
0524FENC,5/13/2024,FENC,CT,1,6,47.04,,
0524FENC,5/13/2024,FENC,CT,1,7,71.79,,
0524FENC,5/13/2024,FENC,CT,1,8,101.23,,
0524FENC,5/13/2024,FENC,CT,1,9,96.51,,
0524FENC,5/13/2024,FENC,CT,1,10,61.98,,
0524FENC,5/13/2024,FENC,CT,1,11,,39.08,
0524FENC,5/13/2024,FENC,CT,1,12,97.19,,
0524FENC,5/13/2024,FENC,CT,1,13,72.68,,
0524FENC,5/13/2024,FENC,CT,1,14,95.72,,
0524FENC,5/13/2024,FENC,CT,1,15,12.38,,
0524FENC,5/13/2024,FENC,CT,1,16,86.1,,
0524FENC,5/13/2024,FENC,CT,1,17,57.36,,
0524FENC,5/13/2024,FENC,CT,1,18,75.32,,
0524FENC,5/13/2024,FENC,CT,1,19,17.89,,
0524FENC,5/13/2024,FENC,CT,1,20,93.53,,
0524FENC,5/13/2024,FENC,CT,1,21,52.37,,
0524FENC,5/13/2024,FENC,CT,1,22,29.64,,
0524FENC,5/13/2024,FENC,CT,1,23,49.18,,
0524FENC,5/13/2024,FENC,CT,1,24,91.77,,
0524FENC,5/13/2024,FENC,CT,1,25,25.98,,
0524FENC,5/13/2024,FENC,CT,1,26,51.19,,
0524FENC,5/13/2024,FENC,CT,1,27,160.01,,
0524FENC,5/13/2024,FENC,CT,1,28,,93.01,
0524FENC,5/13/2024,FENC,CT,1,29,,64.3,
0524FENC,5/13/2024,FENC,CT,1,30,86.95,,
0524FENC,5/13/2024,FENC,CT,1,31,48.64,,
0524FENC,5/13/2024,FENC,CT,1,32,,90.47,
0524FENC,5/13/2024,FENC,CT,1,33,,20.67,
0524FENC,5/13/2024,FENC,CT,1,34,,25.49,
0524FENC,5/13/2024,FENC,CT,1,35,104.6,,
0524FENC,5/13/2024,FENC,CT,1,36,53.43,,
0524FENC,5/13/2024,FENC,CT,1,37,61.08,,
0524FENC,5/13/2024,FENC,CT,1,38,113.61,,
0524FENC,5/13/2024,FENC,CT,1,39,76.55,,
0524FENC,5/13/2024,FENC,CT,1,40,30.78,,
0524FENC,5/13/2024,FENC,CT,1,41,31.57,,
0524FENC,5/13/2024,FENC,CT,1,42,,75.15,
0524FENC,5/13/2024,FENC,CT,1,43,114.32,,
0524FENC,5/13/2024,FENC,CT,1,44,97.25,,
0524FENC,5/13/2024,FENC,CT,1,45,94.37,,
0524FENC,5/13/2024,FENC,CT,1,46,105.27,,
0524FENC,5/13/2024,FENC,CT,1,47,112.4,,
0524FENC,5/13/2024,FENC,CT,1,48,100.82,,
0524FENC,5/13/2024,FENC,CT,1,49,46.51,,
0524FENC,5/13/2024,FENC,CT,1,50,97.56,,
0524FENC,5/13/2024,FENC,CT,1,51,,76.43,
0524FENC,5/13/2024,FENC,CT,1,52,44.35,,
0524FENC,5/13/2024,FENC,CT,1,53,,37.69,
0524FENC,5/13/2024,FENC,CT,1,54,72.5,,
0524FENC,5/13/2024,FENC,CT,1,55,,110.01,
0524FENC,5/13/2024,FENC,CT,1,56,,91.53,
0524FENC,5/13/2024,FENC,CT,1,57,22.51,,
0524FENC,5/13/2024,FENC,CT,1,58,133.75,,
0524FENC,5/13/2024,FENC,CT,1,59,54.6,,
0524FENC,5/13/2024,FENC,CT,1,60,44.31,,
0524FENC,5/13/2024,FENC,CT,1,61,76.4,,
0524FENC,5/13/2024,FENC,CT,1,62,49.77,,
0524FENC,5/13/2024,FENC,CT,1,63,43.1,,
0524FENC,5/13/2024,FENC,CT,1,64,146.62,,
0524FENC,5/13/2024,FENC,CT,1,65,,101.09,
0524FENC,5/13/2024,FENC,CT,1,66,83.81,,
0524FENC,5/13/2024,FENC,CT,1,67,61.72,,
0524FENC,5/13/2024,FENC,CT,1,68,110.26,,
0524FENC,5/13/2024,FENC,CT,1,69,119.24,,
0524FENC,5/13/2024,FENC,CT,1,70,75.81,,
0524FENC,5/13/2024,FENC,CT,1,71,28.98,,
0524FENC,5/13/2024,FENC,CT,1,72,65.22,,
0524FENC,5/13/2024,FENC,CT,1,73,46.87,,
0524FENC,5/13/2024,FENC,CT,1,74,97.89,,
0524FENC,5/13/2024,FENC,CT,1,75,,46.53,
0524FENC,5/13/2024,FENC,CT,1,76,101.49,,
0524FENC,5/13/2024,FENC,CT,1,77,80.11,,
0524FENC,5/13/2024,FENC,CT,1,78,59.9,,
0524FENC,5/13/2024,FENC,CT,1,79,100.94,,
0524FENC,5/13/2024,FENC,CT,1,80,,102.22,
0524FENC,5/13/2024,FENC,CT,1,81,75.74,,
0524FENC,5/13/2024,FENC,CT,1,82,,77.88,
0524FENC,5/13/2024,FENC,CT,1,83,52.87,,
0524FENC,5/13/2024,FENC,CT,1,84,145,,
0524FENC,5/13/2024,FENC,CT,1,85,29.13,,
0524FENC,5/13/2024,FENC,CT,1,86,78.32,,
0524FENC,5/13/2024,FENC,CT,1,87,,74.11,
0524FENC,5/13/2024,FENC,CT,1,88,82.97,,
0524FENC,5/13/2024,FENC,CT,1,89,45.33,,
0524FENC,5/13/2024,FENC,CT,1,90,11.14,,
0524FENC,5/13/2024,FENC,CT,1,91,83.81,,
0524FENC,5/13/2024,FENC,CT,1,92,69.84,,
0524FENC,5/13/2024,FENC,CT,1,93,94.49,,
0524FENC,5/13/2024,FENC,CT,1,94,50.51,,
0524FENC,5/13/2024,FENC,CT,1,95,93.78,,
0524FENC,5/13/2024,FENC,CT,1,96,127.52,,
0524FENC,5/13/2024,FENC,CT,1,97,70.1,,
0524FENC,5/13/2024,FENC,CT,1,98,143.78,,
0524FENC,5/13/2024,FENC,CT,1,99,68.04,,
0524FENC,5/13/2024,FENC,CT,1,100,91.87,,
0524FENC,5/13/2024,FENC,CT,2,1,67.01,,
0524FENC,5/13/2024,FENC,CT,2,2,135.43,,
0524FENC,5/13/2024,FENC,CT,2,3,40.92,,
0524FENC,5/13/2024,FENC,CT,2,4,149.1,,
0524FENC,5/13/2024,FENC,CT,2,5,51.51,,
0524FENC,5/13/2024,FENC,CT,2,6,104.39,,
0524FENC,5/13/2024,FENC,CT,2,7,21.11,,
0524FENC,5/13/2024,FENC,CT,2,8,,132.49,
0524FENC,5/13/2024,FENC,CT,2,9,109.29,,
0524FENC,5/13/2024,FENC,CT,2,10,91.07,,
0524FENC,5/13/2024,FENC,CT,2,11,,21.1,
0524FENC,5/13/2024,FENC,CT,2,12,18.09,,
0524FENC,5/13/2024,FENC,CT,2,13,72.67,,
0524FENC,5/13/2024,FENC,CT,2,14,,117.91,
0524FENC,5/13/2024,FENC,CT,2,15,59.1,,
0524FENC,5/13/2024,FENC,CT,2,16,110.4,,
0524FENC,5/13/2024,FENC,CT,2,17,169.44,,
0524FENC,5/13/2024,FENC,CT,2,18,114.18,,
0524FENC,5/13/2024,FENC,CT,2,19,134.82,,
0524FENC,5/13/2024,FENC,CT,2,20,98.35,,
0524FENC,5/13/2024,FENC,CT,2,21,86.99,,
0524FENC,5/13/2024,FENC,CT,2,22,66.26,,
0524FENC,5/13/2024,FENC,CT,2,23,26.74,,
0524FENC,5/13/2024,FENC,CT,2,24,17.59,,
0524FENC,5/13/2024,FENC,CT,2,25,,27.18,
0524FENC,5/13/2024,FENC,CT,2,26,,32.42,
0524FENC,5/13/2024,FENC,CT,2,27,129.57,,
0524FENC,5/13/2024,FENC,CT,2,28,68.78,,
0524FENC,5/13/2024,FENC,CT,2,29,109.59,,
0524FENC,5/13/2024,FENC,CT,2,30,52.91,,
0524FENC,5/13/2024,FENC,CT,2,31,37.7,,
0524FENC,5/13/2024,FENC,CT,2,32,65.39,,
0524FENC,5/13/2024,FENC,CT,2,33,,133.51,
0524FENC,5/13/2024,FENC,CT,2,34,100.51,,
0524FENC,5/13/2024,FENC,CT,2,35,111.2,,
0524FENC,5/13/2024,FENC,CT,2,36,66.54,,
0524FENC,5/13/2024,FENC,CT,2,37,128.77,,
0524FENC,5/13/2024,FENC,CT,2,38,88,,
0524FENC,5/13/2024,FENC,CT,2,39,52.25,,
0524FENC,5/13/2024,FENC,CT,2,40,72.58,,
0524FENC,5/13/2024,FENC,CT,2,41,90.42,,
0524FENC,5/13/2024,FENC,CT,2,42,57.9,,
0524FENC,5/13/2024,FENC,CT,2,43,,54.31,
0524FENC,5/13/2024,FENC,CT,2,44,,66.32,
0524FENC,5/13/2024,FENC,CT,2,45,114.02,,
0524FENC,5/13/2024,FENC,CT,2,46,,113.86,
0524FENC,5/13/2024,FENC,CT,2,47,,79.53,
0524FENC,5/13/2024,FENC,CT,2,48,60.81,,
0524FENC,5/13/2024,FENC,CT,2,49,67.9,,
0524FENC,5/13/2024,FENC,CT,2,50,107.31,,
0524FENC,5/13/2024,FENC,CT,2,51,,107.19,
0524FENC,5/13/2024,FENC,CT,2,52,,54.9,
0524FENC,5/13/2024,FENC,CT,2,53,82.29,,
0524FENC,5/13/2024,FENC,CT,2,54,107.16,,
0524FENC,5/13/2024,FENC,CT,2,55,43.85,,
0524FENC,5/13/2024,FENC,CT,2,56,61.82,,
0524FENC,5/13/2024,FENC,CT,2,57,87.52,,
0524FENC,5/13/2024,FENC,CT,2,58,84.22,,
0524FENC,5/13/2024,FENC,CT,2,59,115.35,,
0524FENC,5/13/2024,FENC,CT,2,60,,105.76,
0524FENC,5/13/2024,FENC,CT,2,61,,90.94,
0524FENC,5/13/2024,FENC,CT,2,62,36.89,,
0524FENC,5/13/2024,FENC,CT,2,63,111.21,,
0524FENC,5/13/2024,FENC,CT,2,64,54.87,,
0524FENC,5/13/2024,FENC,CT,2,65,161.26,,
0524FENC,5/13/2024,FENC,CT,2,66,102.24,,
0524FENC,5/13/2024,FENC,CT,2,67,108.35,,
0524FENC,5/13/2024,FENC,CT,2,68,33.12,,
0524FENC,5/13/2024,FENC,CT,2,69,158.73,,
0524FENC,5/13/2024,FENC,CT,2,70,,94.1,
0524FENC,5/13/2024,FENC,CT,2,71,55.76,,
0524FENC,5/13/2024,FENC,CT,2,72,95.66,,
0524FENC,5/13/2024,FENC,CT,2,73,28.46,,
0524FENC,5/13/2024,FENC,CT,2,74,106.78,,
0524FENC,5/13/2024,FENC,CT,2,75,111.18,,
0524FENC,5/13/2024,FENC,CT,2,76,61.82,,
0524FENC,5/13/2024,FENC,CT,2,77,83.94,,
0524FENC,5/13/2024,FENC,CT,2,78,,64.01,
0524FENC,5/13/2024,FENC,CT,2,79,74.19,,
0524FENC,5/13/2024,FENC,CT,2,80,103.28,,
0524FENC,5/13/2024,FENC,CT,2,81,36.09,,
0524FENC,5/13/2024,FENC,CT,2,82,,101.12,
0524FENC,5/13/2024,FENC,CT,2,83,75.94,,
0524FENC,5/13/2024,FENC,CT,2,84,73.93,,
0524FENC,5/13/2024,FENC,CT,2,85,54.71,,
0524FENC,5/13/2024,FENC,CT,2,86,111.7,,
0524FENC,5/13/2024,FENC,CT,2,87,84.09,,
0524FENC,5/13/2024,FENC,CT,2,88,69.45,,
0524FENC,5/13/2024,FENC,CT,2,89,,71.65,
0524FENC,5/13/2024,FENC,CT,2,90,78.71,,
0524FENC,5/13/2024,FENC,CT,2,91,113.96,,
0524FENC,5/13/2024,FENC,CT,2,92,87.51,,
0524FENC,5/13/2024,FENC,CT,2,93,74.85,,
0524FENC,5/13/2024,FENC,CT,2,94,69.06,,
0524FENC,5/13/2024,FENC,CT,2,95,41.59,,
0524FENC,5/13/2024,FENC,CT,2,96,,54.21,
0524FENC,5/13/2024,FENC,CT,2,97,,,
0524FENC,5/13/2024,FENC,CT,2,98,,,
0524FENC,5/13/2024,FENC,CT,2,99,,,
0524FENC,5/13/2024,FENC,CT,2,100,,,
0524FENC,5/13/2024,FENC,CT,3,1,48.98,,
0524FENC,5/13/2024,FENC,CT,3,2,14.89,,
0524FENC,5/13/2024,FENC,CT,3,3,82.17,,
0524FENC,5/13/2024,FENC,CT,3,4,32.24,,
0524FENC,5/13/2024,FENC,CT,3,5,79.79,,
0524FENC,5/13/2024,FENC,CT,3,6,47.92,,
0524FENC,5/13/2024,FENC,CT,3,7,104.67,,
0524FENC,5/13/2024,FENC,CT,3,8,25.37,,
0524FENC,5/13/2024,FENC,CT,3,9,,93.03,
0524FENC,5/13/2024,FENC,CT,3,10,107.78,,
0524FENC,5/13/2024,FENC,CT,3,11,,88.33,
0524FENC,5/13/2024,FENC,CT,3,12,15.69,,
0524FENC,5/13/2024,FENC,CT,3,13,126.53,,
0524FENC,5/13/2024,FENC,CT,3,14,65.38,,
0524FENC,5/13/2024,FENC,CT,3,15,94.39,,
0524FENC,5/13/2024,FENC,CT,3,16,152.71,,
0524FENC,5/13/2024,FENC,CT,3,17,135.78,,
0524FENC,5/13/2024,FENC,CT,3,18,,93.72,
0524FENC,5/13/2024,FENC,CT,3,19,72.02,,
0524FENC,5/13/2024,FENC,CT,3,20,98.85,,
0524FENC,5/13/2024,FENC,CT,3,21,58.28,,
0524FENC,5/13/2024,FENC,CT,3,22,72.58,,
0524FENC,5/13/2024,FENC,CT,3,23,96.57,,
0524FENC,5/13/2024,FENC,CT,3,24,74.54,,
0524FENC,5/13/2024,FENC,CT,3,25,72.89,,
0524FENC,5/13/2024,FENC,CT,3,26,74.27,,
