Field ID,Date_collected,Site,State,Quadrat,Count,Height_live,Height_box,Height_gaper
0824GOLD,8/14/2024,GOLD,NY,1,1,,80.46,
0824GOLD,8/14/2024,GOLD,NY,1,2,,39.63,
0824GOLD,8/14/2024,GOLD,NY,1,3,,45.98,
0824GOLD,8/14/2024,GOLD,NY,1,4,,52.5,
0824GOLD,8/14/2024,GOLD,NY,1,5,,28.15,
0824GOLD,8/14/2024,GOLD,NY,1,6,,68.97,
0824GOLD,8/14/2024,GOLD,NY,1,7,90.09,,
0824GOLD,8/14/2024,GOLD,NY,1,8,,75.36,
0824GOLD,8/14/2024,GOLD,NY,1,9,,61.85,
0824GOLD,8/14/2024,GOLD,NY,1,10,,57.67,
0824GOLD,8/14/2024,GOLD,NY,1,11,,48.33,
0824GOLD,8/14/2024,GOLD,NY,1,12,87.54,,
0824GOLD,8/14/2024,GOLD,NY,1,13,,55.83,
0824GOLD,8/14/2024,GOLD,NY,1,14,,,
0824GOLD,8/14/2024,GOLD,NY,1,15,,,
0824GOLD,8/14/2024,GOLD,NY,1,16,,,
0824GOLD,8/14/2024,GOLD,NY,1,17,,,
0824GOLD,8/14/2024,GOLD,NY,1,18,,,
0824GOLD,8/14/2024,GOLD,NY,1,19,,,
0824GOLD,8/14/2024,GOLD,NY,1,20,,,
0824GOLD,8/14/2024,GOLD,NY,1,21,,,
0824GOLD,8/14/2024,GOLD,NY,1,22,,,
0824GOLD,8/14/2024,GOLD,NY,1,23,,,
0824GOLD,8/14/2024,GOLD,NY,1,24,,,
0824GOLD,8/14/2024,GOLD,NY,1,25,,,
0824GOLD,8/14/2024,GOLD,NY,1,26,,,
0824GOLD,8/14/2024,GOLD,NY,1,27,,,
0824GOLD,8/14/2024,GOLD,NY,1,28,,,
0824GOLD,8/14/2024,GOLD,NY,1,29,,,
0824GOLD,8/14/2024,GOLD,NY,1,30,,,
0824GOLD,8/14/2024,GOLD,NY,1,31,,,
0824GOLD,8/14/2024,GOLD,NY,1,32,,,
0824GOLD,8/14/2024,GOLD,NY,1,33,,,
0824GOLD,8/14/2024,GOLD,NY,1,34,,,
0824GOLD,8/14/2024,GOLD,NY,1,35,,,
0824GOLD,8/14/2024,GOLD,NY,1,36,,,
0824GOLD,8/14/2024,GOLD,NY,1,37,,,
0824GOLD,8/14/2024,GOLD,NY,1,38,,,
0824GOLD,8/14/2024,GOLD,NY,1,39,,,
0824GOLD,8/14/2024,GOLD,NY,1,40,,,
0824GOLD,8/14/2024,GOLD,NY,1,41,,,
0824GOLD,8/14/2024,GOLD,NY,1,42,,,
0824GOLD,8/14/2024,GOLD,NY,1,43,,,
0824GOLD,8/14/2024,GOLD,NY,1,44,,,
0824GOLD,8/14/2024,GOLD,NY,1,45,,,
0824GOLD,8/14/2024,GOLD,NY,1,46,,,
0824GOLD,8/14/2024,GOLD,NY,1,47,,,
0824GOLD,8/14/2024,GOLD,NY,1,48,,,
0824GOLD,8/14/2024,GOLD,NY,1,49,,,
0824GOLD,8/14/2024,GOLD,NY,1,50,,,
0824GOLD,8/14/2024,GOLD,NY,1,51,,,
0824GOLD,8/14/2024,GOLD,NY,1,52,,,
0824GOLD,8/14/2024,GOLD,NY,1,53,,,
0824GOLD,8/14/2024,GOLD,NY,1,54,,,
0824GOLD,8/14/2024,GOLD,NY,1,55,,,
0824GOLD,8/14/2024,GOLD,NY,1,56,,,
0824GOLD,8/14/2024,GOLD,NY,1,57,,,
0824GOLD,8/14/2024,GOLD,NY,1,58,,,
0824GOLD,8/14/2024,GOLD,NY,1,59,,,
0824GOLD,8/14/2024,GOLD,NY,1,60,,,
0824GOLD,8/14/2024,GOLD,NY,1,61,,,
0824GOLD,8/14/2024,GOLD,NY,1,62,,,
0824GOLD,8/14/2024,GOLD,NY,1,63,,,
0824GOLD,8/14/2024,GOLD,NY,1,64,,,
0824GOLD,8/14/2024,GOLD,NY,1,65,,,
0824GOLD,8/14/2024,GOLD,NY,1,66,,,
0824GOLD,8/14/2024,GOLD,NY,1,67,,,
0824GOLD,8/14/2024,GOLD,NY,1,68,,,
0824GOLD,8/14/2024,GOLD,NY,1,69,,,
0824GOLD,8/14/2024,GOLD,NY,1,70,,,
0824GOLD,8/14/2024,GOLD,NY,1,71,,,
0824GOLD,8/14/2024,GOLD,NY,1,72,,,
0824GOLD,8/14/2024,GOLD,NY,1,73,,,
0824GOLD,8/14/2024,GOLD,NY,1,74,,,
0824GOLD,8/14/2024,GOLD,NY,1,75,,,
0824GOLD,8/14/2024,GOLD,NY,1,76,,,
0824GOLD,8/14/2024,GOLD,NY,1,77,,,
0824GOLD,8/14/2024,GOLD,NY,1,78,,,
0824GOLD,8/14/2024,GOLD,NY,1,79,,,
0824GOLD,8/14/2024,GOLD,NY,1,80,,,
0824GOLD,8/14/2024,GOLD,NY,1,81,,,
0824GOLD,8/14/2024,GOLD,NY,1,82,,,
0824GOLD,8/14/2024,GOLD,NY,1,83,,,
0824GOLD,8/14/2024,GOLD,NY,1,84,,,
0824GOLD,8/14/2024,GOLD,NY,1,85,,,
0824GOLD,8/14/2024,GOLD,NY,1,86,,,
0824GOLD,8/14/2024,GOLD,NY,1,87,,,
0824GOLD,8/14/2024,GOLD,NY,1,88,,,
0824GOLD,8/14/2024,GOLD,NY,1,89,,,
0824GOLD,8/14/2024,GOLD,NY,1,90,,,
0824GOLD,8/14/2024,GOLD,NY,1,91,,,
0824GOLD,8/14/2024,GOLD,NY,1,92,,,
0824GOLD,8/14/2024,GOLD,NY,1,93,,,
0824GOLD,8/14/2024,GOLD,NY,1,94,,,
0824GOLD,8/14/2024,GOLD,NY,1,95,,,
0824GOLD,8/14/2024,GOLD,NY,1,96,,,
0824GOLD,8/14/2024,GOLD,NY,1,97,,,
0824GOLD,8/14/2024,GOLD,NY,1,98,,,
0824GOLD,8/14/2024,GOLD,NY,1,99,,,
0824GOLD,8/14/2024,GOLD,NY,1,100,,,
0824GOLD,8/14/2024,GOLD,NY,2,1,,95.26,
0824GOLD,8/14/2024,GOLD,NY,2,2,,57.96,
0824GOLD,8/14/2024,GOLD,NY,2,3,,56.32,
0824GOLD,8/14/2024,GOLD,NY,2,4,,57.43,
0824GOLD,8/14/2024,GOLD,NY,2,5,,42.2,
0824GOLD,8/14/2024,GOLD,NY,2,6,,52.6,
0824GOLD,8/14/2024,GOLD,NY,2,7,,61.03,
0824GOLD,8/14/2024,GOLD,NY,2,8,,51.55,
0824GOLD,8/14/2024,GOLD,NY,2,9,,43.38,
0824GOLD,8/14/2024,GOLD,NY,2,10,,62.6,
0824GOLD,8/14/2024,GOLD,NY,2,11,,67.77,
0824GOLD,8/14/2024,GOLD,NY,2,12,,69.93,
0824GOLD,8/14/2024,GOLD,NY,2,13,,41.22,
0824GOLD,8/14/2024,GOLD,NY,2,14,,63.1,
0824GOLD,8/14/2024,GOLD,NY,2,15,,41.2,
0824GOLD,8/14/2024,GOLD,NY,2,16,,54.65,
0824GOLD,8/14/2024,GOLD,NY,2,17,,67.73,
0824GOLD,8/14/2024,GOLD,NY,2,18,95.79,,
0824GOLD,8/14/2024,GOLD,NY,2,19,122.51,,
0824GOLD,8/14/2024,GOLD,NY,2,20,123.18,,
0824GOLD,8/14/2024,GOLD,NY,2,21,92.34,,
0824GOLD,8/14/2024,GOLD,NY,2,22,60.1,,
0824GOLD,8/14/2024,GOLD,NY,2,23,,42.84,
0824GOLD,8/14/2024,GOLD,NY,2,24,,,
0824GOLD,8/14/2024,GOLD,NY,2,25,,,
0824GOLD,8/14/2024,GOLD,NY,2,26,,,
0824GOLD,8/14/2024,GOLD,NY,2,27,,,
0824GOLD,8/14/2024,GOLD,NY,2,28,,,
0824GOLD,8/14/2024,GOLD,NY,2,29,,,
0824GOLD,8/14/2024,GOLD,NY,2,30,,,
0824GOLD,8/14/2024,GOLD,NY,2,31,,,
0824GOLD,8/14/2024,GOLD,NY,2,32,,,
0824GOLD,8/14/2024,GOLD,NY,2,33,,,
0824GOLD,8/14/2024,GOLD,NY,2,34,,,
0824GOLD,8/14/2024,GOLD,NY,2,35,,,
0824GOLD,8/14/2024,GOLD,NY,2,36,,,
0824GOLD,8/14/2024,GOLD,NY,2,37,,,
0824GOLD,8/14/2024,GOLD,NY,2,38,,,
0824GOLD,8/14/2024,GOLD,NY,2,39,,,
0824GOLD,8/14/2024,GOLD,NY,2,40,,,
0824GOLD,8/14/2024,GOLD,NY,2,41,,,
0824GOLD,8/14/2024,GOLD,NY,2,42,,,
0824GOLD,8/14/2024,GOLD,NY,2,43,,,
0824GOLD,8/14/2024,GOLD,NY,2,44,,,
0824GOLD,8/14/2024,GOLD,NY,2,45,,,
0824GOLD,8/14/2024,GOLD,NY,2,46,,,
0824GOLD,8/14/2024,GOLD,NY,2,47,,,
0824GOLD,8/14/2024,GOLD,NY,2,48,,,
0824GOLD,8/14/2024,GOLD,NY,2,49,,,
0824GOLD,8/14/2024,GOLD,NY,2,50,,,
0824GOLD,8/14/2024,GOLD,NY,2,51,,,
0824GOLD,8/14/2024,GOLD,NY,2,52,,,
0824GOLD,8/14/2024,GOLD,NY,2,53,,,
0824GOLD,8/14/2024,GOLD,NY,2,54,,,
0824GOLD,8/14/2024,GOLD,NY,2,55,,,
0824GOLD,8/14/2024,GOLD,NY,2,56,,,
0824GOLD,8/14/2024,GOLD,NY,2,57,,,
0824GOLD,8/14/2024,GOLD,NY,2,58,,,
0824GOLD,8/14/2024,GOLD,NY,2,59,,,
0824GOLD,8/14/2024,GOLD,NY,2,60,,,
0824GOLD,8/14/2024,GOLD,NY,2,61,,,
0824GOLD,8/14/2024,GOLD,NY,2,62,,,
0824GOLD,8/14/2024,GOLD,NY,2,63,,,
0824GOLD,8/14/2024,GOLD,NY,2,64,,,
0824GOLD,8/14/2024,GOLD,NY,2,65,,,
0824GOLD,8/14/2024,GOLD,NY,2,66,,,
0824GOLD,8/14/2024,GOLD,NY,2,67,,,
0824GOLD,8/14/2024,GOLD,NY,2,68,,,
0824GOLD,8/14/2024,GOLD,NY,2,69,,,
0824GOLD,8/14/2024,GOLD,NY,2,70,,,
0824GOLD,8/14/2024,GOLD,NY,2,71,,,
0824GOLD,8/14/2024,GOLD,NY,2,72,,,
0824GOLD,8/14/2024,GOLD,NY,2,73,,,
0824GOLD,8/14/2024,GOLD,NY,2,74,,,
0824GOLD,8/14/2024,GOLD,NY,2,75,,,
0824GOLD,8/14/2024,GOLD,NY,2,76,,,
0824GOLD,8/14/2024,GOLD,NY,2,77,,,
0824GOLD,8/14/2024,GOLD,NY,2,78,,,
0824GOLD,8/14/2024,GOLD,NY,2,79,,,
0824GOLD,8/14/2024,GOLD,NY,2,80,,,
0824GOLD,8/14/2024,GOLD,NY,2,81,,,
0824GOLD,8/14/2024,GOLD,NY,2,82,,,
0824GOLD,8/14/2024,GOLD,NY,2,83,,,
0824GOLD,8/14/2024,GOLD,NY,2,84,,,
0824GOLD,8/14/2024,GOLD,NY,2,85,,,
0824GOLD,8/14/2024,GOLD,NY,2,86,,,
0824GOLD,8/14/2024,GOLD,NY,2,87,,,
0824GOLD,8/14/2024,GOLD,NY,2,88,,,
0824GOLD,8/14/2024,GOLD,NY,2,89,,,
0824GOLD,8/14/2024,GOLD,NY,2,90,,,
0824GOLD,8/14/2024,GOLD,NY,2,91,,,
0824GOLD,8/14/2024,GOLD,NY,2,92,,,
0824GOLD,8/14/2024,GOLD,NY,2,93,,,
0824GOLD,8/14/2024,GOLD,NY,2,94,,,
0824GOLD,8/14/2024,GOLD,NY,2,95,,,
0824GOLD,8/14/2024,GOLD,NY,2,96,,,
0824GOLD,8/14/2024,GOLD,NY,2,97,,,
0824GOLD,8/14/2024,GOLD,NY,2,98,,,
0824GOLD,8/14/2024,GOLD,NY,2,99,,,
0824GOLD,8/14/2024,GOLD,NY,2,100,,,
0824GOLD,8/14/2024,GOLD,NY,3,1,147.69,,
0824GOLD,8/14/2024,GOLD,NY,3,2,135.85,,
0824GOLD,8/14/2024,GOLD,NY,3,3,,69.87,
0824GOLD,8/14/2024,GOLD,NY,3,4,,65,
0824GOLD,8/14/2024,GOLD,NY,3,5,83.68,,
0824GOLD,8/14/2024,GOLD,NY,3,6,90.61,,
0824GOLD,8/14/2024,GOLD,NY,3,7,105.08,,
0824GOLD,8/14/2024,GOLD,NY,3,8,106.97,,
0824GOLD,8/14/2024,GOLD,NY,3,9,123.04,,
0824GOLD,8/14/2024,GOLD,NY,3,10,112.26,,
0824GOLD,8/14/2024,GOLD,NY,3,11,73.56,,
0824GOLD,8/14/2024,GOLD,NY,3,12,107.72,,
0824GOLD,8/14/2024,GOLD,NY,3,13,105.24,,
0824GOLD,8/14/2024,GOLD,NY,3,14,,93.03,
0824GOLD,8/14/2024,GOLD,NY,3,15,,51.98,
0824GOLD,8/14/2024,GOLD,NY,3,16,98.39,,
0824GOLD,8/14/2024,GOLD,NY,3,17,88.57,,
0824GOLD,8/14/2024,GOLD,NY,3,18,93.67,,
0824GOLD,8/14/2024,GOLD,NY,3,19,89.39,,
0824GOLD,8/14/2024,GOLD,NY,3,20,,43.69,
0824GOLD,8/14/2024,GOLD,NY,3,21,,32.38,
0824GOLD,8/14/2024,GOLD,NY,3,22,,24.96,
0824GOLD,8/14/2024,GOLD,NY,3,23,,53.08,
0824GOLD,8/14/2024,GOLD,NY,3,24,,61.5,
0824GOLD,8/14/2024,GOLD,NY,3,25,,47.63,
0824GOLD,8/14/2024,GOLD,NY,3,26,104.89,,
0824GOLD,8/14/2024,GOLD,NY,3,27,82.35,,
0824GOLD,8/14/2024,GOLD,NY,3,28,,74.12,
0824GOLD,8/14/2024,GOLD,NY,3,29,,108.83,
0824GOLD,8/14/2024,GOLD,NY,3,30,,59.3,
0824GOLD,8/14/2024,GOLD,NY,3,31,,,
0824GOLD,8/14/2024,GOLD,NY,3,32,,,
0824GOLD,8/14/2024,GOLD,NY,3,33,,,
0824GOLD,8/14/2024,GOLD,NY,3,34,,,
0824GOLD,8/14/2024,GOLD,NY,3,35,,,
0824GOLD,8/14/2024,GOLD,NY,3,36,,,
0824GOLD,8/14/2024,GOLD,NY,3,37,,,
0824GOLD,8/14/2024,GOLD,NY,3,38,,,
0824GOLD,8/14/2024,GOLD,NY,3,39,,,
0824GOLD,8/14/2024,GOLD,NY,3,40,,,
0824GOLD,8/14/2024,GOLD,NY,3,41,,,
0824GOLD,8/14/2024,GOLD,NY,3,42,,,
0824GOLD,8/14/2024,GOLD,NY,3,43,,,
0824GOLD,8/14/2024,GOLD,NY,3,44,,,
0824GOLD,8/14/2024,GOLD,NY,3,45,,,
0824GOLD,8/14/2024,GOLD,NY,3,46,,,
0824GOLD,8/14/2024,GOLD,NY,3,47,,,
0824GOLD,8/14/2024,GOLD,NY,3,48,,,
0824GOLD,8/14/2024,GOLD,NY,3,49,,,
0824GOLD,8/14/2024,GOLD,NY,3,50,,,
0824GOLD,8/14/2024,GOLD,NY,3,51,,,
0824GOLD,8/14/2024,GOLD,NY,3,52,,,
0824GOLD,8/14/2024,GOLD,NY,3,53,,,
0824GOLD,8/14/2024,GOLD,NY,3,54,,,
0824GOLD,8/14/2024,GOLD,NY,3,55,,,
0824GOLD,8/14/2024,GOLD,NY,3,56,,,
0824GOLD,8/14/2024,GOLD,NY,3,57,,,
0824GOLD,8/14/2024,GOLD,NY,3,58,,,
0824GOLD,8/14/2024,GOLD,NY,3,59,,,
0824GOLD,8/14/2024,GOLD,NY,3,60,,,
0824GOLD,8/14/2024,GOLD,NY,3,61,,,
0824GOLD,8/14/2024,GOLD,NY,3,62,,,
0824GOLD,8/14/2024,GOLD,NY,3,63,,,
0824GOLD,8/14/2024,GOLD,NY,3,64,,,
0824GOLD,8/14/2024,GOLD,NY,3,65,,,
0824GOLD,8/14/2024,GOLD,NY,3,66,,,
0824GOLD,8/14/2024,GOLD,NY,3,67,,,
0824GOLD,8/14/2024,GOLD,NY,3,68,,,
0824GOLD,8/14/2024,GOLD,NY,3,69,,,
0824GOLD,8/14/2024,GOLD,NY,3,70,,,
0824GOLD,8/14/2024,GOLD,NY,3,71,,,
0824GOLD,8/14/2024,GOLD,NY,3,72,,,
0824GOLD,8/14/2024,GOLD,NY,3,73,,,
0824GOLD,8/14/2024,GOLD,NY,3,74,,,
0824GOLD,8/14/2024,GOLD,NY,3,75,,,
0824GOLD,8/14/2024,GOLD,NY,3,76,,,
0824GOLD,8/14/2024,GOLD,NY,3,77,,,
0824GOLD,8/14/2024,GOLD,NY,3,78,,,
0824GOLD,8/14/2024,GOLD,NY,3,79,,,
0824GOLD,8/14/2024,GOLD,NY,3,80,,,
0824GOLD,8/14/2024,GOLD,NY,3,81,,,
0824GOLD,8/14/2024,GOLD,NY,3,82,,,
0824GOLD,8/14/2024,GOLD,NY,3,83,,,
0824GOLD,8/14/2024,GOLD,NY,3,84,,,
0824GOLD,8/14/2024,GOLD,NY,3,85,,,
0824GOLD,8/14/2024,GOLD,NY,3,86,,,
0824GOLD,8/14/2024,GOLD,NY,3,87,,,
0824GOLD,8/14/2024,GOLD,NY,3,88,,,
0824GOLD,8/14/2024,GOLD,NY,3,89,,,
0824GOLD,8/14/2024,GOLD,NY,3,90,,,
0824GOLD,8/14/2024,GOLD,NY,3,91,,,
0824GOLD,8/14/2024,GOLD,NY,3,92,,,
0824GOLD,8/14/2024,GOLD,NY,3,93,,,
0824GOLD,8/14/2024,GOLD,NY,3,94,,,
0824GOLD,8/14/2024,GOLD,NY,3,95,,,
0824GOLD,8/14/2024,GOLD,NY,3,96,,,
0824GOLD,8/14/2024,GOLD,NY,3,97,,,
0824GOLD,8/14/2024,GOLD,NY,3,98,,,
0824GOLD,8/14/2024,GOLD,NY,3,99,,,
0824GOLD,8/14/2024,GOLD,NY,3,100,,,
0824GOLD,8/14/2024,GOLD,NY,4,1,98.91,,
0824GOLD,8/14/2024,GOLD,NY,4,2,111.4,,
0824GOLD,8/14/2024,GOLD,NY,4,3,,42.06,
0824GOLD,8/14/2024,GOLD,NY,4,4,129.68,,
0824GOLD,8/14/2024,GOLD,NY,4,5,63.08,,
0824GOLD,8/14/2024,GOLD,NY,4,6,88.63,,
0824GOLD,8/14/2024,GOLD,NY,4,7,74.06,,
0824GOLD,8/14/2024,GOLD,NY,4,8,91.28,,
0824GOLD,8/14/2024,GOLD,NY,4,9,,96.28,
0824GOLD,8/14/2024,GOLD,NY,4,10,,40.27,
0824GOLD,8/14/2024,GOLD,NY,4,11,,52.22,
0824GOLD,8/14/2024,GOLD,NY,4,12,95.89,,
0824GOLD,8/14/2024,GOLD,NY,4,13,59.53,,
0824GOLD,8/14/2024,GOLD,NY,4,14,118.94,,
0824GOLD,8/14/2024,GOLD,NY,4,15,,76.13,
0824GOLD,8/14/2024,GOLD,NY,4,16,,45.73,
0824GOLD,8/14/2024,GOLD,NY,4,17,123.14,,
0824GOLD,8/14/2024,GOLD,NY,4,18,125.85,,
0824GOLD,8/14/2024,GOLD,NY,4,19,,75.69,
0824GOLD,8/14/2024,GOLD,NY,4,20,,37.97,
0824GOLD,8/14/2024,GOLD,NY,4,21,,43.2,
0824GOLD,8/14/2024,GOLD,NY,4,22,120.45,,
0824GOLD,8/14/2024,GOLD,NY,4,23,,71.8,
0824GOLD,8/14/2024,GOLD,NY,4,24,,53.54,
0824GOLD,8/14/2024,GOLD,NY,4,25,77.47,,
0824GOLD,8/14/2024,GOLD,NY,4,26,136.48,,
0824GOLD,8/14/2024,GOLD,NY,4,27,100.3,,
0824GOLD,8/14/2024,GOLD,NY,4,28,89.16,,
0824GOLD,8/14/2024,GOLD,NY,4,29,35.46,,
0824GOLD,8/14/2024,GOLD,NY,4,30,,46.61,
0824GOLD,8/14/2024,GOLD,NY,4,31,,88.36,
0824GOLD,8/14/2024,GOLD,NY,4,32,,61.06,
0824GOLD,8/14/2024,GOLD,NY,4,33,,63.45,
0824GOLD,8/14/2024,GOLD,NY,4,34,81.34,,
0824GOLD,8/14/2024,GOLD,NY,4,35,104.66,,
0824GOLD,8/14/2024,GOLD,NY,4,36,,61.93,
0824GOLD,8/14/2024,GOLD,NY,4,37,,53.61,
0824GOLD,8/14/2024,GOLD,NY,4,38,,67.6,
0824GOLD,8/14/2024,GOLD,NY,4,39,61.54,,
0824GOLD,8/14/2024,GOLD,NY,4,40,102.19,,
0824GOLD,8/14/2024,GOLD,NY,4,41,99.69,,
0824GOLD,8/14/2024,GOLD,NY,4,42,62.19,,
0824GOLD,8/14/2024,GOLD,NY,4,43,,71.2,
0824GOLD,8/14/2024,GOLD,NY,4,44,59.19,,
0824GOLD,8/14/2024,GOLD,NY,4,45,,100.96,
0824GOLD,8/14/2024,GOLD,NY,4,46,,52.83,
0824GOLD,8/14/2024,GOLD,NY,4,47,129.7,,
0824GOLD,8/14/2024,GOLD,NY,4,48,140.18,,
0824GOLD,8/14/2024,GOLD,NY,4,49,135.61,,
0824GOLD,8/14/2024,GOLD,NY,4,50,,100.98,
0824GOLD,8/14/2024,GOLD,NY,4,51,101.52,,
0824GOLD,8/14/2024,GOLD,NY,4,52,110.86,,
0824GOLD,8/14/2024,GOLD,NY,4,53,124.73,,
0824GOLD,8/14/2024,GOLD,NY,4,54,,56.38,
0824GOLD,8/14/2024,GOLD,NY,4,55,81.39,,
0824GOLD,8/14/2024,GOLD,NY,4,56,68.06,,
0824GOLD,8/14/2024,GOLD,NY,4,57,92.72,,
0824GOLD,8/14/2024,GOLD,NY,4,58,74.22,,
0824GOLD,8/14/2024,GOLD,NY,4,59,74.22,,
0824GOLD,8/14/2024,GOLD,NY,4,60,113.58,,
0824GOLD,8/14/2024,GOLD,NY,4,61,82.91,,
0824GOLD,8/14/2024,GOLD,NY,4,62,,71.19,
0824GOLD,8/14/2024,GOLD,NY,4,63,,75.59,
0824GOLD,8/14/2024,GOLD,NY,4,64,,74.23,
0824GOLD,8/14/2024,GOLD,NY,4,65,,74.23,
0824GOLD,8/14/2024,GOLD,NY,4,66,,45.07,
0824GOLD,8/14/2024,GOLD,NY,4,67,115.11,,
0824GOLD,8/14/2024,GOLD,NY,4,68,63.99,,
0824GOLD,8/14/2024,GOLD,NY,4,69,74.23,,
0824GOLD,8/14/2024,GOLD,NY,4,70,97.06,,
0824GOLD,8/14/2024,GOLD,NY,4,71,91.24,,
0824GOLD,8/14/2024,GOLD,NY,4,72,123.66,,
0824GOLD,8/14/2024,GOLD,NY,4,73,,77.15,
0824GOLD,8/14/2024,GOLD,NY,4,74,,77.51,
0824GOLD,8/14/2024,GOLD,NY,4,75,61.58,,
0824GOLD,8/14/2024,GOLD,NY,4,76,129.62,,
0824GOLD,8/14/2024,GOLD,NY,4,77,,40.99,
0824GOLD,8/14/2024,GOLD,NY,4,78,141.21,,
0824GOLD,8/14/2024,GOLD,NY,4,79,158.44,,
0824GOLD,8/14/2024,GOLD,NY,4,80,,93.64,
0824GOLD,8/14/2024,GOLD,NY,4,81,,90.76,
0824GOLD,8/14/2024,GOLD,NY,4,82,,53.72,
0824GOLD,8/14/2024,GOLD,NY,4,83,,37.06,
0824GOLD,8/14/2024,GOLD,NY,4,84,116.53,,
0824GOLD,8/14/2024,GOLD,NY,4,85,113.41,,
0824GOLD,8/14/2024,GOLD,NY,4,86,,66.39,
0824GOLD,8/14/2024,GOLD,NY,4,87,,57.03,
0824GOLD,8/14/2024,GOLD,NY,4,88,,63.92,
0824GOLD,8/14/2024,GOLD,NY,4,89,,84.76,
0824GOLD,8/14/2024,GOLD,NY,4,90,,33.06,
0824GOLD,8/14/2024,GOLD,NY,4,91,,54.96,
0824GOLD,8/14/2024,GOLD,NY,4,92,118.96,,
0824GOLD,8/14/2024,GOLD,NY,4,93,,104.56,
0824GOLD,8/14/2024,GOLD,NY,4,94,96.63,,
0824GOLD,8/14/2024,GOLD,NY,4,95,135.7,,
0824GOLD,8/14/2024,GOLD,NY,4,96,128.96,,
0824GOLD,8/14/2024,GOLD,NY,4,97,,,
0824GOLD,8/14/2024,GOLD,NY,4,98,,,
0824GOLD,8/14/2024,GOLD,NY,4,99,,,
0824GOLD,8/14/2024,GOLD,NY,4,100,,,
0824GOLD,8/14/2024,GOLD,NY,5,1,71.26,,
0824GOLD,8/14/2024,GOLD,NY,5,2,85.92,,
0824GOLD,8/14/2024,GOLD,NY,5,3,,43.36,
0824GOLD,8/14/2024,GOLD,NY,5,4,114.9,,
0824GOLD,8/14/2024,GOLD,NY,5,5,,48.27,
0824GOLD,8/14/2024,GOLD,NY,5,6,,43.13,
0824GOLD,8/14/2024,GOLD,NY,5,7,,39.84,
0824GOLD,8/14/2024,GOLD,NY,5,8,,27.84,
0824GOLD,8/14/2024,GOLD,NY,5,9,56.11,,
0824GOLD,8/14/2024,GOLD,NY,5,10,115.63,,
0824GOLD,8/14/2024,GOLD,NY,5,11,69.86,,
0824GOLD,8/14/2024,GOLD,NY,5,12,61.46,,
0824GOLD,8/14/2024,GOLD,NY,5,13,,57.22,
0824GOLD,8/14/2024,GOLD,NY,5,14,104.28,,
