Field ID,Date_collected,Site,State,Quadrat,Count,Length_live,Length_box,Length_gaper,,,,,,
1023FENC,10-5-23,FENC,CT,1,1,39.29,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,2,15.61,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,3,100.42,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,4,,123.05,,,,,,,
1023FENC,10-5-23,FENC,CT,1,5,,79.58,,,,,,,
1023FENC,10-5-23,FENC,CT,1,6,,83.88,,,,,,,
1023FENC,10-5-23,FENC,CT,1,7,,73.47,,,,,,,
1023FENC,10-5-23,FENC,CT,1,8,,105.8,,,,,,,
1023FENC,10-5-23,FENC,CT,1,9,34.22,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,10,47.88,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,11,105.44,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,12,71.32,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,13,138.41,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,14,,124.3,,,,,,,
1023FENC,10-5-23,FENC,CT,1,15,127.45,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,16,33.71,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,17,54.34,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,18,97.09,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,19,,114.19,,,,,,,
1023FENC,10-5-23,FENC,CT,1,20,131.09,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,21,25.19,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,22,21.79,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,23,8.86,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,24,25.57,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,25,85.56,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,26,84.85,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,27,60.07,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,28,15.21,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,29,44.84,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,30,29.59,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,31,82.16,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,32,92.73,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,33,42.64,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,34,77.68,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,35,,108.92,,,,,,,
1023FENC,10-5-23,FENC,CT,1,36,36.72,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,37,127.59,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,38,,90.6,,,,,,,
1023FENC,10-5-23,FENC,CT,1,39,62.05,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,40,56.77,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,41,62.07,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,42,34.71,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,43,132.32,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,44,33.26,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,45,42.53,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,46,43.35,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,47,79.35,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,48,,108.44,,,,,,,
1023FENC,10-5-23,FENC,CT,1,49,86.63,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,50,104.67,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,51,37.1,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,52,137.91,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,53,81.89,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,54,29.11,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,55,148.29,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,56,,115.6,,,,,,,
1023FENC,10-5-23,FENC,CT,1,57,93.31,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,58,,82.43,,,,,,,
1023FENC,10-5-23,FENC,CT,1,59,33.5,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,60,8.83,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,61,55.99,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,62,132.48,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,63,77.07,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,64,53.06,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,65,83.57,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,66,,50.38,,,,,,,
1023FENC,10-5-23,FENC,CT,1,67,94.26,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,68,80.61,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,69,,97.68,,,,,,,
1023FENC,10-5-23,FENC,CT,1,70,,45.91,,,,,,,
1023FENC,10-5-23,FENC,CT,1,71,,95.7,,,,,,,
1023FENC,10-5-23,FENC,CT,1,72,,45.54,,,,,,,
1023FENC,10-5-23,FENC,CT,1,73,100.59,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,74,,32.75,,,,,,,
1023FENC,10-5-23,FENC,CT,1,75,124.85,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,76,37.33,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,77,50.79,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,78,53.51,,,,,,,,
1023FENC,10-5-23,FENC,CT,1,79,22.82,,,,,,,,
