Field ID,Date_collected,Site,State,Quadrat,Count,Length_live,Length_box,Length_gaper,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,1,94.73,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,2,137.2,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,3,139.56,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,4,122.91,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,5,102.79,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,6,,95.82,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,7,,101.46,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,8,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,9,86.84,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,10,80.97,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,11,159.97,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,12,149.02,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,13,137.14,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,14,89.18,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,15,77.39,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,16,120.12,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,17,123.22,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,18,89.62,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,19,154.2,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,20,114.85,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,21,103.54,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,22,125.36,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,23,,53.68,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,24,,50.12,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,25,,57.12,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,26,,40.87,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,27,143.8,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,28,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,29,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,30,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,31,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,32,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,33,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,34,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,35,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,36,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,37,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,38,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,39,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,40,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,41,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,42,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,43,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,44,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,45,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,46,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,47,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,48,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,49,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,50,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,51,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,52,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,53,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,54,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,55,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,56,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,57,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,58,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,59,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,60,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,61,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,62,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,63,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,64,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,65,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,66,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,67,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,68,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,69,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,70,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,71,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,72,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,73,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,74,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,75,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,76,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,77,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,78,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,79,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,80,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,81,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,82,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,83,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,84,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,85,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,86,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,87,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,88,,,,,,,,,
1023GOLD,10-16-23,GOLD,NY,1,89,,,,,,,,,
