Quadrat,Season,Year,Survival_status,Site,Date_collected,State,Count
1,Spring,2024,Live,ASHC,5/1/2024,CT,45
1,Spring,2024,Box,ASHC,5/1/2024,CT,11
1,Spring,2024,Gaping,ASHC,5/1/2024,CT,0
2,Spring,2024,Live,ASHC,5/1/2024,CT,81
2,Spring,2024,Box,ASHC,5/1/2024,CT,22
2,Spring,2024,Gaping,ASHC,5/1/2024,CT,0
3,Spring,2024,Live,ASHC,5/1/2024,CT,112
3,Spring,2024,Box,ASHC,5/1/2024,CT,34
3,Spring,2024,Gaping,ASHC,5/1/2024,CT,1
4,Spring,2024,Live,ASHC,5/1/2024,CT,138
4,Spring,2024,Box,ASHC,5/1/2024,CT,24
4,Spring,2024,Gaping,ASHC,5/1/2024,CT,1
1,Spring,2024,Live,FENC,5/13/2024,CT,123
1,Spring,2024,Box,FENC,5/13/2024,CT,26
1,Spring,2024,Gaping,FENC,5/13/2024,CT,0
2,Spring,2024,Live,FENC,5/13/2024,CT,99
2,Spring,2024,Box,FENC,5/13/2024,CT,24
2,Spring,2024,Gaping,FENC,5/13/2024,CT,0
3,Spring,2024,Live,FENC,5/13/2024,CT,61
3,Spring,2024,Box,FENC,5/13/2024,CT,12
3,Spring,2024,Gaping,FENC,5/13/2024,CT,0
4,Spring,2024,Live,FENC,5/13/2024,CT,95
4,Spring,2024,Box,FENC,5/13/2024,CT,53
4,Spring,2024,Gaping,FENC,5/13/2024,CT,0
1,Fall,2024,Live,ASHC,9/23/2024,CT,259
1,Fall,2024,Box,ASHC,9/23/2024,CT,54
1,Fall,2024,Gaping,ASHC,9/23/2024,CT,0
2,Fall,2024,Live,ASHC,9/23/2024,CT,173
2,Fall,2024,Box,ASHC,9/23/2024,CT,35
2,Fall,2024,Gaping,ASHC,9/23/2024,CT,1
3,Fall,2024,Live,ASHC,9/23/2024,CT,126
3,Fall,2024,Box,ASHC,9/23/2024,CT,50
3,Fall,2024,Gaping,ASHC,9/23/2024,CT,0
4,Fall,2024,Live,ASHC,9/23/2024,CT,62
4,Fall,2024,Box,ASHC,9/23/2024,CT,48
4,Fall,2024,Gaping,ASHC,9/23/2024,CT,0
1,Fall,2024,Live,FENC,9/25/2024,CT,146
1,Fall,2024,Box,FENC,9/25/2024,CT,21
1,Fall,2024,Gaping,FENC,9/25/2024,CT,0
2,Fall,2024,Live,FENC,9/25/2024,CT,102
2,Fall,2024,Box,FENC,9/25/2024,CT,20
2,Fall,2024,Gaping,FENC,9/25/2024,CT,0
3,Fall,2024,Live,FENC,9/25/2024,CT,74
3,Fall,2024,Box,FENC,9/25/2024,CT,18
3,Fall,2024,Gaping,FENC,9/25/2024,CT,0
4,Fall,2024,Live,FENC,9/25/2024,CT,134
4,Fall,2024,Box,FENC,9/25/2024,CT,11
4,Fall,2024,Gaping,FENC,9/25/2024,CT,0
1,Fall,2024,Live,GOLD,8/14/2024,NY,2
1,Fall,2024,Box,GOLD,8/14/2024,NY,11
1,Fall,2024,Gaping,GOLD,8/14/2024,NY,0
2,Fall,2024,Live,GOLD,8/14/2024,NY,5
2,Fall,2024,Box,GOLD,8/14/2024,NY,18
2,Fall,2024,Gaping,GOLD,8/14/2024,NY,0
3,Fall,2024,Live,GOLD,8/14/2024,NY,17
3,Fall,2024,Box,GOLD,8/14/2024,NY,13
3,Fall,2024,Gaping,GOLD,8/14/2024,NY,0
4,Fall,2024,Live,GOLD,8/14/2024,NY,62
4,Fall,2024,Box,GOLD,8/14/2024,NY,45
4,Fall,2024,Gaping,GOLD,8/14/2024,NY,0
5,Fall,2024,Live,GOLD,8/14/2024,NY,28
5,Fall,2024,Box,GOLD,8/14/2024,NY,33
