Site_Name,TripDate,QUADRAT_NUM,Quadrat_Type,Quadrat_Zone,Bed_Section,Light_Zone,Oyster_Cover,LiveCount_Total,GaperCount_Total,BoxCount_Total,Subsample_Measured,Quadrat_Notes
Ash Creek,6/12/2023,1,25 x 25 cm,IT_up,ASHC_West.main,sun,100%,97,2,38,FALSE,DENSITY / SIZE COMPOSITON Main West Reef at Ash Creek Team A's 1st quadrat (Mariah Kachmar & Katy Shoemaker). All oysters in quadrat were measured and counted.
Ash Creek,6/12/2023,2,25 x 25 cm,IT_mid,ASHC_West.main,sun,76-99%,49,0,15,FALSE,DENSITY / SIZE COMPOSITION Main West Reef at Ash Creek Team A's 2nd quadrat (Mariah Kachmar & Katy Shoemaker). All oysters in quadrat were measured and counted. 1 live hard clam (Mercenaria) in quadrat. All specimens in quadrat measured for shell height. Shell length ony measured for specimen 1-36.
Ash Creek,6/12/2023,3,25 x 25 cm,IT_mid,ASHC_West.main,sun,100%,49,0,12,FALSE,DENSITY / SIZE COMPOSITION Main West Reef at Ash Creek Team A's 3rd quadrat (Mariah Kachmar & Katy Shoemaker). All oysters in quadrat were measured and counted. 2 live hard clams (Mercenaria) in quadrat.
Ash Creek,6/12/2023,4,25 x 25 cm,IT_low,ASHC_West.main,sun,26-50%,10,0,6,FALSE,DENSITY / SIZE COMPOSITION Main West Reef at Ash Creek Team A's 4th quadrat (Mariah Kachmar & Katy Shoemaker). All oysters in quadrat were measured and counted.
Ash Creek,6/12/2023,5,25 x 25 cm,IT_low,ASHC_West.main,sun,0%,0,0,0,FALSE,"DENSITY / SIZE COMPOSITION Main West Reef at Ash Creek Team A's 5th quadrat (Mariah Kachmar & Katy Shoemaker). No live/gaping/box oysters (density = 0 for each). Field sheet had oyster cover = 1-25% but adjusted to 0% in database (since there were no oysters to count; n.b., loose shell does not count)."
Ash Creek,6/12/2023,6,25 x 25 cm,IT_low,ASHC_West.main,sun,1-25%,4,0,5,FALSE,DENSITY / SIZE COMPOSITION Main West Reef at Ash Creek Team A's 6th quadrat (Mariah Kachmar & Katy Shoemaker). All specimens were measured.
Ash Creek,6/12/2023,7,25 x 25 cm,IT_up,ASHC_East,sun,100%,144,2,57,TRUE,"DENSITY / SIZE COMPOSITION Main EAST Reef at Ash Creek Team B's 1st quadrat (Meghana Parikh & Isaiah Mayo). All oyster specimens counted Subsample of 100 was measured (67 live, 2 gaping, 31 box). Not measured = 77 live, 0 gaping, 26 box."
Ash Creek,6/12/2023,8,25 x 25 cm,IT_up,ASHC_East,sun,100%,113,0,68,TRUE,"DENSITY / SIZE COMPOSITION Main EAST Reef at Ash Creek Team B's 2nd quadrat (Meghana Parikh & Isaiah Mayo), with help from Team D (Steve Arnott, Lisa Guy; their data is on separate field sheet)  All oyster specimens counted; only a subsample was measured. Team A: Measured 51 (33 live, 0 gape, 18 box) and counted an extra 57 (43 live, 0 gape, 14 box) = 76 live, 0 gape, 32 box Team D: Measured 49 (24 live, 0 gape, 25 box) and counted and extra 24 (13 live, 0 gape, 11 box) = 37 live, 0 gape, 36 box. Grand total: 113 live, 0 gape, 68 box."
Ash Creek,6/12/2023,9,25 x 25 cm,IT_mid,ASHC_East,sun,51-75%,35,0,17,FALSE,DENSITY / SIZE COMPOSITION Main EAST Reef at Ash Creek. Team B's 3rd quadrat (Meghana Parikh & Isaiah Mayo + Lisa Guy helping). Lisa Guy measured spec #1-17; Zach measured spec #18-52. All oyster specimens measured and counted.
Ash Creek,6/12/2023,10,25 x 25 cm,IT_mid,ASHC_East,sun,76-99%,38,0,16,FALSE,DENSITY / SIZE COMPOSITION Main EAST Reef at Ash Creek. Team B's 4th quadrat (Meghana Parikh & Isaiah Mayo). All oyster specimens measured and counted. Spec #1-8: shell height and length measured. Spec #9-54: only shell height measured.
