Site_Name,TripDate,Year,Month,Day,QUADRAT_NUM,QuadSpec_NUM,SpecimenType,Height_mm,Length_mm,Width_mm,Specimen_Notes
Ash Creek,2023-06-12,2023,6,12,1,1,Live,101.7,44.69,,
Ash Creek,2023-06-12,2023,6,12,1,2,Live,94.64,60.35,,
Ash Creek,2023-06-12,2023,6,12,1,3,Live,146.72,63.45,,
Ash Creek,2023-06-12,2023,6,12,1,4,Gaping,98.81,42.65,,
Ash Creek,2023-06-12,2023,6,12,1,5,Live,72.82,54.1,,
Ash Creek,2023-06-12,2023,6,12,1,6,Box,76.99,44.71,,
Ash Creek,2023-06-12,2023,6,12,1,7,Box,106.15,51,,Maybe gaping? Smelled dead but filled with mud
Ash Creek,2023-06-12,2023,6,12,1,8,Live,116.55,54.1,,
Ash Creek,2023-06-12,2023,6,12,1,9,Live,120.72,53.05,,
Ash Creek,2023-06-12,2023,6,12,1,10,Box,82.21,42.65,,
Ash Creek,2023-06-12,2023,6,12,1,11,Live,51.38,25.95,,
Ash Creek,2023-06-12,2023,6,12,1,12,Live,102.99,48.87,,
Ash Creek,2023-06-12,2023,6,12,1,13,Live,71.77,30.17,,
Ash Creek,2023-06-12,2023,6,12,1,14,Box,88.43,46.81,,
Ash Creek,2023-06-12,2023,6,12,1,15,Box,20.79,15.61,,
Ash Creek,2023-06-12,2023,6,12,1,16,Box,21.7,13.58,,
Ash Creek,2023-06-12,2023,6,12,1,17,Live,65.05,42.45,,
Ash Creek,2023-06-12,2023,6,12,1,18,Box,26.54,19.38,,
Ash Creek,2023-06-12,2023,6,12,1,19,Box,154.22,71.1,,
Ash Creek,2023-06-12,2023,6,12,1,20,Gaping,66.01,41.3,,"Verified that shell H and L are 66.01 and 41.30 on field sheet hard copy [SAA, 6/21/23]"
Ash Creek,2023-06-12,2023,6,12,1,21,Box,102.76,46.73,,
Ash Creek,2023-06-12,2023,6,12,1,22,Box,36.5,28.3,,
Ash Creek,2023-06-12,2023,6,12,1,23,Live,112.43,42.48,,
Ash Creek,2023-06-12,2023,6,12,1,24,Live,28.15,20.14,,
Ash Creek,2023-06-12,2023,6,12,1,25,Box,20.15,11.14,,
Ash Creek,2023-06-12,2023,6,12,1,26,Live,18.35,19.34,,
Ash Creek,2023-06-12,2023,6,12,1,27,Live,114.63,57.92,,
Ash Creek,2023-06-12,2023,6,12,1,28,Box,10.86,10.85,,
Ash Creek,2023-06-12,2023,6,12,1,29,Box,95.99,40.81,,
Ash Creek,2023-06-12,2023,6,12,1,30,Live,75.65,24.62,,
Ash Creek,2023-06-12,2023,6,12,1,31,Live,15.25,12.78,,"On field sheet hard copy comment says ""spat"" with H = 45.25, L = 12.78. Height seems incorrect (too big to be a ""spat"", and does not match length). Adjusted to H = 15.25 in the database. [SAA, 6/21/23]"
