date_deployed,date_collected,Site,Replicate,Shell,Side,Count_1,Count_2
2023-07-12,2020-10-03,ASHC,A,1,top,0,
2023-07-12,2020-10-03,ASHC,A,1,bottom,0,
2023-07-12,2020-10-03,ASHC,A,2,top,0,
2023-07-12,2020-10-03,ASHC,A,2,bottom,0,
2023-07-12,2020-10-03,ASHC,A,3,top,0,
2023-07-12,2020-10-03,ASHC,A,3,bottom,0,
2023-07-12,2020-10-03,ASHC,A,4,top,0,
2023-07-12,2020-10-03,ASHC,A,4,bottom,0,
2023-07-12,2020-10-03,ASHC,A,5,top,0,
2023-07-12,2020-10-03,ASHC,A,5,bottom,0,
2023-07-12,2020-10-03,ASHC,A,6,top,0,
2023-07-12,2020-10-03,ASHC,A,6,bottom,0,
2023-07-12,2020-10-03,ASHC,A,7,top,0,
2023-07-12,2020-10-03,ASHC,A,7,bottom,0,
2023-07-12,2020-10-03,ASHC,A,8,top,0,
2023-07-12,2020-10-03,ASHC,A,8,bottom,0,
2023-07-12,2020-10-03,ASHC,A,9,top,0,
2023-07-12,2020-10-03,ASHC,A,9,bottom,0,
2023-07-12,2020-10-03,ASHC,A,10,top,0,
2023-07-12,2020-10-03,ASHC,A,10,bottom,0,
2023-07-12,2020-10-03,ASHC,A,11,top,0,
2023-07-12,2020-10-03,ASHC,A,11,bottom,0,
2023-07-12,2020-10-03,ASHC,A,12,top,0,
2023-07-12,2020-10-03,ASHC,A,12,bottom,0,
2023-07-12,2020-10-03,ASHC,B,1,bottom,0,
2023-07-12,2020-10-03,ASHC,B,1,top,0,
2023-07-12,2020-10-03,ASHC,B,2,bottom,0,
2023-07-12,2020-10-03,ASHC,B,2,top,0,
2023-07-12,2020-10-03,ASHC,B,3,bottom,0,
2023-07-12,2020-10-03,ASHC,B,3,top,0,
2023-07-12,2020-10-03,ASHC,B,4,bottom,0,
2023-07-12,2020-10-03,ASHC,B,4,top,0,
2023-07-12,2020-10-03,ASHC,B,5,top,0,
2023-07-12,2020-10-03,ASHC,B,5,bottom,0,
2023-07-12,2020-10-03,ASHC,B,6,top,0,
2023-07-12,2020-10-03,ASHC,B,6,bottom,0,
2023-07-12,2020-10-03,ASHC,B,7,top,0,
2023-07-12,2020-10-03,ASHC,B,7,bottom,0,
2023-07-12,2020-10-03,ASHC,B,8,top,0,
2023-07-12,2020-10-03,ASHC,B,8,bottom,0,
2023-07-12,2020-10-03,ASHC,B,9,top,0,
2023-07-12,2020-10-03,ASHC,B,9,bottom,0,
2023-07-12,2020-10-03,ASHC,B,10,top,0,
2023-07-12,2020-10-03,ASHC,B,10,bottom,0,
2023-07-12,2020-10-03,ASHC,B,11,top,0,
2023-07-12,2020-10-03,ASHC,B,11,bottom,0,
2023-07-12,2020-10-03,ASHC,B,12,top,0,
2023-07-12,2020-10-03,ASHC,B,12,bottom,0,
2023-07-12,2020-10-03,ASHC,C,1,bottom,,
2023-07-12,2020-10-03,ASHC,C,1,top,,
2023-07-12,2020-10-03,ASHC,C,2,bottom,,
2023-07-12,2020-10-03,ASHC,C,2,top,,
2023-07-12,2020-10-03,ASHC,C,3,bottom,,
2023-07-12,2020-10-03,ASHC,C,3,top,,
2023-07-12,2020-10-03,ASHC,C,4,bottom,,
2023-07-12,2020-10-03,ASHC,C,4,top,,
2023-07-12,2020-10-03,ASHC,C,5,top,,
2023-07-12,2020-10-03,ASHC,C,5,bottom,,
2023-07-12,2020-10-03,ASHC,C,6,top,,
2023-07-12,2020-10-03,ASHC,C,6,bottom,,
2023-07-12,2020-10-03,ASHC,C,7,top,,
2023-07-12,2020-10-03,ASHC,C,7,bottom,,
2023-07-12,2020-10-03,ASHC,C,8,top,,
2023-07-12,2020-10-03,ASHC,C,8,bottom,,
2023-07-12,2020-10-03,ASHC,C,9,top,,
2023-07-12,2020-10-03,ASHC,C,9,bottom,,
2023-07-12,2020-10-03,ASHC,C,10,top,,
2023-07-12,2020-10-03,ASHC,C,10,bottom,,
2023-07-12,2020-10-03,ASHC,C,11,top,,
2023-07-12,2020-10-03,ASHC,C,11,bottom,,
2023-07-12,2020-10-03,ASHC,C,12,top,,
2023-07-12,2020-10-03,ASHC,C,12,bottom,,
