date_deployed,date_collected,Site,Replicate,Shell,Side,Count_1,Count_2
2023-08-14,2023-10-16,GOLD,A,1,top,0,
2023-08-14,2023-10-16,GOLD,A,1,bottom,0,
2023-08-14,2023-10-16,GOLD,A,2,top,0,
2023-08-14,2023-10-16,GOLD,A,2,bottom,0,
2023-08-14,2023-10-16,GOLD,A,3,top,0,
2023-08-14,2023-10-16,GOLD,A,3,bottom,0,
2023-08-14,2023-10-16,GOLD,A,4,top,0,
2023-08-14,2023-10-16,GOLD,A,4,bottom,0,
2023-08-14,2023-10-16,GOLD,A,5,top,0,
2023-08-14,2023-10-16,GOLD,A,5,bottom,0,
2023-08-14,2023-10-16,GOLD,A,6,top,0,
2023-08-14,2023-10-16,GOLD,A,6,bottom,0,
2023-08-14,2023-10-16,GOLD,A,7,top,0,
2023-08-14,2023-10-16,GOLD,A,7,bottom,0,
2023-08-14,2023-10-16,GOLD,A,8,top,0,
2023-08-14,2023-10-16,GOLD,A,8,bottom,0,
2023-08-14,2023-10-16,GOLD,A,9,top,0,
2023-08-14,2023-10-16,GOLD,A,9,bottom,0,
2023-08-14,2023-10-16,GOLD,A,10,top,0,
2023-08-14,2023-10-16,GOLD,A,10,bottom,0,
2023-08-14,2023-10-16,GOLD,A,11,top,0,
2023-08-14,2023-10-16,GOLD,A,11,bottom,0,
2023-08-14,2023-10-16,GOLD,A,12,top,0,
2023-08-14,2023-10-16,GOLD,A,12,bottom,0,
2023-08-14,2023-10-16,GOLD,B,1,bottom,0,
2023-08-14,2023-10-16,GOLD,B,1,top,0,
2023-08-14,2023-10-16,GOLD,B,2,bottom,0,
2023-08-14,2023-10-16,GOLD,B,2,top,0,
2023-08-14,2023-10-16,GOLD,B,3,bottom,0,
2023-08-14,2023-10-16,GOLD,B,3,top,0,
2023-08-14,2023-10-16,GOLD,B,4,bottom,0,
2023-08-14,2023-10-16,GOLD,B,4,top,0,
2023-08-14,2023-10-16,GOLD,B,5,top,0,
2023-08-14,2023-10-16,GOLD,B,5,bottom,0,
2023-08-14,2023-10-16,GOLD,B,6,top,0,
2023-08-14,2023-10-16,GOLD,B,6,bottom,0,
2023-08-14,2023-10-16,GOLD,B,7,top,0,
2023-08-14,2023-10-16,GOLD,B,7,bottom,0,
2023-08-14,2023-10-16,GOLD,B,8,top,0,
2023-08-14,2023-10-16,GOLD,B,8,bottom,0,
2023-08-14,2023-10-16,GOLD,B,9,top,0,
2023-08-14,2023-10-16,GOLD,B,9,bottom,0,
2023-08-14,2023-10-16,GOLD,B,10,top,0,
2023-08-14,2023-10-16,GOLD,B,10,bottom,0,
2023-08-14,2023-10-16,GOLD,B,11,top,0,
2023-08-14,2023-10-16,GOLD,B,11,bottom,0,
2023-08-14,2023-10-16,GOLD,B,12,top,0,
2023-08-14,2023-10-16,GOLD,B,12,bottom,0,
2023-08-14,2023-10-16,GOLD,C,1,bottom,0,
2023-08-14,2023-10-16,GOLD,C,1,top,0,
2023-08-14,2023-10-16,GOLD,C,2,bottom,0,
2023-08-14,2023-10-16,GOLD,C,2,top,0,
2023-08-14,2023-10-16,GOLD,C,3,bottom,0,
2023-08-14,2023-10-16,GOLD,C,3,top,0,
2023-08-14,2023-10-16,GOLD,C,4,bottom,0,
2023-08-14,2023-10-16,GOLD,C,4,top,0,
2023-08-14,2023-10-16,GOLD,C,5,top,0,
2023-08-14,2023-10-16,GOLD,C,5,bottom,0,
2023-08-14,2023-10-16,GOLD,C,6,top,0,
2023-08-14,2023-10-16,GOLD,C,6,bottom,0,
2023-08-14,2023-10-16,GOLD,C,7,top,0,
2023-08-14,2023-10-16,GOLD,C,7,bottom,0,
2023-08-14,2023-10-16,GOLD,C,8,top,0,
2023-08-14,2023-10-16,GOLD,C,8,bottom,0,
2023-08-14,2023-10-16,GOLD,C,9,top,0,
2023-08-14,2023-10-16,GOLD,C,9,bottom,0,
2023-08-14,2023-10-16,GOLD,C,10,top,0,
2023-08-14,2023-10-16,GOLD,C,10,bottom,0,
2023-08-14,2023-10-16,GOLD,C,11,top,0,
2023-08-14,2023-10-16,GOLD,C,11,bottom,0,
2023-08-14,2023-10-16,GOLD,C,12,top,0,
2023-08-14,2023-10-16,GOLD,C,12,bottom,0,
