date_deployed,date_collected,Site,Replicate,Shell,Side,Count_1,Count_2
2023-07-12,2023-08-08,ASHC,A,1,top,5,9
2023-07-12,2023-08-08,ASHC,A,1,bottom,3,4
2023-07-12,2023-08-08,ASHC,A,2,top,9,9
2023-07-12,2023-08-08,ASHC,A,2,bottom,7,7
2023-07-12,2023-08-08,ASHC,A,3,top,3,3
2023-07-12,2023-08-08,ASHC,A,3,bottom,0,0
2023-07-12,2023-08-08,ASHC,A,4,top,12,12
2023-07-12,2023-08-08,ASHC,A,4,bottom,1,1
2023-07-12,2023-08-08,ASHC,A,5,top,4,5
2023-07-12,2023-08-08,ASHC,A,5,bottom,3,2
2023-07-12,2023-08-08,ASHC,A,6,top,13,13
2023-07-12,2023-08-08,ASHC,A,6,bottom,5,5
2023-07-12,2023-08-08,ASHC,A,7,top,8,8
2023-07-12,2023-08-08,ASHC,A,7,bottom,4,4
2023-07-12,2023-08-08,ASHC,A,8,top,10,11
2023-07-12,2023-08-08,ASHC,A,8,bottom,3,3
2023-07-12,2023-08-08,ASHC,A,9,top,5,5
2023-07-12,2023-08-08,ASHC,A,9,bottom,3,4
2023-07-12,2023-08-08,ASHC,A,10,top,10,11
2023-07-12,2023-08-08,ASHC,A,10,bottom,8,8
2023-07-12,2023-08-08,ASHC,A,11,top,7,7
2023-07-12,2023-08-08,ASHC,A,11,bottom,4,4
2023-07-12,2023-08-08,ASHC,A,12,top,16,16
2023-07-12,2023-08-08,ASHC,A,12,bottom,5,5
2023-07-12,2023-08-08,ASHC,B,1,bottom,2,2
2023-07-12,2023-08-08,ASHC,B,1,top,2,2
2023-07-12,2023-08-08,ASHC,B,2,bottom,1,1
2023-07-12,2023-08-08,ASHC,B,2,top,4,4
2023-07-12,2023-08-08,ASHC,B,3,bottom,5,5
2023-07-12,2023-08-08,ASHC,B,3,top,2,2
2023-07-12,2023-08-08,ASHC,B,4,bottom,5,7
2023-07-12,2023-08-08,ASHC,B,4,top,4,3
2023-07-12,2023-08-08,ASHC,B,5,top,6,5
2023-07-12,2023-08-08,ASHC,B,5,bottom,3,4
2023-07-12,2023-08-08,ASHC,B,6,top,11,
2023-07-12,2023-08-08,ASHC,B,6,bottom,3,
2023-07-12,2023-08-08,ASHC,B,7,top,7,
2023-07-12,2023-08-08,ASHC,B,7,bottom,4,
2023-07-12,2023-08-08,ASHC,B,8,top,7,
2023-07-12,2023-08-08,ASHC,B,8,bottom,5,
2023-07-12,2023-08-08,ASHC,B,9,top,8,
2023-07-12,2023-08-08,ASHC,B,9,bottom,1,
2023-07-12,2023-08-08,ASHC,B,10,top,7,
2023-07-12,2023-08-08,ASHC,B,10,bottom,2,
2023-07-12,2023-08-08,ASHC,B,11,top,9,
2023-07-12,2023-08-08,ASHC,B,11,bottom,1,
2023-07-12,2023-08-08,ASHC,B,12,top,3,
2023-07-12,2023-08-08,ASHC,B,12,bottom,10,
