date_deployed,date_collected,Site,Replicate,Shell,Side,Count_1,Count_2
2024-05-01,2024-08-26,ASHC,A,1,top,59,59
2024-05-01,2024-08-26,ASHC,A,1,bottom,19,19
2024-05-01,2024-08-26,ASHC,A,2,top,27,27
2024-05-01,2024-08-26,ASHC,A,2,bottom,19,19
2024-05-01,2024-08-26,ASHC,A,3,top,54,59
2024-05-01,2024-08-26,ASHC,A,3,bottom,4,4
2024-05-01,2024-08-26,ASHC,A,4,top,63,63
2024-05-01,2024-08-26,ASHC,A,4,bottom,19,19
2024-05-01,2024-08-26,ASHC,A,5,top,29,29
2024-05-01,2024-08-26,ASHC,A,5,bottom,7,7
2024-05-01,2024-08-26,ASHC,A,6,top,21,21
2024-05-01,2024-08-26,ASHC,A,6,bottom,21,22
2024-05-01,2024-08-26,ASHC,B,1,top,55,55
2024-05-01,2024-08-26,ASHC,B,1,bottom,19,19
2024-05-01,2024-08-26,ASHC,B,2,top,62,62
2024-05-01,2024-08-26,ASHC,B,2,bottom,20,21
2024-05-01,2024-08-26,ASHC,B,3,top,64,64
2024-05-01,2024-08-26,ASHC,B,3,bottom,34,34
2024-05-01,2024-08-26,ASHC,B,4,top,66,66
2024-05-01,2024-08-26,ASHC,B,4,bottom,18,18
2024-05-01,2024-08-26,ASHC,B,5,top,45,47
2024-05-01,2024-08-26,ASHC,B,5,bottom,16,16
2024-05-01,2024-08-26,ASHC,B,6,top,34,35
2024-05-01,2024-08-26,ASHC,B,6,bottom,31,31
2024-05-01,2024-08-26,ASHC,C,1,bottom,0,0
2024-05-01,2024-08-26,ASHC,C,1,top,8,8
2024-05-01,2024-08-26,ASHC,C,2,bottom,2,2
2024-05-01,2024-08-26,ASHC,C,2,top,7,7
2024-05-01,2024-08-26,ASHC,C,3,bottom,1,1
2024-05-01,2024-08-26,ASHC,C,3,top,6,6
2024-05-01,2024-08-26,ASHC,C,4,bottom,0,0
2024-05-01,2024-08-26,ASHC,C,4,top,5,5
2024-05-01,2024-08-26,ASHC,C,5,top,20,20
2024-05-01,2024-08-26,ASHC,C,5,bottom,0,0
2024-05-01,2024-08-26,ASHC,C,6,top,2,2
2024-05-01,2024-08-26,ASHC,C,6,bottom,0,0
2024-05-01,2024-08-26,ASHC,D,1,top,,
2024-05-01,2024-08-26,ASHC,D,1,bottom,,
2024-05-01,2024-08-26,ASHC,D,2,top,,
2024-05-01,2024-08-26,ASHC,D,2,bottom,,
2024-05-01,2024-08-26,ASHC,D,3,top,,
2024-05-01,2024-08-26,ASHC,D,3,bottom,,
2024-05-01,2024-08-26,ASHC,D,4,top,,
2024-05-01,2024-08-26,ASHC,D,4,bottom,,
2024-05-01,2024-08-26,ASHC,D,5,top,,
2024-05-01,2024-08-26,ASHC,D,5,bottom,,
2024-05-01,2024-08-26,ASHC,D,6,top,,
2024-05-01,2024-08-26,ASHC,D,6,bottom,,
2024-05-01,2024-08-26,ASHC,E,1,bottom,,
2024-05-01,2024-08-26,ASHC,E,1,top,,
2024-05-01,2024-08-26,ASHC,E,2,bottom,,
