date_deployed,date_collected,Site,Replicate,Shell,Side,Count_1,Count_2
2024-05-13,2024-08-27,FENC,A,1,top,2,2
2024-05-13,2024-08-27,FENC,A,1,bottom,1,1
2024-05-13,2024-08-27,FENC,A,2,top,5,5
2024-05-13,2024-08-27,FENC,A,2,bottom,1,1
2024-05-13,2024-08-27,FENC,A,3,top,5,6
2024-05-13,2024-08-27,FENC,A,3,bottom,0,0
2024-05-13,2024-08-27,FENC,A,4,top,7,7
2024-05-13,2024-08-27,FENC,A,4,bottom,1,1
2024-05-13,2024-08-27,FENC,A,5,top,0,0
2024-05-13,2024-08-27,FENC,A,5,bottom,0,0
2024-05-13,2024-08-27,FENC,A,6,top,2,2
2024-05-13,2024-08-27,FENC,A,6,bottom,0,0
2024-05-13,2024-08-27,FENC,B,1,top,7,7
2024-05-13,2024-08-27,FENC,B,1,bottom,3,3
2024-05-13,2024-08-27,FENC,B,2,top,18,18
2024-05-13,2024-08-27,FENC,B,2,bottom,14,14
2024-05-13,2024-08-27,FENC,B,3,top,13,13
2024-05-13,2024-08-27,FENC,B,3,bottom,7,7
2024-05-13,2024-08-27,FENC,B,4,top,20,20
2024-05-13,2024-08-27,FENC,B,4,bottom,12,12
2024-05-13,2024-08-27,FENC,B,5,top,9,9
2024-05-13,2024-08-27,FENC,B,5,bottom,7,7
2024-05-13,2024-08-27,FENC,B,6,top,14,18
2024-05-13,2024-08-27,FENC,B,6,bottom,3,6
2024-05-13,2024-08-27,FENC,C,1,bottom,,
2024-05-13,2024-08-27,FENC,C,1,top,,
2024-05-13,2024-08-27,FENC,C,2,bottom,,
2024-05-13,2024-08-27,FENC,C,2,top,,
2024-05-13,2024-08-27,FENC,C,3,bottom,,
2024-05-13,2024-08-27,FENC,C,3,top,,
2024-05-13,2024-08-27,FENC,C,4,bottom,,
2024-05-13,2024-08-27,FENC,C,4,top,,
2024-05-13,2024-08-27,FENC,C,5,top,,
2024-05-13,2024-08-27,FENC,C,5,bottom,,
2024-05-13,2024-08-27,FENC,C,6,top,,
2024-05-13,2024-08-27,FENC,C,6,bottom,,
2024-05-13,2024-08-27,FENC,D,1,top,,
2024-05-13,2024-08-27,FENC,D,1,bottom,,
2024-05-13,2024-08-27,FENC,D,2,top,,
2024-05-13,2024-08-27,FENC,D,2,bottom,,
2024-05-13,2024-08-27,FENC,D,3,top,,
2024-05-13,2024-08-27,FENC,D,3,bottom,,
2024-05-13,2024-08-27,FENC,D,4,top,,
2024-05-13,2024-08-27,FENC,D,4,bottom,,
2024-05-13,2024-08-27,FENC,D,5,top,,
2024-05-13,2024-08-27,FENC,D,5,bottom,,
2024-05-13,2024-08-27,FENC,D,6,top,,
2024-05-13,2024-08-27,FENC,D,6,bottom,,
2024-05-13,2024-08-27,FENC,E,1,bottom,,
2024-05-13,2024-08-27,FENC,E,1,top,,
2024-05-13,2024-08-27,FENC,E,2,bottom,,
2024-05-13,2024-08-27,FENC,E,2,top,,
2024-05-13,2024-08-27,FENC,E,3,bottom,,
2024-05-13,2024-08-27,FENC,E,3,top,,
2024-05-13,2024-08-27,FENC,E,4,bottom,,
2024-05-13,2024-08-27,FENC,E,4,top,,
2024-05-13,2024-08-27,FENC,E,5,top,,
2024-05-13,2024-08-27,FENC,E,5,bottom,,
2024-05-13,2024-08-27,FENC,E,6,top,,
2024-05-13,2024-08-27,FENC,E,6,bottom,,
2024-05-13,2024-08-27,FENC,F,1,top,,
2024-05-13,2024-08-27,FENC,F,1,bottom,,
2024-05-13,2024-08-27,FENC,F,2,top,,
2024-05-13,2024-08-27,FENC,F,2,bottom,,
2024-05-13,2024-08-27,FENC,F,3,top,,
2024-05-13,2024-08-27,FENC,F,3,bottom,,
2024-05-13,2024-08-27,FENC,F,4,top,,
2024-05-13,2024-08-27,FENC,F,4,bottom,,
2024-05-13,2024-08-27,FENC,F,5,top,,
2024-05-13,2024-08-27,FENC,F,5,bottom,,
2024-05-13,2024-08-27,FENC,F,6,top,,
2024-05-13,2024-08-27,FENC,F,6,bottom,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
