date_deployed,date_collected,Site,Replicate,Shell,Side,Count_1,Count_2
2023-07-12,2023-10-05,FENC,A,1,top,3,3
2023-07-12,2023-10-05,FENC,A,1,bottom,7,7
2023-07-12,2023-10-05,FENC,A,2,top,3,3
2023-07-12,2023-10-05,FENC,A,2,bottom,3,3
2023-07-12,2023-10-05,FENC,A,3,top,7,7
2023-07-12,2023-10-05,FENC,A,3,bottom,3,3
2023-07-12,2023-10-05,FENC,A,4,top,10,10
2023-07-12,2023-10-05,FENC,A,4,bottom,4,4
2023-07-12,2023-10-05,FENC,A,5,top,5,5
2023-07-12,2023-10-05,FENC,A,5,bottom,7,7
2023-07-12,2023-10-05,FENC,A,6,top,3,3
2023-07-12,2023-10-05,FENC,A,6,bottom,5,5
2023-07-12,2023-10-05,FENC,A,7,top,2,2
2023-07-12,2023-10-05,FENC,A,7,bottom,8,8
2023-07-12,2023-10-05,FENC,A,8,top,5,5
2023-07-12,2023-10-05,FENC,A,8,bottom,6,6
2023-07-12,2023-10-05,FENC,A,9,top,3,3
2023-07-12,2023-10-05,FENC,A,9,bottom,3,3
2023-07-12,2023-10-05,FENC,A,10,top,2,2
2023-07-12,2023-10-05,FENC,A,10,bottom,4,4
2023-07-12,2023-10-05,FENC,A,11,top,9,9
2023-07-12,2023-10-05,FENC,A,11,bottom,3,3
2023-07-12,2023-10-05,FENC,A,12,top,1,1
2023-07-12,2023-10-05,FENC,A,12,bottom,2,2
2023-07-12,2023-10-05,FENC,B,1,bottom,0,0
2023-07-12,2023-10-05,FENC,B,1,top,4,4
2023-07-12,2023-10-05,FENC,B,2,bottom,2,2
2023-07-12,2023-10-05,FENC,B,2,top,4,4
2023-07-12,2023-10-05,FENC,B,3,bottom,6,6
2023-07-12,2023-10-05,FENC,B,3,top,4,4
2023-07-12,2023-10-05,FENC,B,4,bottom,6,7
2023-07-12,2023-10-05,FENC,B,4,top,3,2
2023-07-12,2023-10-05,FENC,B,5,top,4,4
2023-07-12,2023-10-05,FENC,B,5,bottom,2,2
2023-07-12,2023-10-05,FENC,B,6,top,6,6
2023-07-12,2023-10-05,FENC,B,6,bottom,5,5
2023-07-12,2023-10-05,FENC,B,7,top,2,2
2023-07-12,2023-10-05,FENC,B,7,bottom,3,3
2023-07-12,2023-10-05,FENC,B,8,top,4,4
2023-07-12,2023-10-05,FENC,B,8,bottom,4,4
2023-07-12,2023-10-05,FENC,B,9,top,6,6
2023-07-12,2023-10-05,FENC,B,9,bottom,2,2
2023-07-12,2023-10-05,FENC,B,10,top,2,2
2023-07-12,2023-10-05,FENC,B,10,bottom,5,5
2023-07-12,2023-10-05,FENC,B,11,top,1,1
2023-07-12,2023-10-05,FENC,B,11,bottom,5,5
2023-07-12,2023-10-05,FENC,B,12,top,2,2
2023-07-12,2023-10-05,FENC,B,12,bottom,3,3
2023-07-12,2023-10-05,FENC,C,1,bottom,2,2
2023-07-12,2023-10-05,FENC,C,1,top,4,4
2023-07-12,2023-10-05,FENC,C,2,bottom,4,4
2023-07-12,2023-10-05,FENC,C,2,top,1,1
2023-07-12,2023-10-05,FENC,C,3,bottom,4,4
2023-07-12,2023-10-05,FENC,C,3,top,3,3
2023-07-12,2023-10-05,FENC,C,4,bottom,4,4
2023-07-12,2023-10-05,FENC,C,4,top,4,4
2023-07-12,2023-10-05,FENC,C,5,top,1,1
2023-07-12,2023-10-05,FENC,C,5,bottom,1,1
2023-07-12,2023-10-05,FENC,C,6,top,9,9
2023-07-12,2023-10-05,FENC,C,6,bottom,6,6
2023-07-12,2023-10-05,FENC,C,7,top,1,1
2023-07-12,2023-10-05,FENC,C,7,bottom,1,1
2023-07-12,2023-10-05,FENC,C,8,top,8,8
2023-07-12,2023-10-05,FENC,C,8,bottom,2,2
2023-07-12,2023-10-05,FENC,C,9,top,5,5
2023-07-12,2023-10-05,FENC,C,9,bottom,0,0
2023-07-12,2023-10-05,FENC,C,10,top,6,6
2023-07-12,2023-10-05,FENC,C,10,bottom,3,3
2023-07-12,2023-10-05,FENC,C,11,top,5,5
2023-07-12,2023-10-05,FENC,C,11,bottom,3,3
2023-07-12,2023-10-05,FENC,C,12,top,1,1
2023-07-12,2023-10-05,FENC,C,12,bottom,2,2
