#,Date-Time (EDT),Ch:1 - Temperature   (°C),Started Offset,Button Down,Button Up,Host Connected,End of File
1,07/09/2024 09:47:27,,Logged,,,,
2,07/09/2024 09:47:48,29.834,,,,,
3,07/09/2024 09:52:48,28.998,,,,,
4,07/09/2024 09:57:48,26.252,,,,,
5,07/09/2024 10:02:48,25.770,,,,,
6,07/09/2024 10:07:48,25.641,,,,,
7,07/09/2024 10:12:48,25.630,,,,,
8,07/09/2024 10:17:48,25.695,,,,,
9,07/09/2024 10:22:48,25.802,,,,,
10,07/09/2024 10:27:48,25.995,,,,,
11,07/09/2024 10:32:48,25.866,,,,,
12,07/09/2024 10:37:48,25.780,,,,,
13,07/09/2024 10:42:48,25.952,,,,,
14,07/09/2024 10:47:48,25.802,,,,,
15,07/09/2024 10:52:48,25.394,,,,,
16,07/09/2024 10:57:48,24.890,,,,,
17,07/09/2024 11:02:48,24.568,,,,,
18,07/09/2024 11:07:48,24.161,,,,,
19,07/09/2024 11:12:48,24.118,,,,,
20,07/09/2024 11:17:48,24.139,,,,,
21,07/09/2024 11:22:48,24.107,,,,,
22,07/09/2024 11:27:48,24.129,,,,,
23,07/09/2024 11:32:48,24.129,,,,,
24,07/09/2024 11:37:48,23.936,,,,,
25,07/09/2024 11:42:48,23.796,,,,,
26,07/09/2024 11:47:48,23.753,,,,,
27,07/09/2024 11:52:48,23.646,,,,,
28,07/09/2024 11:57:48,23.528,,,,,
29,07/09/2024 12:02:48,23.421,,,,,
30,07/09/2024 12:07:48,23.314,,,,,
31,07/09/2024 12:12:48,23.239,,,,,
32,07/09/2024 12:17:48,23.110,,,,,
33,07/09/2024 12:22:48,23.003,,,,,
34,07/09/2024 12:27:48,22.842,,,,,
35,07/09/2024 12:32:48,22.788,,,,,
36,07/09/2024 12:37:48,22.638,,,,,
37,07/09/2024 12:42:48,22.509,,,,,
38,07/09/2024 12:47:48,22.541,,,,,
39,07/09/2024 12:52:48,22.584,,,,,
40,07/09/2024 12:57:48,22.670,,,,,
41,07/09/2024 13:02:48,22.692,,,,,
42,07/09/2024 13:07:48,22.724,,,,,
43,07/09/2024 13:12:48,22.777,,,,,
44,07/09/2024 13:17:48,22.820,,,,,
45,07/09/2024 13:22:48,22.970,,,,,
46,07/09/2024 13:27:48,23.121,,,,,
47,07/09/2024 13:32:48,23.163,,,,,
48,07/09/2024 13:37:48,23.249,,,,,
49,07/09/2024 13:42:48,23.314,,,,,
50,07/09/2024 13:47:48,23.346,,,,,
51,07/09/2024 13:52:48,23.335,,,,,
52,07/09/2024 13:57:48,23.281,,,,,
53,07/09/2024 14:02:48,23.281,,,,,
54,07/09/2024 14:07:48,23.249,,,,,
55,07/09/2024 14:12:48,23.249,,,,,
56,07/09/2024 14:17:48,23.335,,,,,
57,07/09/2024 14:22:48,23.389,,,,,
58,07/09/2024 14:27:48,23.507,,,,,
59,07/09/2024 14:32:48,23.571,,,,,
60,07/09/2024 14:37:48,23.678,,,,,
61,07/09/2024 14:42:48,23.732,,,,,
62,07/09/2024 14:47:48,23.775,,,,,
63,07/09/2024 14:52:48,23.807,,,,,
64,07/09/2024 14:57:48,23.828,,,,,
65,07/09/2024 15:02:48,23.818,,,,,
66,07/09/2024 15:07:48,23.828,,,,,
67,07/09/2024 15:12:48,23.882,,,,,
68,07/09/2024 15:17:48,23.914,,,,,
69,07/09/2024 15:22:48,24.000,,,,,
70,07/09/2024 15:27:48,24.129,,,,,
71,07/09/2024 15:32:48,24.257,,,,,
72,07/09/2024 15:37:48,24.397,,,,,
73,07/09/2024 15:42:48,24.568,,,,,
74,07/09/2024 15:47:48,24.719,,,,,
75,07/09/2024 15:52:48,24.912,,,,,
76,07/09/2024 15:57:48,25.083,,,,,
77,07/09/2024 16:02:48,25.201,,,,,
78,07/09/2024 16:07:48,25.319,,,,,
79,07/09/2024 16:12:48,25.523,,,,,
80,07/09/2024 16:17:48,25.662,,,,,
81,07/09/2024 16:22:48,25.802,,,,,
82,07/09/2024 16:27:48,25.909,,,,,
83,07/09/2024 16:32:48,26.016,,,,,
84,07/09/2024 16:37:48,26.156,,,,,
85,07/09/2024 16:42:48,26.284,,,,,
86,07/09/2024 16:47:48,26.435,,,,,
87,07/09/2024 16:52:48,26.563,,,,,
88,07/09/2024 16:57:48,26.713,,,,,
89,07/09/2024 17:02:48,26.874,,,,,
90,07/09/2024 17:07:48,27.046,,,,,
91,07/09/2024 17:12:48,27.207,,,,,
92,07/09/2024 17:17:48,27.400,,,,,
93,07/09/2024 17:22:48,27.571,,,,,
94,07/09/2024 17:27:48,27.732,,,,,
95,07/09/2024 17:32:48,27.893,,,,,
96,07/09/2024 17:37:48,28.022,,,,,
97,07/09/2024 17:42:48,28.108,,,,,
98,07/09/2024 17:47:48,28.204,,,,,
99,07/09/2024 17:52:48,28.258,,,,,
100,07/09/2024 17:57:48,28.311,,,,,
101,07/09/2024 18:02:48,28.354,,,,,
102,07/09/2024 18:07:48,28.376,,,,,
103,07/09/2024 18:12:48,28.397,,,,,
104,07/09/2024 18:17:48,28.408,,,,,
105,07/09/2024 18:22:48,28.429,,,,,
106,07/09/2024 18:27:48,28.429,,,,,
107,07/09/2024 18:32:48,28.440,,,,,
108,07/09/2024 18:37:48,28.451,,,,,
109,07/09/2024 18:42:48,28.440,,,,,
110,07/09/2024 18:47:48,28.429,,,,,
111,07/09/2024 18:52:48,28.429,,,,,
112,07/09/2024 18:57:48,28.419,,,,,
