#,Date-Time (EDT),Temperature   (°C),Started Offset,Button Down,Button Up,End of File
1,8/26/2024 11:59,,Logged,,,
2,8/26/2024 11:59,29.942,,,,
3,8/26/2024 12:00,,,Logged,Logged,
4,8/26/2024 12:09,26.756,,,,
5,8/26/2024 12:19,26.381,,,,
6,8/26/2024 12:29,25.855,,,,
7,8/26/2024 12:39,25.351,,,,
8,8/26/2024 12:49,24.633,,,,
9,8/26/2024 12:59,24.493,,,,
10,8/26/2024 13:09,25.008,,,,
11,8/26/2024 13:19,25.115,,,,
12,8/26/2024 13:29,25.308,,,,
13,8/26/2024 13:39,25.233,,,,
14,8/26/2024 13:49,25.362,,,,
15,8/26/2024 13:59,25.373,,,,
16,8/26/2024 14:09,25.48,,,,
17,8/26/2024 14:19,25.587,,,,
18,8/26/2024 14:29,25.619,,,,
19,8/26/2024 14:39,25.684,,,,
20,8/26/2024 14:49,25.673,,,,
21,8/26/2024 14:59,25.662,,,,
22,8/26/2024 15:09,25.577,,,,
23,8/26/2024 15:19,25.491,,,,
24,8/26/2024 15:29,25.426,,,,
25,8/26/2024 15:39,25.362,,,,
26,8/26/2024 15:49,25.201,,,,
27,8/26/2024 15:59,25.169,,,,
28,8/26/2024 16:09,25.062,,,,
29,8/26/2024 16:19,24.944,,,,
30,8/26/2024 16:29,24.89,,,,
31,8/26/2024 16:39,24.89,,,,
32,8/26/2024 16:49,24.74,,,,
33,8/26/2024 16:59,24.686,,,,
34,8/26/2024 17:09,24.633,,,,
35,8/26/2024 17:19,24.526,,,,
36,8/26/2024 17:29,24.547,,,,
37,8/26/2024 17:39,24.45,,,,
38,8/26/2024 17:49,24.472,,,,
39,8/26/2024 17:59,24.44,,,,
40,8/26/2024 18:09,24.408,,,,
41,8/26/2024 18:19,24.418,,,,
42,8/26/2024 18:29,24.515,,,,
43,8/26/2024 18:39,24.579,,,,
44,8/26/2024 18:49,24.601,,,,
45,8/26/2024 18:59,24.611,,,,
46,8/26/2024 19:09,24.654,,,,
47,8/26/2024 19:19,24.676,,,,
48,8/26/2024 19:29,24.686,,,,
49,8/26/2024 19:39,24.654,,,,
50,8/26/2024 19:49,24.783,,,,
51,8/26/2024 19:59,24.847,,,,
52,8/26/2024 20:09,24.89,,,,
53,8/26/2024 20:19,24.987,,,,
54,8/26/2024 20:29,25.115,,,,
55,8/26/2024 20:39,25.212,,,,
56,8/26/2024 20:49,25.351,,,,
57,8/26/2024 20:59,25.437,,,,
58,8/26/2024 21:09,25.523,,,,
59,8/26/2024 21:19,25.577,,,,
60,8/26/2024 21:29,25.609,,,,
61,8/26/2024 21:39,25.609,,,,
62,8/26/2024 21:49,25.619,,,,
63,8/26/2024 21:59,25.555,,,,
64,8/26/2024 22:09,25.48,,,,
65,8/26/2024 22:19,25.394,,,,
66,8/26/2024 22:29,25.373,,,,
67,8/26/2024 22:39,25.362,,,,
68,8/26/2024 22:49,25.384,,,,
69,8/26/2024 22:59,25.351,,,,
70,8/26/2024 23:09,25.319,,,,
71,8/26/2024 23:19,25.223,,,,
72,8/26/2024 23:29,25.255,,,,
73,8/26/2024 23:39,25.201,,,,
74,8/26/2024 23:49,25.083,,,,
75,8/26/2024 23:59,24.933,,,,
76,8/27/2024 0:09,23.614,,,,
77,8/27/2024 0:19,23.121,,,,
78,8/27/2024 0:29,23.485,,,,
79,8/27/2024 0:39,24.172,,,,
80,8/27/2024 0:49,24.311,,,,
81,8/27/2024 0:59,24.504,,,,
82,8/27/2024 1:09,24.322,,,,
83,8/27/2024 1:19,24.408,,,,
84,8/27/2024 1:29,24.568,,,,
85,8/27/2024 1:39,24.633,,,,
86,8/27/2024 1:49,24.086,,,,
87,8/27/2024 1:59,23.979,,,,
88,8/27/2024 2:09,23.925,,,,
89,8/27/2024 2:19,23.925,,,,
90,8/27/2024 2:29,23.925,,,,
91,8/27/2024 2:39,23.903,,,,
92,8/27/2024 2:49,23.903,,,,
93,8/27/2024 2:59,23.903,,,,
94,8/27/2024 3:09,23.925,,,,
95,8/27/2024 3:19,23.893,,,,
96,8/27/2024 3:29,23.85,,,,
97,8/27/2024 3:39,23.85,,,,
98,8/27/2024 3:49,23.85,,,,
99,8/27/2024 3:59,23.807,,,,
100,8/27/2024 4:09,23.785,,,,
101,8/27/2024 4:19,23.753,,,,
102,8/27/2024 4:29,23.732,,,,
103,8/27/2024 4:39,23.732,,,,
104,8/27/2024 4:49,23.71,,,,
105,8/27/2024 4:59,23.71,,,,
106,8/27/2024 5:09,23.71,,,,
107,8/27/2024 5:19,23.71,,,,
108,8/27/2024 5:29,23.721,,,,
109,8/27/2024 5:39,23.71,,,,
110,8/27/2024 5:49,23.71,,,,
111,8/27/2024 5:59,23.678,,,,
112,8/27/2024 6:09,23.689,,,,
113,8/27/2024 6:19,23.678,,,,
114,8/27/2024 6:29,23.678,,,,
115,8/27/2024 6:39,23.668,,,,
116,8/27/2024 6:49,23.657,,,,
117,8/27/2024 6:59,23.646,,,,
118,8/27/2024 7:09,23.635,,,,
119,8/27/2024 7:19,23.614,,,,
120,8/27/2024 7:29,23.582,,,,
121,8/27/2024 7:39,23.571,,,,
122,8/27/2024 7:49,23.571,,,,
123,8/27/2024 7:59,23.592,,,,
124,8/27/2024 8:09,23.571,,,,
125,8/27/2024 8:19,23.507,,,,
126,8/27/2024 8:29,23.474,,,,
127,8/27/2024 8:39,23.464,,,,
128,8/27/2024 8:49,23.453,,,,
129,8/27/2024 8:59,23.474,,,,
130,8/27/2024 9:09,23.539,,,,
131,8/27/2024 9:19,23.592,,,,
132,8/27/2024 9:29,23.646,,,,
133,8/27/2024 9:39,23.678,,,,
134,8/27/2024 9:49,23.732,,,,
135,8/27/2024 9:59,23.796,,,,
136,8/27/2024 10:09,23.882,,,,
137,8/27/2024 10:19,24,,,,
138,8/27/2024 10:29,24.129,,,,
139,8/27/2024 10:39,24.257,,,,
140,8/27/2024 10:49,24.408,,,,
141,8/27/2024 10:59,24.536,,,,
142,8/27/2024 11:09,24.686,,,,
143,8/27/2024 11:19,24.826,,,,
144,8/27/2024 11:29,24.987,,,,
145,8/27/2024 11:39,25.233,,,,
146,8/27/2024 11:49,25.373,,,,
147,8/27/2024 11:59,25.523,,,,
148,8/27/2024 12:09,25.684,,,,
149,8/27/2024 12:19,25.855,,,,
150,8/27/2024 12:29,26.091,,,,
151,8/27/2024 12:39,26.242,,,,
152,8/27/2024 12:49,26.531,,,,
153,8/27/2024 12:59,26.703,,,,
154,8/27/2024 13:09,26.874,,,,
155,8/27/2024 13:19,26.864,,,,
156,8/27/2024 13:29,26.413,,,,
157,8/27/2024 13:39,25.92,,,,
158,8/27/2024 13:49,24.826,,,,
159,8/27/2024 13:59,24.719,,,,
160,8/27/2024 14:09,25.019,,,,
161,8/27/2024 14:19,25.544,,,,
162,8/27/2024 14:29,25.791,,,,
163,8/27/2024 14:39,25.855,,,,
164,8/27/2024 14:49,25.748,,,,
165,8/27/2024 14:59,25.748,,,,
166,8/27/2024 15:09,25.759,,,,
167,8/27/2024 15:19,25.748,,,,
168,8/27/2024 15:29,25.727,,,,
169,8/27/2024 15:39,25.727,,,,
170,8/27/2024 15:49,25.737,,,,
171,8/27/2024 15:59,25.695,,,,
172,8/27/2024 16:09,25.695,,,,
173,8/27/2024 16:19,25.673,,,,
174,8/27/2024 16:29,25.577,,,,
175,8/27/2024 16:39,25.512,,,,
176,8/27/2024 16:49,25.523,,,,
177,8/27/2024 16:59,25.544,,,,
178,8/27/2024 17:09,25.491,,,,
179,8/27/2024 17:19,25.502,,,,
180,8/27/2024 17:29,25.459,,,,
181,8/27/2024 17:39,25.502,,,,
182,8/27/2024 17:49,25.405,,,,
183,8/27/2024 17:59,25.319,,,,
184,8/27/2024 18:09,25.276,,,,
185,8/27/2024 18:19,25.201,,,,
186,8/27/2024 18:29,25.212,,,,
187,8/27/2024 18:39,25.169,,,,
188,8/27/2024 18:49,25.18,,,,
189,8/27/2024 18:59,25.201,,,,
190,8/27/2024 19:09,25.158,,,,
191,8/27/2024 19:19,25.212,,,,
192,8/27/2024 19:29,25.233,,,,
193,8/27/2024 19:39,25.276,,,,
194,8/27/2024 19:49,25.319,,,,
195,8/27/2024 19:59,25.319,,,,
196,8/27/2024 20:09,25.298,,,,
197,8/27/2024 20:19,25.276,,,,
198,8/27/2024 20:29,25.266,,,,
199,8/27/2024 20:39,25.308,,,,
200,8/27/2024 20:49,25.351,,,,
201,8/27/2024 20:59,25.384,,,,
202,8/27/2024 21:09,25.426,,,,
203,8/27/2024 21:19,25.437,,,,
204,8/27/2024 21:29,25.48,,,,
205,8/27/2024 21:39,25.523,,,,
206,8/27/2024 21:49,25.577,,,,
207,8/27/2024 21:59,25.63,,,,
208,8/27/2024 22:09,25.684,,,,
209,8/27/2024 22:19,25.716,,,,
210,8/27/2024 22:29,25.748,,,,
211,8/27/2024 22:39,25.78,,,,
212,8/27/2024 22:49,25.791,,,,
213,8/27/2024 22:59,25.78,,,,
214,8/27/2024 23:09,25.662,,,,
215,8/27/2024 23:19,25.577,,,,
216,8/27/2024 23:29,25.577,,,,
217,8/27/2024 23:39,25.63,,,,
218,8/27/2024 23:49,25.662,,,,
219,8/27/2024 23:59,25.662,,,,
220,8/28/2024 0:09,25.63,,,,
221,8/28/2024 0:19,25.587,,,,
222,8/28/2024 0:29,25.544,,,,
223,8/28/2024 0:39,25.512,,,,
224,8/28/2024 0:49,25.48,,,,
225,8/28/2024 0:59,25.426,,,,
226,8/28/2024 1:09,25.255,,,,
227,8/28/2024 1:19,25.201,,,,
228,8/28/2024 1:29,25.115,,,,
229,8/28/2024 1:39,24.955,,,,
230,8/28/2024 1:49,24.944,,,,
231,8/28/2024 1:59,24.922,,,,
232,8/28/2024 2:09,24.987,,,,
233,8/28/2024 2:19,24.89,,,,
234,8/28/2024 2:29,24.944,,,,
235,8/28/2024 2:39,25.03,,,,
236,8/28/2024 2:49,24.719,,,,
237,8/28/2024 2:59,24.493,,,,
238,8/28/2024 3:09,24.45,,,,
239,8/28/2024 3:19,24.365,,,,
240,8/28/2024 3:29,24.365,,,,
241,8/28/2024 3:39,24.311,,,,
242,8/28/2024 3:49,24.3,,,,
243,8/28/2024 3:59,24.279,,,,
244,8/28/2024 4:09,24.257,,,,
245,8/28/2024 4:19,24.193,,,,
246,8/28/2024 4:29,24.193,,,,
247,8/28/2024 4:39,24.172,,,,
248,8/28/2024 4:49,24.107,,,,
249,8/28/2024 4:59,24.054,,,,
250,8/28/2024 5:09,24,,,,
251,8/28/2024 5:19,23.946,,,,
252,8/28/2024 5:29,23.968,,,,
253,8/28/2024 5:39,23.936,,,,
254,8/28/2024 5:49,23.936,,,,
255,8/28/2024 5:59,23.903,,,,
256,8/28/2024 6:09,23.861,,,,
257,8/28/2024 6:19,23.839,,,,
258,8/28/2024 6:29,23.818,,,,
259,8/28/2024 6:39,23.796,,,,
260,8/28/2024 6:49,23.764,,,,
261,8/28/2024 6:59,23.721,,,,
262,8/28/2024 7:09,23.689,,,,
263,8/28/2024 7:19,23.657,,,,
264,8/28/2024 7:29,23.646,,,,
265,8/28/2024 7:39,23.668,,,,
266,8/28/2024 7:49,23.678,,,,
267,8/28/2024 7:59,23.678,,,,
268,8/28/2024 8:09,23.689,,,,
269,8/28/2024 8:19,23.7,,,,
270,8/28/2024 8:29,23.764,,,,
271,8/28/2024 8:39,23.818,,,,
272,8/28/2024 8:49,23.818,,,,
273,8/28/2024 8:59,23.85,,,,
274,8/28/2024 9:09,23.861,,,,
275,8/28/2024 9:19,23.903,,,,
276,8/28/2024 9:29,23.957,,,,
277,8/28/2024 9:39,24,,,,
278,8/28/2024 9:49,24.075,,,,
279,8/28/2024 9:59,24.15,,,,
280,8/28/2024 10:09,24.225,,,,
281,8/28/2024 10:19,24.29,,,,
282,8/28/2024 10:29,24.354,,,,
283,8/28/2024 10:39,24.44,,,,
284,8/28/2024 10:49,24.526,,,,
285,8/28/2024 10:59,24.633,,,,
286,8/28/2024 11:09,24.74,,,,
287,8/28/2024 11:19,24.879,,,,
288,8/28/2024 11:29,25.04,,,,
289,8/28/2024 11:39,25.233,,,,
290,8/28/2024 11:49,25.416,,,,
291,8/28/2024 11:59,25.63,,,,
292,8/28/2024 12:09,25.834,,,,
293,8/28/2024 12:19,25.973,,,,
294,8/28/2024 12:29,26.156,,,,
295,8/28/2024 12:39,26.306,,,,
296,8/28/2024 12:49,26.488,,,,
297,8/28/2024 12:59,26.595,,,,
298,8/28/2024 13:09,26.874,,,,
299,8/28/2024 13:19,27.057,,,,
300,8/28/2024 13:29,27.196,,,,
301,8/28/2024 13:39,27.421,,,,
302,8/28/2024 13:49,27.593,,,,
303,8/28/2024 13:59,27.743,,,,
304,8/28/2024 14:09,27.882,,,,
305,8/28/2024 14:19,27.99,,,,
306,8/28/2024 14:29,27.958,,,,
307,8/28/2024 14:39,26.767,,,,
308,8/28/2024 14:49,25.716,,,,
309,8/28/2024 14:59,24.686,,,,
310,8/28/2024 15:09,24.708,,,,
311,8/28/2024 15:19,24.751,,,,
312,8/28/2024 15:29,24.729,,,,
313,8/28/2024 15:39,24.804,,,,
314,8/28/2024 15:49,24.719,,,,
315,8/28/2024 15:59,24.654,,,,
316,8/28/2024 16:09,24.708,,,,
317,8/28/2024 16:19,24.719,,,,
318,8/28/2024 16:29,24.622,,,,
319,8/28/2024 16:39,24.558,,,,
320,8/28/2024 16:49,24.397,,,,
321,8/28/2024 16:59,24.225,,,,
322,8/28/2024 17:09,24.097,,,,
323,8/28/2024 17:19,24.021,,,,
324,8/28/2024 17:29,23.968,,,,
325,8/28/2024 17:39,23.946,,,,
326,8/28/2024 17:49,23.796,,,,
327,8/28/2024 17:59,23.646,,,,
328,8/28/2024 18:09,23.646,,,,
329,8/28/2024 18:19,23.625,,,,
330,8/28/2024 18:29,23.646,,,,
331,8/28/2024 18:39,23.507,,,,
332,8/28/2024 18:49,23.464,,,,
333,8/28/2024 18:59,23.324,,,,
334,8/28/2024 19:09,23.335,,,,
335,8/28/2024 19:19,23.249,,,,
336,8/28/2024 19:29,23.228,,,,
337,8/28/2024 19:39,23.163,,,,
338,8/28/2024 19:49,23.228,,,,
339,8/28/2024 19:59,23.249,,,,
340,8/28/2024 20:09,23.271,,,,
341,8/28/2024 20:19,23.314,,,,
342,8/28/2024 20:29,23.356,,,,
343,8/28/2024 20:39,23.335,,,,
344,8/28/2024 20:49,23.335,,,,
