#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Host Connected,Water Detect,Button Down,Button Up,End of File
1,6/14/2023 9:59,,Logged,,,,
2,6/14/2023 13:22,,,In,,,
3,6/14/2023 17:00,19.538,,,,,
4,6/14/2023 17:10,19.26,,,,,
5,6/14/2023 17:20,19.099,,,,,
6,6/14/2023 17:30,18.959,,,,,
7,6/14/2023 17:40,18.809,,,,,
8,6/14/2023 17:50,18.616,,,,,
9,6/14/2023 18:00,18.477,,,,,
10,6/14/2023 18:10,18.369,,,,,
11,6/14/2023 18:20,18.305,,,,,
12,6/14/2023 18:30,18.241,,,,,
13,6/14/2023 18:40,18.208,,,,,
14,6/14/2023 18:50,18.166,,,,,
15,6/14/2023 19:00,18.123,,,,,
16,6/14/2023 19:10,18.101,,,,,
17,6/14/2023 19:20,18.08,,,,,
18,6/14/2023 19:30,18.155,,,,,
19,6/14/2023 19:40,18.251,,,,,
20,6/14/2023 19:50,18.305,,,,,
21,6/14/2023 20:00,18.294,,,,,
22,6/14/2023 20:10,18.284,,,,,
23,6/14/2023 20:20,18.316,,,,,
24,6/14/2023 20:30,18.316,,,,,
25,6/14/2023 20:40,18.326,,,,,
26,6/14/2023 20:50,18.284,,,,,
27,6/14/2023 21:00,18.23,,,,,
28,6/14/2023 21:10,18.155,,,,,
29,6/14/2023 21:20,18.112,,,,,
30,6/14/2023 21:30,18.08,,,,,
31,6/14/2023 21:40,18.037,,,,,
32,6/14/2023 21:50,18.101,,,,,
33,6/14/2023 22:00,18.058,,,,,
34,6/14/2023 22:10,18.037,,,,,
35,6/14/2023 22:20,18.037,,,,,
36,6/14/2023 22:30,18.037,,,,,
37,6/14/2023 22:40,18.037,,,,,
38,6/14/2023 22:50,18.015,,,,,
39,6/14/2023 23:00,18.005,,,,,
40,6/14/2023 23:10,17.983,,,,,
41,6/14/2023 23:20,17.962,,,,,
42,6/14/2023 23:30,17.93,,,,,
43,6/14/2023 23:40,17.897,,,,,
44,6/14/2023 23:50,17.876,,,,,
45,6/15/2023 0:00,17.855,,,,,
46,6/15/2023 0:10,17.855,,,,,
47,6/15/2023 0:20,17.876,,,,,
48,6/15/2023 0:30,17.93,,,,,
49,6/15/2023 0:40,18.005,,,,,
50,6/15/2023 0:50,18.069,,,,,
51,6/15/2023 1:00,18.144,,,,,
52,6/15/2023 1:10,18.198,,,,,
53,6/15/2023 1:20,18.273,,,,,
54,6/15/2023 1:30,18.326,,,,,
55,6/15/2023 1:40,18.369,,,,,
56,6/15/2023 1:50,18.391,,,,,
57,6/15/2023 2:00,18.401,,,,,
58,6/15/2023 2:10,18.391,,,,,
59,6/15/2023 2:20,18.38,,,,,
60,6/15/2023 2:30,18.359,,,,,
61,6/15/2023 2:40,18.326,,,,,
62,6/15/2023 2:50,18.294,,,,,
63,6/15/2023 3:00,18.273,,,,,
64,6/15/2023 3:10,18.23,,,,,
65,6/15/2023 3:20,18.187,,,,,
66,6/15/2023 3:30,18.144,,,,,
67,6/15/2023 3:40,18.123,,,,,
68,6/15/2023 3:50,18.112,,,,,
69,6/15/2023 4:00,18.09,,,,,
70,6/15/2023 4:10,18.069,,,,,
71,6/15/2023 4:20,18.037,,,,,
72,6/15/2023 4:30,17.994,,,,,
73,6/15/2023 4:40,17.94,,,,,
74,6/15/2023 4:50,17.897,,,,,
75,6/15/2023 5:00,17.833,,,,,
76,6/15/2023 5:10,17.79,,,,,
77,6/15/2023 5:20,17.769,,,,,
78,6/15/2023 5:30,17.726,,,,,
79,6/15/2023 5:40,17.661,,,,,
80,6/15/2023 5:50,17.586,,,,,
81,6/15/2023 6:00,17.619,,,,,
82,6/15/2023 6:10,17.104,,,,,
83,6/15/2023 6:20,17.029,,,,,
84,6/15/2023 6:30,17.104,,,,,
85,6/15/2023 6:40,17.179,,,,,
86,6/15/2023 6:50,17.2,,,,,
87,6/15/2023 7:00,17.232,,,,,
88,6/15/2023 7:10,17.265,,,,,
89,6/15/2023 7:20,17.297,,,,,
90,6/15/2023 7:30,17.318,,,,,
91,6/15/2023 7:40,17.372,,,,,
92,6/15/2023 7:50,17.404,,,,,
93,6/15/2023 8:00,17.426,,,,,
94,6/15/2023 8:10,17.447,,,,,
95,6/15/2023 8:20,17.468,,,,,
96,6/15/2023 8:30,17.511,,,,,
97,6/15/2023 8:40,17.533,,,,,
98,6/15/2023 8:50,17.554,,,,,
99,6/15/2023 9:00,17.533,,,,,
100,6/15/2023 9:10,17.511,,,,,
101,6/15/2023 9:20,17.533,,,,,
102,6/15/2023 9:30,17.597,,,,,
103,6/15/2023 9:40,17.661,,,,,
104,6/15/2023 9:50,17.715,,,,,
105,6/15/2023 10:00,17.694,,,,,
106,6/15/2023 10:10,17.715,,,,,
107,6/15/2023 10:20,17.747,,,,,
108,6/15/2023 10:30,17.919,,,,,
109,6/15/2023 10:40,17.865,,,,,
110,6/15/2023 10:50,17.887,,,,,
111,6/15/2023 11:00,17.972,,,,,
112,6/15/2023 11:10,18.123,,,,,
113,6/15/2023 11:20,18.262,,,,,
114,6/15/2023 11:30,18.444,,,,,
115,6/15/2023 11:40,18.616,,,,,
116,6/15/2023 11:50,18.83,,,,,
117,6/15/2023 12:00,19.013,,,,,
118,6/15/2023 12:10,19.184,,,,,
119,6/15/2023 12:20,19.335,,,,,
120,6/15/2023 12:30,19.463,,,,,
121,6/15/2023 12:40,19.592,,,,,
122,6/15/2023 12:50,19.699,,,,,
123,6/15/2023 13:00,19.828,,,,,
124,6/15/2023 13:10,19.892,,,,,
125,6/15/2023 13:20,19.989,,,,,
126,6/15/2023 13:30,20.128,,,,,
127,6/15/2023 13:40,20.214,,,,,
128,6/15/2023 13:50,20.225,,,,,
129,6/15/2023 14:00,20.353,,,,,
130,6/15/2023 14:10,20.557,,,,,
131,6/15/2023 14:20,20.74,,,,,
132,6/15/2023 14:30,20.847,,,,,
133,6/15/2023 14:40,21.029,,,,,
134,6/15/2023 14:50,21.201,,,,,
135,6/15/2023 15:00,21.351,,,,,
136,6/15/2023 15:10,21.437,,,,,
137,6/15/2023 15:20,21.565,,,,,
138,6/15/2023 15:30,21.576,,,,,
139,6/15/2023 15:40,21.64,,,,,
140,6/15/2023 15:50,21.855,,,,,
141,6/15/2023 16:00,21.791,,,,,
142,6/15/2023 16:10,21.823,,,,,
143,6/15/2023 16:20,21.941,,,,,
144,6/15/2023 16:30,22.037,,,,,
145,6/15/2023 16:40,22.112,,,,,
146,6/15/2023 16:50,22.198,,,,,
147,6/15/2023 17:00,22.23,,,,,
148,6/15/2023 17:10,22.316,,,,,
149,6/15/2023 17:20,22.413,,,,,
150,6/15/2023 17:30,22.273,,,,,
151,6/15/2023 17:40,21.222,,,,,
152,6/15/2023 17:50,20.053,,,,,
153,6/15/2023 18:00,19.474,,,,,
154,6/15/2023 18:10,19.174,,,,,
155,6/15/2023 18:20,19.099,,,,,
156,6/15/2023 18:30,19.066,,,,,
157,6/15/2023 18:40,19.013,,,,,
158,6/15/2023 18:50,18.959,,,,,
159,6/15/2023 19:00,18.863,,,,,
160,6/15/2023 19:10,18.788,,,,,
161,6/15/2023 19:20,18.745,,,,,
162,6/15/2023 19:30,18.723,,,,,
163,6/15/2023 19:40,18.67,,,,,
164,6/15/2023 19:50,18.616,,,,,
165,6/15/2023 20:00,18.562,,,,,
166,6/15/2023 20:10,18.487,,,,,
167,6/15/2023 20:20,18.444,,,,,
168,6/15/2023 20:30,18.369,,,,,
169,6/15/2023 20:40,18.294,,,,,
170,6/15/2023 20:50,18.208,,,,,
171,6/15/2023 21:00,18.155,,,,,
172,6/15/2023 21:10,18.123,,,,,
173,6/15/2023 21:20,18.123,,,,,
174,6/15/2023 21:30,18.133,,,,,
175,6/15/2023 21:40,18.123,,,,,
176,6/15/2023 21:50,18.101,,,,,
177,6/15/2023 22:00,18.09,,,,,
178,6/15/2023 22:10,18.08,,,,,
179,6/15/2023 22:20,18.069,,,,,
180,6/15/2023 22:30,18.026,,,,,
181,6/15/2023 22:40,18.015,,,,,
182,6/15/2023 22:50,18.037,,,,,
183,6/15/2023 23:00,18.037,,,,,
184,6/15/2023 23:10,18.037,,,,,
185,6/15/2023 23:20,18.037,,,,,
186,6/15/2023 23:30,18.037,,,,,
187,6/15/2023 23:40,18.037,,,,,
188,6/15/2023 23:50,18.026,,,,,
189,6/16/2023 0:00,18.026,,,,,
190,6/16/2023 0:10,18.026,,,,,
191,6/16/2023 0:20,18.037,,,,,
192,6/16/2023 0:30,18.048,,,,,
193,6/16/2023 0:40,18.08,,,,,
194,6/16/2023 0:50,18.123,,,,,
195,6/16/2023 1:00,18.187,,,,,
196,6/16/2023 1:10,18.262,,,,,
197,6/16/2023 1:20,18.337,,,,,
198,6/16/2023 1:30,18.412,,,,,
199,6/16/2023 1:40,18.498,,,,,
200,6/16/2023 1:50,18.584,,,,,
201,6/16/2023 2:00,18.659,,,,,
202,6/16/2023 2:10,18.755,,,,,
203,6/16/2023 2:20,18.82,,,,,
204,6/16/2023 2:30,18.873,,,,,
205,6/16/2023 2:40,18.895,,,,,
206,6/16/2023 2:50,18.906,,,,,
207,6/16/2023 3:00,18.906,,,,,
208,6/16/2023 3:10,18.906,,,,,
209,6/16/2023 3:20,18.873,,,,,
210,6/16/2023 3:30,18.852,,,,,
211,6/16/2023 3:40,18.83,,,,,
212,6/16/2023 3:50,18.788,,,,,
213,6/16/2023 4:00,18.755,,,,,
214,6/16/2023 4:10,18.723,,,,,
215,6/16/2023 4:20,18.691,,,,,
216,6/16/2023 4:30,18.648,,,,,
217,6/16/2023 4:40,18.616,,,,,
218,6/16/2023 4:50,18.584,,,,,
219,6/16/2023 5:00,18.541,,,,,
220,6/16/2023 5:10,18.498,,,,,
221,6/16/2023 5:20,18.477,,,,,
222,6/16/2023 5:30,18.466,,,,,
223,6/16/2023 5:40,18.412,,,,,
224,6/16/2023 5:50,18.38,,,,,
225,6/16/2023 6:00,18.359,,,,,
226,6/16/2023 6:10,18.337,,,,,
227,6/16/2023 6:20,18.273,,,,,
228,6/16/2023 6:30,18.208,,,,,
229,6/16/2023 6:40,18.198,,,,,
230,6/16/2023 6:50,18.166,,,,,
231,6/16/2023 7:00,17.64,,,,,
232,6/16/2023 7:10,17.404,,,,,
233,6/16/2023 7:20,17.383,,,,,
234,6/16/2023 7:30,17.383,,,,,
235,6/16/2023 7:40,17.383,,,,,
236,6/16/2023 7:50,17.393,,,,,
237,6/16/2023 8:00,17.436,,,,,
238,6/16/2023 8:10,17.468,,,,,
239,6/16/2023 8:20,17.49,,,,,
240,6/16/2023 8:30,17.522,,,,,
241,6/16/2023 8:40,17.554,,,,,
242,6/16/2023 8:50,17.597,,,,,
243,6/16/2023 9:00,17.608,,,,,
244,6/16/2023 9:10,17.619,,,,,
245,6/16/2023 9:20,17.629,,,,,
246,6/16/2023 9:30,17.64,,,,,
247,6/16/2023 9:40,17.704,,,,,
248,6/16/2023 9:50,17.694,,,,,
249,6/16/2023 10:00,17.726,,,,,
250,6/16/2023 10:10,17.769,,,,,
251,6/16/2023 10:20,17.833,,,,,
252,6/16/2023 10:30,17.897,,,,,
253,6/16/2023 10:40,17.93,,,,,
254,6/16/2023 10:50,17.94,,,,,
255,6/16/2023 11:00,17.962,,,,,
256,6/16/2023 11:10,17.983,,,,,
257,6/16/2023 11:20,18.112,,,,,
258,6/16/2023 11:30,18.348,,,,,
259,6/16/2023 11:40,18.434,,,,,
260,6/16/2023 11:50,18.605,,,,,
261,6/16/2023 12:00,18.873,,,,,
262,6/16/2023 12:10,19.238,,,,,
263,6/16/2023 12:20,19.624,,,,,
264,6/16/2023 12:30,20,,,,,
265,6/16/2023 12:40,20.375,,,,,
266,6/16/2023 12:50,20.654,,,,,
267,6/16/2023 13:00,20.89,,,,,
268,6/16/2023 13:10,21.072,,,,,
269,6/16/2023 13:20,21.222,,,,,
270,6/16/2023 13:30,21.362,,,,,
271,6/16/2023 13:40,21.533,,,,,
272,6/16/2023 13:50,21.673,,,,,
273,6/16/2023 14:00,21.726,,,,,
274,6/16/2023 14:10,21.823,,,,,
275,6/16/2023 14:20,21.876,,,,,
276,6/16/2023 14:30,21.973,,,,,
277,6/16/2023 14:40,22.069,,,,,
278,6/16/2023 14:50,22.134,,,,,
279,6/16/2023 15:00,22.155,,,,,
280,6/16/2023 15:10,22.134,,,,,
281,6/16/2023 15:20,22.112,,,,,
282,6/16/2023 15:30,22.091,,,,,
283,6/16/2023 15:40,22.037,,,,,
284,6/16/2023 15:50,22.005,,,,,
285,6/16/2023 16:00,21.984,,,,,
286,6/16/2023 16:10,21.941,,,,,
287,6/16/2023 16:20,21.898,,,,,
288,6/16/2023 16:30,21.855,,,,,
289,6/16/2023 16:40,21.791,,,,,
290,6/16/2023 16:50,21.726,,,,,
291,6/16/2023 17:00,21.662,,,,,
292,6/16/2023 17:10,21.565,,,,,
293,6/16/2023 17:20,21.469,,,,,
294,6/16/2023 17:30,21.437,,,,,
295,6/16/2023 17:40,21.394,,,,,
296,6/16/2023 17:50,21.351,,,,,
297,6/16/2023 18:00,21.319,,,,,
298,6/16/2023 18:10,21.265,,,,,
299,6/16/2023 18:20,20.257,,,,,
300,6/16/2023 18:30,19.549,,,,,
301,6/16/2023 18:40,19.42,,,,,
302,6/16/2023 18:50,19.399,,,,,
303,6/16/2023 19:00,19.313,,,,,
304,6/16/2023 19:10,19.227,,,,,
305,6/16/2023 19:20,19.131,,,,,
306,6/16/2023 19:30,19.056,,,,,
307,6/16/2023 19:40,18.906,,,,,
308,6/16/2023 19:50,18.755,,,,,
309,6/16/2023 20:00,18.605,,,,,
310,6/16/2023 20:10,18.552,,,,,
311,6/16/2023 20:20,18.434,,,,,
312,6/16/2023 20:30,18.326,,,,,
313,6/16/2023 20:40,18.208,,,,,
314,6/16/2023 20:50,18.112,,,,,
315,6/16/2023 21:00,18.101,,,,,
