Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
011024-102722,1/10/2024 10:29,dsDNA BR,0424FENC_01,18.1,ng/uL,0.452,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.88977855,933.81706,,115,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-102722,1/10/2024 10:29,dsDNA BR,0424FENC_01,22.5,ng/uL,0.563,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.98321348,812.8328598,,123,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-102722,1/10/2024 10:29,dsDNA BR,0424FENC_02,48,ng/uL,1.2,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.73352123,892.7145387,,258,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-102722,1/10/2024 10:29,dsDNA BR,0424FENC_02,39.8,ng/uL,0.996,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.2006959,1087.567693,,264,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-102722,1/10/2024 10:29,dsDNA BR,0424FENC_03,40,ng/uL,1,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.25909274,1061.40942,,260,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-102722,1/10/2024 10:29,dsDNA BR,0424FENC_03,42,ng/uL,1.05,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.32615753,811.8988442,,209,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-102722,1/10/2024 10:29,dsDNA BR,0424FENC_04,102,ng/uL,2.55,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.70573695,716.5125074,,407,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-102722,1/10/2024 10:29,dsDNA BR,0424FENC_04,87.2,ng/uL,2.18,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.39039405,762.9389173,,377,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:57,dsDNA BR,0424FENC_05,12.1,ng/uL,0.302,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.88977855,933.81706,,82.5,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:57,dsDNA BR,0424FENC_05,14.6,ng/uL,0.365,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.98321348,812.8328598,,85.7,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:57,dsDNA BR,0424FENC_06,46,ng/uL,1.15,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.73352123,892.7145387,,249,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:57,dsDNA BR,0424FENC_06,38.8,ng/uL,0.97,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.2006959,1087.567693,,258,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:57,dsDNA BR,0424FENC_07,9.96,ng/uL,0.249,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.25909274,1061.40942,,77.9,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:57,dsDNA BR,0424FENC_07,11,ng/uL,0.276,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.32615753,811.8988442,,66.3,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:57,dsDNA BR,0424FENC_08,28.6,ng/uL,0.716,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.70573695,716.5125074,,132,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:57,dsDNA BR,0424FENC_08,25.6,ng/uL,0.641,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.39039405,762.9389173,,127,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:58,dsDNA BR,0424FENC_09,25.8,ng/uL,0.646,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.88977855,933.81706,,156,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:58,dsDNA BR,0424FENC_09,30.8,ng/uL,0.771,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.98321348,812.8328598,,161,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:58,dsDNA BR,0424FENC_10,32.3,ng/uL,0.808,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.73352123,892.7145387,,182,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:58,dsDNA BR,0424FENC_10,22.5,ng/uL,0.563,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.2006959,1087.567693,,159,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:58,dsDNA BR,0424FENC_11,21.7,ng/uL,0.543,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.25909274,1061.40942,,150,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:58,dsDNA BR,0424FENC_11,26.2,ng/uL,0.655,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.32615753,811.8988442,,137,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:58,dsDNA BR,0424FENC_12,32.4,ng/uL,0.811,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.70573695,716.5125074,,148,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:58,dsDNA BR,0424FENC_12,30.8,ng/uL,0.769,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.39039405,762.9389173,,149,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:59,dsDNA BR,0424FENC_13,60,ng/uL,1.5,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.88977855,933.81706,,331,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:59,dsDNA BR,0424FENC_13,79.2,ng/uL,1.98,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.98321348,812.8328598,,369,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:59,dsDNA BR,0424FENC_14,43.2,ng/uL,1.08,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.73352123,892.7145387,,234,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:59,dsDNA BR,0424FENC_14,36.8,ng/uL,0.919,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.2006959,1087.567693,,246,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:59,dsDNA BR,0424FENC_15,67.2,ng/uL,1.68,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.25909274,1061.40942,,415,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:59,dsDNA BR,0424FENC_15,75.2,ng/uL,1.88,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.32615753,811.8988442,,351,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:59,dsDNA BR,0424FENC_16,93.2,ng/uL,2.33,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.70573695,716.5125074,,376,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 10:59,dsDNA BR,0424FENC_16,81.2,ng/uL,2.03,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.39039405,762.9389173,,353,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 11:00,dsDNA BR,0424FENC_17,37.2,ng/uL,0.929,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.88977855,933.81706,,215,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 11:00,dsDNA BR,0424FENC_17,43.2,ng/uL,1.08,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.98321348,812.8328598,,216,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 11:00,dsDNA BR,0424FENC_18,53.2,ng/uL,1.33,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.73352123,892.7145387,,283,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 11:00,dsDNA BR,0424FENC_18,40,ng/uL,1,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.2006959,1087.567693,,265,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 11:00,dsDNA BR,0424FENC_19,39.6,ng/uL,0.989,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.25909274,1061.40942,,257,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 11:00,dsDNA BR,0424FENC_19,46.4,ng/uL,1.16,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.32615753,811.8988442,,229,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 11:00,dsDNA BR,0424FENC_20,28.1,ng/uL,0.702,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.70573695,716.5125074,,130,1/10/2024 10:27,,,,,,8,1.9.0,8
011024-105720,1/10/2024 11:00,dsDNA BR,0424FENC_20,25.1,ng/uL,0.628,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.39039405,762.9389173,,125,1/10/2024 10:27,,,,,,8,1.9.0,8
