Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type,,,,,,,,,,,,,,,,,,
0523LAUR_01,4/10/2024 3:00:58 PM,112.8,ng/µl,2.256,1.182,1.91,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_01,4/10/2024 3:01:59 PM,112.3,ng/µl,2.246,1.175,1.91,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_02,4/10/2024 3:02:26 PM,125.8,ng/µl,2.516,1.268,1.99,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_02,4/10/2024 3:02:44 PM,126,ng/µl,2.521,1.259,2,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_03,4/10/2024 3:03:11 PM,126.9,ng/µl,2.538,1.253,2.03,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_03,4/10/2024 3:03:29 PM,126.8,ng/µl,2.537,1.261,2.01,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_04,4/10/2024 3:04:25 PM,169.1,ng/µl,3.382,1.754,1.93,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_04,4/10/2024 3:04:47 PM,168.5,ng/µl,3.371,1.744,1.93,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_05,4/10/2024 3:05:54 PM,119.5,ng/µl,2.391,1.311,1.82,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_05,4/10/2024 3:05:29 PM,119.7,ng/µl,2.395,1.323,1.81,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_06,4/10/2024 3:06:38 PM,192.1,ng/µl,3.842,1.955,1.97,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_06,4/10/2024 3:06:22 PM,191.2,ng/µl,3.823,1.938,1.97,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_07,4/10/2024 3:07:15 PM,127.7,ng/µl,2.554,1.328,1.92,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_07,4/10/2024 3:07:41 PM,128,ng/µl,2.561,1.336,1.92,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_08,4/10/2024 3:08:52 PM,136,ng/µl,2.721,1.429,1.9,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_08,4/10/2024 3:08:08 PM,135.9,ng/µl,2.718,1.434,1.9,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_09,4/10/2024 3:09:26 PM,109.3,ng/µl,2.186,1.156,1.89,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_09,4/10/2024 3:09:55 PM,108.6,ng/µl,2.172,1.136,1.91,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_10,4/10/2024 3:10:38 PM,133.9,ng/µl,2.678,1.431,1.87,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_10,4/10/2024 3:11:06 PM,134.3,ng/µl,2.687,1.436,1.87,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_11,4/10/2024 3:11:45 PM,117.3,ng/µl,2.346,1.224,1.92,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_11,4/10/2024 3:12:10 PM,117.2,ng/µl,2.345,1.218,1.92,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_12,4/10/2024 3:13:05 PM,100.9,ng/µl,2.019,1.009,2,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_12,4/10/2024 3:13:29 PM,98.7,ng/µl,1.974,0.989,2,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_13,4/10/2024 3:14:05 PM,216.6,ng/µl,4.332,2.26,1.92,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_13,4/10/2024 3:14:21 PM,214.9,ng/µl,4.297,2.255,1.91,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_14,4/10/2024 3:14:49 PM,247.7,ng/µl,4.953,2.619,1.89,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_14,4/10/2024 3:15:09 PM,247.9,ng/µl,4.958,2.629,1.89,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_15,4/10/2024 3:16:02 PM,115.1,ng/µl,2.303,1.247,1.85,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_15,4/10/2024 3:15:41 PM,114,ng/µl,2.281,1.229,1.86,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_16,4/10/2024 3:20:35 PM,153,ng/µl,3.06,1.544,1.98,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_16,4/10/2024 3:20:57 PM,152.4,ng/µl,3.048,1.539,1.98,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_17,4/10/2024 3:21:38 PM,194.3,ng/µl,3.886,2.07,1.88,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_17,4/10/2024 3:22:08 PM,195.1,ng/µl,3.902,2.082,1.87,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_18,4/10/2024 3:22:43 PM,276.8,ng/µl,5.537,2.718,2.04,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_18,4/10/2024 3:23:18 PM,275.7,ng/µl,5.514,2.688,2.05,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_19,4/10/2024 3:23:58 PM,218.2,ng/µl,4.364,2.423,1.8,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_19,4/10/2024 3:24:28 PM,218.5,ng/µl,4.371,2.425,1.8,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_20,4/10/2024 3:25:21 PM,197.6,ng/µl,3.953,2.19,1.8,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_20,4/10/2024 3:25:40 PM,198.5,ng/µl,3.97,2.22,1.79,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_21,4/10/2024 3:26:15 PM,179.1,ng/µl,3.582,2.003,1.79,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_21,4/10/2024 3:26:37 PM,180.2,ng/µl,3.604,2.015,1.79,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_22,4/10/2024 3:27:15 PM,186.1,ng/µl,3.722,1.965,1.89,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_22,4/10/2024 3:27:34 PM,187,ng/µl,3.741,1.991,1.88,DNA,,,,,,,,,,,,,,,,,,
0523LAUR_23,4/10/2024 3:28:16 PM,183.5,ng/µl,3.669,1.91,1.92,DNA,,,,,,,,,,,,,,,,,,
