Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0623ASHC_01,3/20/2024 1:57:58 PM,219.8,ng/µl,4.396,2.22,1.98,DNA
0623ASHC_01,3/20/2024 1:58:51 PM,217.9,ng/µl,4.358,2.192,1.99,DNA
0623ASHC_02,3/20/2024 2:00:00 PM,270,ng/µl,5.399,2.68,2.01,DNA
0623ASHC_02,3/20/2024 1:59:36 PM,270.7,ng/µl,5.415,2.695,2.01,DNA
0623ASHC_03,3/20/2024 2:00:43 PM,204.2,ng/µl,4.085,2.067,1.98,DNA
0623ASHC_03,3/20/2024 2:01:07 PM,206.7,ng/µl,4.134,2.094,1.97,DNA
0623ASHC_04,3/20/2024 2:08:57 PM,181.5,ng/µl,3.629,1.888,1.92,DNA
0623ASHC_04,3/20/2024 2:08:35 PM,181.2,ng/µl,3.624,1.885,1.92,DNA
0623ASHC_05,3/20/2024 2:09:34 PM,330.7,ng/µl,6.615,3.458,1.91,DNA
0623ASHC_05,3/20/2024 2:09:55 PM,331.9,ng/µl,6.639,3.489,1.9,DNA
0623ASHC_06,3/20/2024 2:10:34 PM,197.5,ng/µl,3.95,2.025,1.95,DNA
0623ASHC_06,3/20/2024 2:10:57 PM,197.9,ng/µl,3.958,2.029,1.95,DNA
0623ASHC_07,3/20/2024 2:11:34 PM,189,ng/µl,3.781,1.929,1.96,DNA
0623ASHC_07,3/20/2024 2:11:56 PM,189.9,ng/µl,3.798,1.951,1.95,DNA
0623ASHC_08,3/20/2024 2:12:39 PM,237.7,ng/µl,4.755,2.377,2,DNA
0623ASHC_08,3/20/2024 2:13:43 PM,238.2,ng/µl,4.763,2.393,1.99,DNA
0623ASHC_09,3/20/2024 2:14:28 PM,152.4,ng/µl,3.048,1.625,1.88,DNA
0623ASHC_09,3/20/2024 2:14:49 PM,152.9,ng/µl,3.058,1.635,1.87,DNA
0623ASHC_10,3/20/2024 2:15:34 PM,157,ng/µl,3.139,1.617,1.94,DNA
0623ASHC_10,3/20/2024 2:16:01 PM,156.8,ng/µl,3.136,1.614,1.94,DNA
0623ASHC_11,3/20/2024 2:16:37 PM,233.5,ng/µl,4.67,2.295,2.03,DNA
0623ASHC_11,3/20/2024 2:16:58 PM,234.5,ng/µl,4.691,2.313,2.03,DNA
