Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0623FENC_01,3/20/2024 2:44:41 PM,42.4,ng/µl,0.849,0.444,1.91,DNA
0623FENC_01,3/20/2024 2:45:25 PM,42.2,ng/µl,0.843,0.447,1.89,DNA
0623FENC_02,3/20/2024 2:46:09 PM,119.9,ng/µl,2.399,1.242,1.93,DNA
0623FENC_02,3/20/2024 2:46:32 PM,119.9,ng/µl,2.397,1.241,1.93,DNA
0623FENC_03,3/20/2024 2:47:23 PM,230.5,ng/µl,4.61,2.301,2,DNA
0623FENC_03,3/20/2024 2:47:50 PM,231.2,ng/µl,4.623,2.306,2,DNA
0623FENC_04,3/20/2024 2:48:57 PM,137.9,ng/µl,2.758,1.416,1.95,DNA
0623FENC_04,3/20/2024 2:48:36 PM,137,ng/µl,2.74,1.401,1.96,DNA
0623FENC_05,3/20/2024 2:49:40 PM,87.7,ng/µl,1.755,0.863,2.03,DNA
0623FENC_05,3/20/2024 2:50:26 PM,87.3,ng/µl,1.745,0.862,2.03,DNA
0623FENC_06,3/20/2024 2:51:20 PM,188.7,ng/µl,3.774,1.853,2.04,DNA
0623FENC_06,3/20/2024 2:52:04 PM,189.7,ng/µl,3.794,1.879,2.02,DNA
0623FENC_07,3/20/2024 2:53:24 PM,156.5,ng/µl,3.13,1.615,1.94,DNA
0623FENC_07,3/20/2024 2:52:59 PM,155.7,ng/µl,3.114,1.596,1.95,DNA
0623FENC_08,3/20/2024 2:54:09 PM,195.8,ng/µl,3.917,1.864,2.1,DNA
0623FENC_08,3/20/2024 2:56:01 PM,197.9,ng/µl,3.957,1.886,2.1,DNA
0623FENC_09,3/20/2024 3:00:50 PM,325.9,ng/µl,6.518,3.119,2.09,DNA
0623FENC_09,3/20/2024 3:00:07 PM,325.3,ng/µl,6.505,3.116,2.09,DNA
0623FENC_10,3/20/2024 3:01:43 PM,271.7,ng/µl,5.433,2.66,2.04,DNA
0623FENC_10,3/20/2024 3:02:45 PM,271.8,ng/µl,5.436,2.669,2.04,DNA
0623FENC_11,3/20/2024 3:03:47 PM,275.5,ng/µl,5.509,2.777,1.98,DNA
0623FENC_11,3/20/2024 3:04:14 PM,274.9,ng/µl,5.498,2.766,1.99,DNA
0623FENC_12,3/20/2024 3:05:12 PM,69.3,ng/µl,1.385,0.701,1.98,DNA
0623FENC_12,3/20/2024 3:06:27 PM,69.6,ng/µl,1.392,0.707,1.97,DNA
0623FENC_13,3/20/2024 3:07:18 PM,169.3,ng/µl,3.385,1.72,1.97,DNA
0623FENC_13,3/20/2024 3:07:44 PM,169.6,ng/µl,3.393,1.728,1.96,DNA
0623FENC_14,3/20/2024 3:09:12 PM,155.9,ng/µl,3.117,1.597,1.95,DNA
0623FENC_14,3/20/2024 3:09:36 PM,156.9,ng/µl,3.137,1.618,1.94,DNA
0623FENC_15,3/20/2024 3:10:50 PM,481.6,ng/µl,9.632,5.018,1.92,DNA
0623FENC_15,3/20/2024 3:10:23 PM,482.6,ng/µl,9.652,5.022,1.92,DNA
0623FENC_16,3/20/2024 3:11:34 PM,198,ng/µl,3.961,2.151,1.84,DNA
0623FENC_16,3/20/2024 3:12:01 PM,197.2,ng/µl,3.945,2.16,1.83,DNA
0623FENC_17,3/20/2024 3:12:56 PM,165.3,ng/µl,3.306,1.691,1.96,DNA
0623FENC_17,3/20/2024 3:13:23 PM,165.7,ng/µl,3.313,1.708,1.94,DNA
0623FENC_18,3/20/2024 3:14:54 PM,193.6,ng/µl,3.872,1.944,1.99,DNA
0623FENC_18,3/20/2024 3:14:29 PM,195,ng/µl,3.9,1.967,1.98,DNA
0623FENC_19,3/20/2024 3:15:56 PM,99.3,ng/µl,1.987,1.038,1.91,DNA
0623FENC_19,3/20/2024 3:16:24 PM,99.5,ng/µl,1.991,1.047,1.9,DNA
0623FENC_20,3/20/2024 3:17:18 PM,117.1,ng/µl,2.342,1.165,2.01,DNA
0623FENC_20,3/20/2024 3:17:39 PM,115.8,ng/µl,2.316,1.141,2.03,DNA
0623FENC_21,3/20/2024 3:18:40 PM,217.8,ng/µl,4.355,2.208,1.97,DNA
0623FENC_21,3/20/2024 3:19:00 PM,218,ng/µl,4.359,2.221,1.96,DNA
0623FENC_22,3/20/2024 3:19:55 PM,224.5,ng/µl,4.49,2.308,1.95,DNA
0623FENC_22,3/20/2024 3:20:17 PM,225.1,ng/µl,4.502,2.323,1.94,DNA
0623FENC_23,3/20/2024 3:20:53 PM,97.5,ng/µl,1.95,1.006,1.94,DNA
0623FENC_23,3/20/2024 3:21:22 PM,98,ng/µl,1.959,1.016,1.93,DNA
0623FENC_24,3/20/2024 3:22:20 PM,219.8,ng/µl,4.397,2.132,2.06,DNA
0623FENC_24,3/20/2024 3:22:43 PM,219.2,ng/µl,4.384,2.126,2.06,DNA
0623FENC_25,3/20/2024 3:23:56 PM,174.1,ng/µl,3.483,1.703,2.05,DNA
0623FENC_25,3/20/2024 3:24:20 PM,173,ng/µl,3.461,1.694,2.04,DNA
0623FENC_26,3/20/2024 3:25:16 PM,218.1,ng/µl,4.362,2.295,1.9,DNA
0623FENC_26,3/20/2024 3:25:42 PM,218,ng/µl,4.36,2.29,1.9,DNA
0623FENC_27,3/20/2024 3:26:31 PM,143.7,ng/µl,2.873,1.457,1.97,DNA
0623FENC_27,3/20/2024 3:26:51 PM,144.3,ng/µl,2.885,1.478,1.95,DNA
0623FENC_28,3/20/2024 3:27:38 PM,124.6,ng/µl,2.491,1.314,1.9,DNA
0623FENC_28,3/20/2024 3:28:03 PM,124.6,ng/µl,2.491,1.312,1.9,DNA
0623FENC_29,3/20/2024 3:29:00 PM,269.7,ng/µl,5.393,2.821,1.91,DNA
0623FENC_29,3/20/2024 3:29:22 PM,269.2,ng/µl,5.384,2.823,1.91,DNA
0623FENC_30,3/20/2024 3:30:41 PM,274.9,ng/µl,5.498,2.673,2.06,DNA
0623FENC_30,3/20/2024 3:30:05 PM,275.4,ng/µl,5.509,2.675,2.06,DNA
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
