Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
210824-101325,21/08/2024 10:15:23 AM,dsDNA BR,0723GOLD_01,41.6,ng/uL,1.04,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.39943017,1383.823103,,350,21/08/2024 10:13:51 AM,,,,,#0723GOLD,8,1.9.0,8
210824-101325,21/08/2024 10:15:23 AM,dsDNA BR,0723GOLD_02,54,ng/uL,1.35,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.04234953,1420.495621,,455,21/08/2024 10:13:51 AM,,,,,#0723GOLD,8,1.9.0,8
210824-101325,21/08/2024 10:15:23 AM,dsDNA BR,0723GOLD_03,66.4,ng/uL,1.66,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.36816817,1302.617166,,501,21/08/2024 10:13:51 AM,,,,,#0723GOLD,8,1.9.0,8
210824-101325,21/08/2024 10:15:23 AM,dsDNA BR,0723GOLD_04,177,ng/uL,4.42,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.90671602,1318.204448,,1190,21/08/2024 10:13:51 AM,,,,,#0723GOLD,8,1.9.0,8
210824-101325,21/08/2024 10:15:23 AM,dsDNA BR,0723GOLD_05,79.2,ng/uL,1.98,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.32233447,1202.612908,,545,21/08/2024 10:13:51 AM,,,,,#0723GOLD,8,1.9.0,8
210824-101325,21/08/2024 10:15:23 AM,dsDNA BR,0723GOLD_06,44.4,ng/uL,1.11,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.14472794,1164.834951,,313,21/08/2024 10:13:51 AM,,,,,#0723GOLD,8,1.9.0,8
210824-101325,21/08/2024 10:15:23 AM,dsDNA BR,0723GOLD_07,51.2,ng/uL,1.28,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.05692123,1198.039079,,366,21/08/2024 10:13:51 AM,,,,,#0723GOLD,8,1.9.0,8
210824-101325,21/08/2024 10:15:23 AM,dsDNA BR,0723GOLD_08,58,ng/uL,1.45,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.36131784,1135.812778,,388,21/08/2024 10:13:51 AM,,,,,#0723GOLD,8,1.9.0,8
210824-101325,21/08/2024 10:15:43 AM,dsDNA BR,0723GOLD_09,27.1,ng/uL,0.678,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.39943017,1383.823103,,238,21/08/2024 10:13:51 AM,,,,,#0723GOLD,8,1.9.0,8
210824-101325,21/08/2024 10:15:43 AM,dsDNA BR,0723GOLD_10,44.8,ng/uL,1.12,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,19.04234953,1420.495621,,383,21/08/2024 10:13:51 AM,,,,,#0723GOLD,8,1.9.0,8
