Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0823FENC_01,4/16/2024 3:54:06 PM,229.8,ng/µl,4.595,2.345,1.96,DNA
0823FENC_01,4/16/2024 3:55:11 PM,227.7,ng/µl,4.553,2.314,1.97,DNA
0823FENC_02,4/16/2024 3:56:04 PM,273.7,ng/µl,5.475,2.792,1.96,DNA
0823FENC_02,4/16/2024 3:56:26 PM,275.2,ng/µl,5.503,2.797,1.97,DNA
0823FENC_03,4/16/2024 3:57:23 PM,201.9,ng/µl,4.038,2.007,2.01,DNA
0823FENC_03,4/16/2024 3:57:43 PM,202.4,ng/µl,4.048,2.018,2.01,DNA
0823FENC_04,4/16/2024 3:58:34 PM,437.5,ng/µl,8.751,4.444,1.97,DNA
0823FENC_04,4/16/2024 3:59:00 PM,438.8,ng/µl,8.777,4.466,1.97,DNA
0823FENC_05,4/16/2024 4:00:33 PM,182,ng/µl,3.641,1.868,1.95,DNA
0823FENC_05,4/16/2024 4:00:50 PM,183.3,ng/µl,3.667,1.885,1.95,DNA
0823FENC_06,4/16/2024 4:01:40 PM,376.1,ng/µl,7.521,4.125,1.82,DNA
0823FENC_06,4/16/2024 4:02:05 PM,377,ng/µl,7.54,4.134,1.82,DNA
0823FENC_07,4/16/2024 4:03:04 PM,185.9,ng/µl,3.719,1.995,1.86,DNA
0823FENC_07,4/16/2024 4:03:25 PM,186.3,ng/µl,3.727,1.99,1.87,DNA
0823FENC_08,4/16/2024 4:04:15 PM,277,ng/µl,5.54,2.892,1.92,DNA
0823FENC_08,4/16/2024 4:04:37 PM,276.3,ng/µl,5.526,2.882,1.92,DNA
0823FENC_09,4/16/2024 4:05:16 PM,241,ng/µl,4.821,2.541,1.9,DNA
0823FENC_09,4/16/2024 4:05:37 PM,240.8,ng/µl,4.816,2.542,1.89,DNA
0823FENC_10,4/16/2024 4:06:15 PM,367.4,ng/µl,7.349,3.829,1.92,DNA
0823FENC_10,4/16/2024 4:06:38 PM,400.1,ng/µl,8.001,4.184,1.91,DNA
0823FENC_11,4/16/2024 4:07:41 PM,295.1,ng/µl,5.901,3.16,1.87,DNA
0823FENC_11,4/16/2024 4:08:02 PM,295.5,ng/µl,5.91,3.158,1.87,DNA
0823FENC_12,4/16/2024 4:08:59 PM,258.5,ng/µl,5.171,2.723,1.9,DNA
0823FENC_12,4/16/2024 4:09:20 PM,259.3,ng/µl,5.185,2.729,1.9,DNA
0823FENC_13,4/16/2024 4:10:13 PM,150.9,ng/µl,3.017,1.561,1.93,DNA
0823FENC_13,4/16/2024 4:10:33 PM,151.1,ng/µl,3.022,1.552,1.95,DNA
0823FENC_14,4/16/2024 4:11:22 PM,247.2,ng/µl,4.944,2.506,1.97,DNA
0823FENC_14,4/16/2024 4:11:54 PM,247.7,ng/µl,4.954,2.527,1.96,DNA
0823FENC_15,4/16/2024 4:12:41 PM,227.7,ng/µl,4.553,2.265,2.01,DNA
0823FENC_15,4/16/2024 4:13:03 PM,226.8,ng/µl,4.537,2.266,2,DNA
0823FENC_16,4/16/2024 4:13:44 PM,220.7,ng/µl,4.414,2.363,1.87,DNA
0823FENC_16,4/16/2024 4:14:05 PM,220.3,ng/µl,4.407,2.371,1.86,DNA
0823FENC_17,4/16/2024 4:14:46 PM,250,ng/µl,4.999,2.613,1.91,DNA
0823FENC_17,4/16/2024 4:15:11 PM,249,ng/µl,4.979,2.607,1.91,DNA
0823FENC_18,4/16/2024 4:19:22 PM,279.4,ng/µl,5.588,2.991,1.87,DNA
0823FENC_18,4/16/2024 4:16:47 PM,280.5,ng/µl,5.611,3.007,1.87,DNA
0823FENC_19,4/16/2024 4:17:44 PM,317,ng/µl,6.34,3.349,1.89,DNA
0823FENC_19,4/16/2024 4:18:05 PM,318.8,ng/µl,6.376,3.367,1.89,DNA
0823FENC_20,4/16/2024 4:20:38 PM,233.5,ng/µl,4.669,2.442,1.91,DNA
0823FENC_20,4/16/2024 4:21:24 PM,236.8,ng/µl,4.735,2.475,1.91,DNA
