Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0823GOLD_01,4/18/2024 11:01:59 AM,337.5,ng/µl,6.751,3.4,1.99,DNA
0823GOLD_01,4/18/2024 11:02:35 AM,339.4,ng/µl,6.788,3.412,1.99,DNA
0823GOLD_02,4/18/2024 11:03:48 AM,207.6,ng/µl,4.152,2.103,1.97,DNA
0823GOLD_02,4/18/2024 11:04:17 AM,207.9,ng/µl,4.158,2.108,1.97,DNA
0823GOLD_03,4/18/2024 11:04:48 AM,166.5,ng/µl,3.329,1.753,1.9,DNA
0823GOLD_03,4/18/2024 11:05:06 AM,167.2,ng/µl,3.344,1.755,1.91,DNA
0823GOLD_04,4/18/2024 11:05:29 AM,179.3,ng/µl,3.585,1.881,1.91,DNA
0823GOLD_04,4/18/2024 11:05:47 AM,180.3,ng/µl,3.606,1.897,1.9,DNA
0823GOLD_05,4/18/2024 11:06:16 AM,456.7,ng/µl,9.135,4.718,1.94,DNA
0823GOLD_05,4/18/2024 11:06:33 AM,457.6,ng/µl,9.153,4.729,1.94,DNA
0823GOLD_06,4/18/2024 11:07:03 AM,396.1,ng/µl,7.922,4.384,1.81,DNA
0823GOLD_06,4/18/2024 11:07:23 AM,397.4,ng/µl,7.948,4.395,1.81,DNA
0823GOLD_07,4/18/2024 11:07:48 AM,290.2,ng/µl,5.804,2.995,1.94,DNA
0823GOLD_07,4/18/2024 11:08:06 AM,291.1,ng/µl,5.822,2.998,1.94,DNA
0823GOLD_08,4/18/2024 11:08:33 AM,230.1,ng/µl,4.602,2.304,2,DNA
0823GOLD_08,4/18/2024 11:08:52 AM,231.3,ng/µl,4.627,2.332,1.98,DNA
0823GOLD_09,4/18/2024 11:09:23 AM,255.9,ng/µl,5.118,2.768,1.85,DNA
0823GOLD_09,4/18/2024 11:09:40 AM,257.3,ng/µl,5.147,2.775,1.85,DNA
0823GOLD_10,4/18/2024 11:10:11 AM,412.6,ng/µl,8.251,4.4,1.88,DNA
0823GOLD_10,4/18/2024 11:10:29 AM,413.5,ng/µl,8.27,4.396,1.88,DNA
0823GOLD_11,4/18/2024 11:11:08 AM,289.4,ng/µl,5.788,2.947,1.96,DNA
0823GOLD_11,4/18/2024 11:11:26 AM,288.8,ng/µl,5.776,2.945,1.96,DNA
0823GOLD_12,4/18/2024 11:12:01 AM,399.3,ng/µl,7.986,4.075,1.96,DNA
0823GOLD_12,4/18/2024 11:12:17 AM,398.2,ng/µl,7.965,4.064,1.96,DNA
0823GOLD_13,4/18/2024 11:12:58 AM,167.4,ng/µl,3.347,1.771,1.89,DNA
0823GOLD_13,4/18/2024 11:13:19 AM,168.3,ng/µl,3.367,1.777,1.9,DNA
0823GOLD_14,4/18/2024 11:13:50 AM,241.9,ng/µl,4.838,2.505,1.93,DNA
0823GOLD_14,4/18/2024 11:14:06 AM,245.3,ng/µl,4.906,2.539,1.93,DNA
0823GOLD_15,4/18/2024 11:14:38 AM,255.1,ng/µl,5.101,2.63,1.94,DNA
0823GOLD_15,4/18/2024 11:14:54 AM,256.8,ng/µl,5.137,2.643,1.94,DNA
0823GOLD_16,4/18/2024 11:15:21 AM,165.7,ng/µl,3.313,1.754,1.89,DNA
0823GOLD_16,4/18/2024 11:15:37 AM,167.2,ng/µl,3.345,1.77,1.89,DNA
0823GOLD_17,4/18/2024 11:16:05 AM,235.3,ng/µl,4.707,2.366,1.99,DNA
0823GOLD_17,4/18/2024 11:16:22 AM,235.6,ng/µl,4.712,2.365,1.99,DNA
0823GOLD_18,4/18/2024 11:16:49 AM,293.7,ng/µl,5.874,3.053,1.92,DNA
0823GOLD_18,4/18/2024 11:17:07 AM,294.2,ng/µl,5.884,3.05,1.93,DNA
0823GOLD_19,4/18/2024 11:17:37 AM,313.5,ng/µl,6.27,3.269,1.92,DNA
0823GOLD_19,4/18/2024 11:17:55 AM,317.6,ng/µl,6.352,3.333,1.91,DNA
0823GOLD_20,4/18/2024 11:18:20 AM,131.9,ng/µl,2.639,1.353,1.95,DNA
0823GOLD_20,4/18/2024 11:18:49 AM,132.2,ng/µl,2.644,1.365,1.94,DNA
0823GOLD_21,4/18/2024 11:19:16 AM,243.7,ng/µl,4.874,2.465,1.98,DNA
0823GOLD_21,4/18/2024 11:19:32 AM,245.5,ng/µl,4.911,2.49,1.97,DNA
0823GOLD_22,4/18/2024 11:20:00 AM,266.1,ng/µl,5.323,2.812,1.89,DNA
0823GOLD_22,4/18/2024 11:20:18 AM,267.7,ng/µl,5.354,2.84,1.89,DNA
0823GOLD_23,4/18/2024 11:20:47 AM,176.1,ng/µl,3.522,1.899,1.85,DNA
