Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0523ASHC_01,3/4/2024 15:48,328.2,ng/µl,6.563,3.343,1.96,DNA
0523ASHC_01,3/4/2024 15:49,329.4,ng/µl,6.588,3.368,1.96,DNA
0523ASHC_02,3/4/2024 15:50,306.4,ng/µl,6.128,3.13,1.96,DNA
0523ASHC_02,3/4/2024 15:50,310,ng/µl,6.199,3.172,1.95,DNA
0523ASHC_03,3/4/2024 15:51,464.3,ng/µl,9.286,4.574,2.03,DNA
0523ASHC_03,3/4/2024 15:52,469.1,ng/µl,9.382,4.635,2.02,DNA
0523ASHC_04,3/4/2024 15:53,238.7,ng/µl,4.773,2.427,1.97,DNA
0523ASHC_04,3/4/2024 15:53,237.8,ng/µl,4.757,2.414,1.97,DNA
0523ASHC_05,3/4/2024 15:54,254.7,ng/µl,5.095,2.524,2.02,DNA
0523ASHC_05,3/4/2024 15:55,255.5,ng/µl,5.11,2.529,2.02,DNA
0523ASHC_06,3/4/2024 15:56,211.1,ng/µl,4.222,2.195,1.92,DNA
0523ASHC_06,3/4/2024 15:56,212.2,ng/µl,4.243,2.209,1.92,DNA
0523ASHC_07,3/4/2024 15:57,360.7,ng/µl,7.214,3.617,1.99,DNA
0523ASHC_07,3/4/2024 15:58,364.6,ng/µl,7.292,3.65,2,DNA
0523ASHC_08,3/4/2024 15:59,120.4,ng/µl,2.409,1.188,2.03,DNA
0523ASHC_08,3/4/2024 15:59,120.5,ng/µl,2.411,1.184,2.04,DNA
0523ASHC_09,3/4/2024 16:01,200.5,ng/µl,4.009,2.016,1.99,DNA
0523ASHC_09,3/4/2024 16:01,201.3,ng/µl,4.026,2.016,2,DNA
0523ASHC_10,3/4/2024 16:02,263.2,ng/µl,5.264,2.63,2,DNA
0523ASHC_10,3/4/2024 16:02,263.5,ng/µl,5.27,2.628,2.01,DNA
0523ASHC_11,3/4/2024 16:02,247,ng/µl,4.94,2.462,2.01,DNA
0523ASHC_11,3/4/2024 16:03,246.9,ng/µl,4.937,2.48,1.99,DNA
0523ASHC_12,3/4/2024 16:06,290.1,ng/µl,5.803,2.943,1.97,DNA
0523ASHC_12,3/4/2024 16:06,288.2,ng/µl,5.765,2.945,1.96,DNA
0523ASHC_13,3/4/2024 16:07,270.4,ng/µl,5.409,2.783,1.94,DNA
0523ASHC_13,3/4/2024 16:07,265.6,ng/µl,5.311,2.747,1.93,DNA
0523ASHC_14,3/4/2024 16:08,165.9,ng/µl,3.319,1.7,1.95,DNA
0523ASHC_14,3/4/2024 16:08,166.5,ng/µl,3.33,1.71,1.95,DNA
0523ASHC_15,3/4/2024 16:09,249.1,ng/µl,4.982,2.467,2.02,DNA
0523ASHC_15,3/4/2024 16:09,249.3,ng/µl,4.987,2.473,2.02,DNA
0523ASHC_16,3/4/2024 16:10,276.7,ng/µl,5.535,2.75,2.01,DNA
0523ASHC_16,3/4/2024 16:10,278.1,ng/µl,5.562,2.765,2.01,DNA
0523ASHC_17,3/4/2024 16:11,205.3,ng/µl,4.106,2.134,1.92,DNA
0523ASHC_17,3/4/2024 16:11,206.7,ng/µl,4.133,2.148,1.92,DNA
0523ASHC_18,3/4/2024 16:11,264.7,ng/µl,5.294,2.633,2.01,DNA
0523ASHC_18,3/4/2024 16:12,265.3,ng/µl,5.307,2.629,2.02,DNA
0523ASHC_19,3/4/2024 16:12,252.4,ng/µl,5.048,2.642,1.91,DNA
0523ASHC_19,3/4/2024 16:13,251.7,ng/µl,5.034,2.632,1.91,DNA
0523ASHC_20,3/4/2024 16:13,160.3,ng/µl,3.206,1.613,1.99,DNA
0523ASHC_20,3/4/2024 16:14,160.3,ng/µl,3.205,1.613,1.99,DNA
0523ASHC_21,3/4/2024 16:14,233.8,ng/µl,4.677,2.432,1.92,DNA
0523ASHC_21,3/4/2024 16:15,233.9,ng/µl,4.679,2.416,1.94,DNA
0523ASHC_22,3/4/2024 16:15,285.9,ng/µl,5.718,2.917,1.96,DNA
0523ASHC_22,3/4/2024 16:16,289.5,ng/µl,5.791,2.946,1.97,DNA
0523ASHC_23,3/4/2024 16:16,195.7,ng/µl,3.914,1.962,1.99,DNA
0523ASHC_23,3/4/2024 16:16,199.1,ng/µl,3.982,2.008,1.98,DNA
0523ASHC_24,3/4/2024 16:17,301.8,ng/µl,6.037,3.111,1.94,DNA
0523ASHC_24,3/4/2024 16:17,301.9,ng/µl,6.038,3.127,1.93,DNA
0523ASHC_25,3/4/2024 16:18,138.2,ng/µl,2.765,1.402,1.97,DNA
0523ASHC_25,3/4/2024 16:18,139.3,ng/µl,2.785,1.416,1.97,DNA
0523ASHC_26,3/4/2024 16:19,182.6,ng/µl,3.652,1.92,1.9,DNA
0523ASHC_26,3/4/2024 16:19,181.6,ng/µl,3.633,1.904,1.91,DNA
0523ASHC_27,3/4/2024 16:19,187.6,ng/µl,3.753,1.897,1.98,DNA
0523ASHC_27,3/4/2024 16:22,188.3,ng/µl,3.766,1.893,1.99,DNA
0523ASHC_28,3/4/2024 16:23,172.2,ng/µl,3.443,1.708,2.02,DNA
0523ASHC_28,3/4/2024 16:24,172,ng/µl,3.44,1.706,2.02,DNA
0523ASHC_29,3/4/2024 16:24,216.2,ng/µl,4.324,2.163,2,DNA
0523ASHC_29,3/4/2024 16:24,214.8,ng/µl,4.296,2.16,1.99,DNA
0523ASHC_30,3/4/2024 16:25,249.6,ng/µl,4.993,2.542,1.96,DNA
0523ASHC_30,3/4/2024 16:26,243.8,ng/µl,4.876,2.48,1.97,DNA
