Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0523FENC_01,3/7/2024 15:21,114,ng/µl,2.281,1.126,2.03,DNA
0523FENC_01,3/7/2024 15:23,115.2,ng/µl,2.304,1.149,2,DNA
0523FENC_02,3/7/2024 15:24,95.5,ng/µl,1.91,0.922,2.07,DNA
0523FENC_02,3/7/2024 15:25,97.1,ng/µl,1.942,0.932,2.08,DNA
0523FENC_03,3/7/2024 15:27,243.2,ng/µl,4.865,2.514,1.93,DNA
0523FENC_03,3/7/2024 15:28,243.5,ng/µl,4.87,2.521,1.93,DNA
0523FENC_04,3/7/2024 15:28,229.8,ng/µl,4.597,2.415,1.9,DNA
0523FENC_04,3/7/2024 15:29,227.5,ng/µl,4.549,2.37,1.92,DNA
0523FENC_05,3/7/2024 15:29,183.8,ng/µl,3.677,1.956,1.88,DNA
0523FENC_05,3/7/2024 15:30,183.3,ng/µl,3.666,1.95,1.88,DNA
0523FENC_06,3/7/2024 15:30,204,ng/µl,4.079,2.114,1.93,DNA
0523FENC_06,3/7/2024 15:30,204.2,ng/µl,4.083,2.12,1.93,DNA
0523FENC_07,3/7/2024 15:31,169.5,ng/µl,3.39,1.79,1.89,DNA
0523FENC_07,3/7/2024 15:31,170,ng/µl,3.399,1.782,1.91,DNA
0523FENC_08,3/7/2024 15:32,306.8,ng/µl,6.135,3.161,1.94,DNA
0523FENC_08,3/7/2024 15:32,306.7,ng/µl,6.133,3.172,1.93,DNA
0523FENC_09,3/7/2024 15:33,160.4,ng/µl,3.207,1.67,1.92,DNA
0523FENC_09,3/7/2024 15:33,160.1,ng/µl,3.203,1.656,1.93,DNA
0523FENC_10,3/7/2024 15:34,182.7,ng/µl,3.654,1.852,1.97,DNA
0523FENC_10,3/7/2024 15:34,183.3,ng/µl,3.666,1.861,1.97,DNA
0523FENC_11,3/7/2024 15:35,138.3,ng/µl,2.765,1.443,1.92,DNA
0523FENC_11,3/7/2024 15:35,139.1,ng/µl,2.781,1.461,1.9,DNA
0523FENC_12,3/7/2024 15:36,86.4,ng/µl,1.727,0.905,1.91,DNA
0523FENC_12,3/7/2024 15:36,87.5,ng/µl,1.75,0.916,1.91,DNA
0523FENC_13,3/7/2024 15:37,118.8,ng/µl,2.376,1.226,1.94,DNA
0523FENC_13,3/7/2024 15:37,117.5,ng/µl,2.35,1.204,1.95,DNA
0523FENC_14,3/7/2024 15:38,167.2,ng/µl,3.344,1.734,1.93,DNA
0523FENC_14,3/7/2024 15:38,167.1,ng/µl,3.342,1.733,1.93,DNA
0523FENC_15,3/7/2024 15:39,181.7,ng/µl,3.634,1.851,1.96,DNA
0523FENC_15,3/7/2024 15:39,183.4,ng/µl,3.668,1.878,1.95,DNA
0523FENC_16,3/7/2024 15:40,115.7,ng/µl,2.315,1.247,1.86,DNA
0523FENC_16,3/7/2024 15:40,115.3,ng/µl,2.306,1.235,1.87,DNA
0523FENC_17,3/7/2024 15:41,180.2,ng/µl,3.605,1.821,1.98,DNA
0523FENC_17,3/7/2024 15:41,179,ng/µl,3.581,1.802,1.99,DNA
0523FENC_18,3/7/2024 15:41,77.6,ng/µl,1.551,0.801,1.94,DNA
0523FENC_18,3/7/2024 15:42,77.6,ng/µl,1.552,0.807,1.92,DNA
0523FENC_19,3/7/2024 15:42,178.8,ng/µl,3.577,1.856,1.93,DNA
0523FENC_19,3/7/2024 15:42,179.6,ng/µl,3.592,1.859,1.93,DNA
0523FENC_20,3/7/2024 15:43,206,ng/µl,4.12,2.094,1.97,DNA
0523FENC_20,3/7/2024 15:43,205,ng/µl,4.1,2.081,1.97,DNA
0523FENC_21,3/7/2024 15:44,85.9,ng/µl,1.719,0.932,1.84,DNA
0523FENC_21,3/7/2024 15:44,85.5,ng/µl,1.709,0.934,1.83,DNA
0523FENC_22,3/7/2024 15:45,167,ng/µl,3.339,1.728,1.93,DNA
0523FENC_22,3/7/2024 15:45,167,ng/µl,3.34,1.722,1.94,DNA
0523FENC_23,3/7/2024 15:46,168.5,ng/µl,3.369,1.734,1.94,DNA
0523FENC_23,3/7/2024 15:46,166,ng/µl,3.321,1.704,1.95,DNA
0523FENC_24,3/7/2024 15:46,204.7,ng/µl,4.094,2.107,1.94,DNA
0523FENC_24,3/7/2024 15:47,204.8,ng/µl,4.095,2.112,1.94,DNA
0523FENC_25,3/7/2024 15:48,250.9,ng/µl,5.018,2.619,1.92,DNA
0523FENC_25,3/7/2024 15:48,251.1,ng/µl,5.022,2.62,1.92,DNA
0523FENC_26,3/7/2024 15:49,208.3,ng/µl,4.165,2.144,1.94,DNA
0523FENC_26,3/7/2024 15:49,208.8,ng/µl,4.175,2.154,1.94,DNA
0523FENC_27,3/7/2024 15:49,108.4,ng/µl,2.169,1.142,1.9,DNA
0523FENC_27,3/7/2024 15:50,108.9,ng/µl,2.178,1.143,1.9,DNA
0523FENC_28,3/7/2024 15:50,191.1,ng/µl,3.821,1.943,1.97,DNA
0523FENC_28,3/7/2024 15:51,192.5,ng/µl,3.851,1.95,1.98,DNA
0523FENC_29,3/7/2024 15:51,132.4,ng/µl,2.648,1.369,1.93,DNA
0523FENC_30,3/7/2024 15:52,158.7,ng/µl,3.173,1.704,1.86,DNA
0523FENC_30,3/7/2024 15:52,158.8,ng/µl,3.175,1.704,1.86,DNA
