Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0623GOLD_01,3/21/2024 4:22:37 PM,115.5,ng/µl,2.31,1.211,1.91,DNA
0623GOLD_01,3/21/2024 4:23:12 PM,115.7,ng/µl,2.314,1.218,1.9,DNA
0623GOLD_02,3/21/2024 4:23:44 PM,218.3,ng/µl,4.366,2.155,2.03,DNA
0623GOLD_02,3/21/2024 4:24:06 PM,220.2,ng/µl,4.403,2.176,2.02,DNA
0623GOLD_03,3/21/2024 4:24:35 PM,367.3,ng/µl,7.347,3.823,1.92,DNA
0623GOLD_03,3/21/2024 4:25:01 PM,371.6,ng/µl,7.432,3.872,1.92,DNA
0623GOLD_04,3/21/2024 4:25:23 PM,231.2,ng/µl,4.623,2.303,2.01,DNA
0623GOLD_04,3/21/2024 4:25:48 PM,231.2,ng/µl,4.623,2.305,2.01,DNA
0623GOLD_05,3/21/2024 4:26:37 PM,445,ng/µl,8.901,4.636,1.92,DNA
0623GOLD_05,3/21/2024 4:26:18 PM,443.5,ng/µl,8.869,4.625,1.92,DNA
0623GOLD_06,3/21/2024 4:26:59 PM,199,ng/µl,3.98,1.996,1.99,DNA
0623GOLD_06,3/21/2024 4:27:17 PM,199.4,ng/µl,3.988,1.992,2,DNA
0623GOLD_07,3/21/2024 4:27:41 PM,104.7,ng/µl,2.095,1.083,1.93,DNA
0623GOLD_07,3/21/2024 4:28:01 PM,103.6,ng/µl,2.072,1.067,1.94,DNA
0623GOLD_08,3/21/2024 4:28:27 PM,151.1,ng/µl,3.022,1.503,2.01,DNA
0623GOLD_08,3/21/2024 4:28:46 PM,150.5,ng/µl,3.01,1.492,2.02,DNA
0623GOLD_09,3/21/2024 4:29:19 PM,154.3,ng/µl,3.087,1.539,2.01,DNA
0623GOLD_09,3/21/2024 4:29:43 PM,154.3,ng/µl,3.086,1.541,2,DNA
0623GOLD_10,3/21/2024 4:30:11 PM,198.4,ng/µl,3.968,2.077,1.91,DNA
0623GOLD_10,3/21/2024 4:30:32 PM,203.7,ng/µl,4.074,2.135,1.91,DNA
0623GOLD_11,3/21/2024 4:30:57 PM,180.2,ng/µl,3.605,1.871,1.93,DNA
0623GOLD_11,3/21/2024 4:31:16 PM,179.8,ng/µl,3.595,1.86,1.93,DNA
0623GOLD_12,3/21/2024 4:32:02 PM,90.7,ng/µl,1.815,0.932,1.95,DNA
0623GOLD_12,3/21/2024 4:31:42 PM,91,ng/µl,1.819,0.94,1.94,DNA
0623GOLD_13,3/21/2024 4:32:27 PM,122.1,ng/µl,2.443,1.242,1.97,DNA
0623GOLD_13,3/21/2024 4:32:47 PM,122.5,ng/µl,2.45,1.251,1.96,DNA
0623GOLD_14,3/21/2024 4:33:16 PM,132,ng/µl,2.64,1.42,1.86,DNA
0623GOLD_14,3/21/2024 4:33:37 PM,132.2,ng/µl,2.645,1.426,1.85,DNA
0623GOLD_15,3/21/2024 4:34:04 PM,206.4,ng/µl,4.128,1.982,2.08,DNA
0623GOLD_15,3/21/2024 4:34:25 PM,207.3,ng/µl,4.146,1.991,2.08,DNA
0623GOLD_16,3/21/2024 4:34:50 PM,140.1,ng/µl,2.803,1.478,1.9,DNA
0623GOLD_16,3/21/2024 4:35:07 PM,140,ng/µl,2.8,1.468,1.91,DNA
0623GOLD_17,3/21/2024 4:35:29 PM,220,ng/µl,4.4,2.303,1.91,DNA
0623GOLD_17,3/21/2024 4:35:47 PM,218.1,ng/µl,4.363,2.285,1.91,DNA
0623GOLD_18,3/21/2024 4:36:24 PM,78.7,ng/µl,1.574,0.861,1.83,DNA
0623GOLD_18,3/21/2024 4:36:08 PM,78.4,ng/µl,1.568,0.845,1.86,DNA
0623GOLD_19,3/21/2024 4:36:46 PM,182.4,ng/µl,3.648,2.025,1.8,DNA
0623GOLD_19,3/21/2024 4:37:02 PM,183,ng/µl,3.659,2.021,1.81,DNA
0623GOLD_20,3/21/2024 4:37:29 PM,90.9,ng/µl,1.818,0.971,1.87,DNA
0623GOLD_20,3/21/2024 4:37:53 PM,91.7,ng/µl,1.833,0.98,1.87,DNA
0623GOLD_21,3/21/2024 4:38:39 PM,343.2,ng/µl,6.864,3.489,1.97,DNA
0623GOLD_21,3/21/2024 4:38:19 PM,343.2,ng/µl,6.865,3.488,1.97,DNA
0623GOLD_22,3/21/2024 4:39:02 PM,382.1,ng/µl,7.643,3.969,1.93,DNA
0623GOLD_22,3/21/2024 4:39:23 PM,382.6,ng/µl,7.652,3.972,1.93,DNA
0623GOLD_23,3/21/2024 4:39:51 PM,213.2,ng/µl,4.265,2.219,1.92,DNA
0623GOLD_23,3/21/2024 4:40:16 PM,212.3,ng/µl,4.247,2.204,1.93,DNA
0623GOLD_24,3/21/2024 4:40:56 PM,274.6,ng/µl,5.492,2.828,1.94,DNA
0623GOLD_24,3/21/2024 4:41:14 PM,275.2,ng/µl,5.504,2.822,1.95,DNA
0623GOLD_25,3/21/2024 4:42:30 PM,105.1,ng/µl,2.103,1.119,1.88,DNA
0623GOLD_25,3/21/2024 4:42:51 PM,105.6,ng/µl,2.111,1.134,1.86,DNA
0623GOLD_26,3/21/2024 4:43:17 PM,203.3,ng/µl,4.067,2.01,2.02,DNA
0623GOLD_26,3/21/2024 4:43:36 PM,201.7,ng/µl,4.033,1.98,2.04,DNA
0623GOLD_27,3/21/2024 4:44:23 PM,372.6,ng/µl,7.453,3.882,1.92,DNA
0623GOLD_27,3/21/2024 4:47:12 PM,372.3,ng/µl,7.445,3.883,1.92,DNA
0623GOLD_28,3/21/2024 4:45:20 PM,241.8,ng/µl,4.835,2.353,2.05,DNA
0623GOLD_28,3/21/2024 4:45:43 PM,242.5,ng/µl,4.849,2.354,2.06,DNA
0623GOLD_29,3/21/2024 4:47:51 PM,309.9,ng/µl,6.198,3.156,1.96,DNA
0623GOLD_29,3/21/2024 4:48:26 PM,309.8,ng/µl,6.196,3.161,1.96,DNA
0623GOLD_30,3/21/2024 4:52:39 PM,339.8,ng/µl,6.797,3.59,1.89,DNA
0623GOLD_30,3/21/2024 4:53:03 PM,339.9,ng/µl,6.797,3.585,1.9,DNA
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
