Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0823LAUR_01,4/18/2024 10:27:01 AM,196.8,ng/µl,3.937,1.951,2.02,DNA
0823LAUR_01,4/18/2024 10:27:38 AM,196.8,ng/µl,3.937,1.95,2.02,DNA
0823LAUR_02,4/18/2024 10:28:09 AM,302.4,ng/µl,6.048,3.323,1.82,DNA
0823LAUR_02,4/18/2024 10:28:27 AM,303,ng/µl,6.06,3.318,1.83,DNA
0823LAUR_03,4/18/2024 10:29:08 AM,318.2,ng/µl,6.364,3.238,1.97,DNA
0823LAUR_03,4/18/2024 10:29:26 AM,319.1,ng/µl,6.382,3.259,1.96,DNA
0823LAUR_04,4/18/2024 10:30:01 AM,189.3,ng/µl,3.785,1.899,1.99,DNA
0823LAUR_04,4/18/2024 10:30:18 AM,187.3,ng/µl,3.746,1.869,2,DNA
0823LAUR_05,4/18/2024 10:33:07 AM,223.2,ng/µl,4.465,2.228,2,DNA
0823LAUR_05,4/18/2024 10:33:32 AM,222.6,ng/µl,4.453,2.214,2.01,DNA
0823LAUR_06,4/18/2024 10:34:06 AM,123.8,ng/µl,2.475,1.29,1.92,DNA
0823LAUR_06,4/18/2024 10:34:25 AM,124.4,ng/µl,2.488,1.297,1.92,DNA
0823LAUR_07,4/18/2024 10:35:01 AM,218.4,ng/µl,4.368,2.211,1.98,DNA
0823LAUR_07,4/18/2024 10:35:21 AM,218.6,ng/µl,4.372,2.208,1.98,DNA
0823LAUR_08,4/18/2024 10:35:58 AM,197.4,ng/µl,3.947,2.071,1.91,DNA
0823LAUR_08,4/18/2024 10:36:17 AM,196.8,ng/µl,3.936,2.073,1.9,DNA
0823LAUR_09,4/18/2024 10:36:49 AM,308.1,ng/µl,6.161,3.216,1.92,DNA
0823LAUR_09,4/18/2024 10:37:07 AM,307.4,ng/µl,6.148,3.199,1.92,DNA
0823LAUR_10,4/18/2024 10:37:45 AM,470,ng/µl,9.4,5.073,1.85,DNA
0823LAUR_10,4/18/2024 10:38:01 AM,470.3,ng/µl,9.405,5.076,1.85,DNA
0823LAUR_11,4/18/2024 10:38:29 AM,209.6,ng/µl,4.193,2.096,2,DNA
0823LAUR_11,4/18/2024 10:38:47 AM,209.8,ng/µl,4.196,2.088,2.01,DNA
0823LAUR_12,4/18/2024 10:39:17 AM,255.2,ng/µl,5.104,2.732,1.87,DNA
0823LAUR_12,4/18/2024 10:39:33 AM,253.1,ng/µl,5.061,2.717,1.86,DNA
0823LAUR_13,4/18/2024 10:40:02 AM,318.5,ng/µl,6.37,3.315,1.92,DNA
0823LAUR_13,4/18/2024 10:40:18 AM,317.7,ng/µl,6.355,3.307,1.92,DNA
0823LAUR_14,4/18/2024 10:40:45 AM,432.3,ng/µl,8.646,4.429,1.95,DNA
0823LAUR_14,4/18/2024 10:41:03 AM,433.4,ng/µl,8.669,4.438,1.95,DNA
0823LAUR_15,4/18/2024 10:41:26 AM,312.2,ng/µl,6.243,3.212,1.94,DNA
