Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
SizeASHC_01,2/27/2024 15:06,261.1,ng/µl,5.222,2.74,1.91,DNA
SizeASHC_01,2/27/2024 15:08,260.7,ng/µl,5.215,2.744,1.9,DNA
SizeASHC_02,2/27/2024 15:10,159.2,ng/µl,3.183,1.636,1.95,DNA
SizeASHC_02,2/27/2024 15:11,159.9,ng/µl,3.197,1.649,1.94,DNA
SizeASHC_03,2/27/2024 15:12,302.4,ng/µl,6.048,3.218,1.88,DNA
SizeASHC_03,2/27/2024 15:12,300.7,ng/µl,6.013,3.202,1.88,DNA
SizeASHC_04,2/27/2024 15:13,153.7,ng/µl,3.074,1.633,1.88,DNA
SizeASHC_04,2/27/2024 15:14,153.9,ng/µl,3.078,1.635,1.88,DNA
SizeASHC_05,2/27/2024 15:15,295.1,ng/µl,5.903,3.123,1.89,DNA
SizeASHC_05,2/27/2024 15:15,295.5,ng/µl,5.911,3.111,1.9,DNA
SizeASHC_06,2/27/2024 15:16,272.4,ng/µl,5.449,2.848,1.91,DNA
SizeASHC_06,2/27/2024 15:17,273.8,ng/µl,5.476,2.861,1.91,DNA
SizeASHC_07,2/27/2024 15:18,255.2,ng/µl,5.105,2.852,1.79,DNA
SizeASHC_07,2/27/2024 15:18,256.4,ng/µl,5.128,2.86,1.79,DNA
SizeASHC_08,2/27/2024 15:19,323.5,ng/µl,6.471,3.384,1.91,DNA
SizeASHC_08,2/27/2024 15:20,325.3,ng/µl,6.506,3.401,1.91,DNA
SizeASHC_09,2/27/2024 15:20,166.7,ng/µl,3.334,1.789,1.86,DNA
SizeASHC_09,2/27/2024 15:21,167.2,ng/µl,3.344,1.789,1.87,DNA
SizeASHC_10,2/27/2024 15:22,328.8,ng/µl,6.576,3.349,1.96,DNA
SizeASHC_10,2/27/2024 15:23,327.6,ng/µl,6.553,3.353,1.95,DNA
SizeASHC_11,2/27/2024 15:24,197.7,ng/µl,3.954,2.042,1.94,DNA
SizeASHC_11,2/27/2024 15:24,196.7,ng/µl,3.934,2.025,1.94,DNA
SizeASHC_12,2/27/2024 15:25,342.5,ng/µl,6.849,3.454,1.98,DNA
SizeASHC_12,2/27/2024 15:26,346.7,ng/µl,6.935,3.507,1.98,DNA
SizeASHC_13,2/27/2024 15:27,117.8,ng/µl,2.356,1.298,1.82,DNA
SizeASHC_13,2/27/2024 15:27,120.8,ng/µl,2.416,1.354,1.78,DNA
SizeASHC_14,2/27/2024 15:28,369.5,ng/µl,7.39,3.925,1.88,DNA
SizeASHC_14,2/27/2024 15:29,369.4,ng/µl,7.387,3.915,1.89,DNA
SizeASHC_15,2/27/2024 15:30,142.4,ng/µl,2.848,1.52,1.87,DNA
SizeASHC_15,2/27/2024 15:30,141.8,ng/µl,2.835,1.514,1.87,DNA
SizeASHC_16,2/27/2024 15:31,123.6,ng/µl,2.472,1.325,1.87,DNA
SizeASHC_16,2/27/2024 15:32,123.7,ng/µl,2.474,1.31,1.89,DNA
SizeASHC_17,2/27/2024 15:32,464.4,ng/µl,9.287,4.919,1.89,DNA
SizeASHC_17,2/27/2024 15:33,466.4,ng/µl,9.327,4.958,1.88,DNA
SizeASHC_18,2/27/2024 15:33,180.9,ng/µl,3.619,1.909,1.9,DNA
SizeASHC_18,2/27/2024 15:34,181.7,ng/µl,3.634,1.911,1.9,DNA
SizeASHC_19,2/27/2024 15:35,135.3,ng/µl,2.707,1.461,1.85,DNA
SizeASHC_19,2/27/2024 15:35,135.2,ng/µl,2.703,1.457,1.86,DNA
SizeASHC_20,2/27/2024 15:36,204.1,ng/µl,4.082,2.126,1.92,DNA
SizeASHC_20,2/27/2024 15:36,203.8,ng/µl,4.076,2.118,1.92,DNA
SizeASHC_21,2/27/2024 15:37,263,ng/µl,5.26,2.899,1.81,DNA
SizeASHC_21,2/27/2024 15:38,264.3,ng/µl,5.286,2.888,1.83,DNA
SizeASHC_22,2/27/2024 15:39,223.9,ng/µl,4.477,2.446,1.83,DNA
SizeASHC_22,2/27/2024 15:39,223.8,ng/µl,4.477,2.429,1.84,DNA
SizeASHC_23,2/27/2024 15:40,227.4,ng/µl,4.547,2.314,1.96,DNA
SizeASHC_23,2/27/2024 15:41,227.2,ng/µl,4.543,2.301,1.97,DNA
SizeASHC_24,2/27/2024 15:41,209.1,ng/µl,4.182,2.206,1.9,DNA
SizeASHC_24,2/27/2024 15:42,208.7,ng/µl,4.173,2.193,1.9,DNA
SizeASHC_25,2/27/2024 15:42,151.1,ng/µl,3.021,1.549,1.95,DNA
SizeASHC_25,2/27/2024 15:43,152.6,ng/µl,3.053,1.561,1.96,DNA
SizeASHC_26,2/27/2024 15:44,226.4,ng/µl,4.527,2.474,1.83,DNA
SizeASHC_26,2/27/2024 15:44,226.2,ng/µl,4.525,2.474,1.83,DNA
SizeASHC_27,2/27/2024 15:45,372.6,ng/µl,7.452,4.028,1.85,DNA
SizeASHC_27,2/27/2024 15:46,373.6,ng/µl,7.472,4.037,1.85,DNA
SizeASHC_28,2/27/2024 15:46,189.8,ng/µl,3.796,2.049,1.85,DNA
SizeASHC_28,2/27/2024 15:47,188.1,ng/µl,3.762,2.013,1.87,DNA
SizeASHC_29,2/27/2024 15:47,374.7,ng/µl,7.495,3.962,1.89,DNA
SizeASHC_29,2/27/2024 15:48,375.1,ng/µl,7.503,3.954,1.9,DNA
SizeASHC_30,2/27/2024 15:49,412.4,ng/µl,8.248,4.697,1.76,DNA
SizeASHC_30,2/27/2024 15:49,413.9,ng/µl,8.277,4.704,1.76,DNA
SizeASHC_31,2/27/2024 15:53,231.4,ng/µl,4.628,2.325,1.99,DNA
SizeASHC_31,2/27/2024 15:54,233.9,ng/µl,4.677,2.35,1.99,DNA
SizeASHC_32,2/27/2024 15:55,168.1,ng/µl,3.361,1.793,1.87,DNA
SizeASHC_32,2/27/2024 15:56,168.3,ng/µl,3.365,1.808,1.86,DNA
SizeASHC_33,2/27/2024 15:56,133.3,ng/µl,2.665,1.406,1.9,DNA
SizeASHC_33,2/27/2024 15:57,133.4,ng/µl,2.667,1.404,1.9,DNA
SizeASHC_34,2/27/2024 15:58,124.2,ng/µl,2.485,1.343,1.85,DNA
SizeASHC_34,2/27/2024 15:58,125.6,ng/µl,2.512,1.358,1.85,DNA
SizeASHC_35,2/27/2024 15:59,150.6,ng/µl,3.012,1.635,1.84,DNA
SizeASHC_35,2/27/2024 15:59,151.2,ng/µl,3.023,1.65,1.83,DNA
SizeASHC_36,2/27/2024 16:00,193,ng/µl,3.861,2.005,1.93,DNA
SizeASHC_36,2/27/2024 16:00,194.7,ng/µl,3.894,2.016,1.93,DNA
SizeASHC_37,2/27/2024 16:01,197.1,ng/µl,3.943,2.07,1.9,DNA
SizeASHC_37,2/27/2024 16:01,197.2,ng/µl,3.944,2.071,1.9,DNA
SizeASHC_38,2/27/2024 16:02,234.6,ng/µl,4.691,2.504,1.87,DNA
SizeASHC_38,2/27/2024 16:03,235.6,ng/µl,4.713,2.526,1.87,DNA
SizeASHC_39,2/27/2024 16:03,194.4,ng/µl,3.888,2.069,1.88,DNA
SizeASHC_39,2/27/2024 16:03,199,ng/µl,3.981,2.125,1.87,DNA
SizeASHC_40,2/27/2024 16:04,124.3,ng/µl,2.486,1.322,1.88,DNA
SizeASHC_40,2/27/2024 16:05,125.1,ng/µl,2.503,1.328,1.88,DNA
SizeASHC_41,2/27/2024 16:05,207.9,ng/µl,4.158,2.329,1.78,DNA
SizeASHC_41,2/27/2024 16:06,210.2,ng/µl,4.205,2.353,1.79,DNA
SizeASHC_42,2/27/2024 16:06,308.9,ng/µl,6.178,3.18,1.94,DNA
SizeASHC_42,2/27/2024 16:07,308.5,ng/µl,6.17,3.18,1.94,DNA
SizeASHC_43,2/27/2024 16:07,317.8,ng/µl,6.356,3.285,1.93,DNA
SizeASHC_43,2/27/2024 16:08,317.9,ng/µl,6.359,3.274,1.94,DNA
SizeASHC_44,2/27/2024 16:08,327.5,ng/µl,6.551,3.501,1.87,DNA
SizeASHC_44,2/27/2024 16:09,320.7,ng/µl,6.414,3.434,1.87,DNA
SizeASHC_45,2/27/2024 16:09,249,ng/µl,4.98,2.683,1.86,DNA
SizeASHC_45,2/27/2024 16:10,255.1,ng/µl,5.101,2.749,1.86,DNA
SizeASHC_46,2/27/2024 16:10,212.6,ng/µl,4.251,2.343,1.81,DNA
SizeASHC_46,2/27/2024 16:11,213.1,ng/µl,4.262,2.344,1.82,DNA
SizeASHC_47,2/27/2024 16:11,208.2,ng/µl,4.164,2.245,1.85,DNA
SizeASHC_47,2/27/2024 16:12,213.2,ng/µl,4.265,2.309,1.85,DNA
SizeASHC_48,2/27/2024 16:13,264.6,ng/µl,5.293,2.863,1.85,DNA
SizeASHC_48,2/27/2024 16:13,263.1,ng/µl,5.261,2.839,1.85,DNA
SizeASHC_49,2/27/2024 16:16,299,ng/µl,5.979,3.37,1.77,DNA
SizeASHC_49,2/27/2024 16:16,301.1,ng/µl,6.021,3.386,1.78,DNA
SizeASHC_50,2/27/2024 16:17,190,ng/µl,3.799,1.95,1.95,DNA
SizeASHC_50,2/27/2024 16:18,190.9,ng/µl,3.819,1.958,1.95,DNA
SizeASHC_51,2/27/2024 16:18,299.4,ng/µl,5.988,3.17,1.89,DNA
SizeASHC_51,2/27/2024 16:19,301,ng/µl,6.021,3.179,1.89,DNA
SizeASHC_52,2/27/2024 16:19,307.4,ng/µl,6.147,3.272,1.88,DNA
SizeASHC_52,2/27/2024 16:20,306.4,ng/µl,6.128,3.265,1.88,DNA
SizeASHC_53,2/27/2024 16:20,349,ng/µl,6.979,3.593,1.94,DNA
SizeASHC_53,2/27/2024 16:20,348.5,ng/µl,6.969,3.596,1.94,DNA
SizeASHC_54,2/27/2024 16:21,224.1,ng/µl,4.483,2.451,1.83,DNA
SizeASHC_54,2/27/2024 16:22,224.4,ng/µl,4.487,2.44,1.84,DNA
SizeASHC_55,2/27/2024 16:22,123.6,ng/µl,2.472,1.321,1.87,DNA
SizeASHC_55,2/27/2024 16:22,125,ng/µl,2.5,1.336,1.87,DNA
SizeASHC_56,2/27/2024 16:23,207.6,ng/µl,4.152,2.181,1.9,DNA
SizeASHC_56,2/27/2024 16:23,207.7,ng/µl,4.154,2.168,1.92,DNA
SizeASHC_57,2/27/2024 16:24,481.9,ng/µl,9.639,5.116,1.88,DNA
SizeASHC_57,2/27/2024 16:24,480.1,ng/µl,9.601,5.089,1.89,DNA
SizeASHC_58,2/27/2024 16:25,219.8,ng/µl,4.396,2.373,1.85,DNA
SizeASHC_58,2/27/2024 16:25,219.8,ng/µl,4.396,2.377,1.85,DNA
SizeASHC_59,2/27/2024 16:26,85.6,ng/µl,1.712,0.868,1.97,DNA
SizeASHC_59,2/27/2024 16:26,85.7,ng/µl,1.715,0.879,1.95,DNA
SizeASHC_60,2/27/2024 16:27,192.4,ng/µl,3.847,2.151,1.79,DNA
SizeASHC_60,2/27/2024 16:27,191.3,ng/µl,3.826,2.146,1.78,DNA
