Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0523GOLD_01,3/7/2024 15:55,139.9,ng/µl,2.798,1.424,1.97,DNA
0523GOLD_01,3/7/2024 15:57,140.3,ng/µl,2.806,1.428,1.97,DNA
0523GOLD_02,3/7/2024 15:57,237.7,ng/µl,4.755,2.42,1.96,DNA
0523GOLD_02,3/7/2024 15:58,240.2,ng/µl,4.804,2.451,1.96,DNA
0523GOLD_03,3/7/2024 15:58,87.7,ng/µl,1.753,0.904,1.94,DNA
0523GOLD_03,3/7/2024 15:58,88,ng/µl,1.76,0.892,1.97,DNA
0523GOLD_04,3/7/2024 15:59,369.5,ng/µl,7.389,3.752,1.97,DNA
0523GOLD_04,3/7/2024 15:59,368.5,ng/µl,7.369,3.738,1.97,DNA
0523GOLD_05,3/7/2024 16:00,168.4,ng/µl,3.367,1.767,1.91,DNA
0523GOLD_05,3/7/2024 16:00,168.4,ng/µl,3.368,1.763,1.91,DNA
0523GOLD_06,3/7/2024 16:01,341.7,ng/µl,6.835,3.442,1.99,DNA
0523GOLD_06,3/7/2024 16:01,344.4,ng/µl,6.888,3.472,1.98,DNA
0523GOLD_07,3/7/2024 16:02,66.1,ng/µl,1.321,0.679,1.95,DNA
0523GOLD_07,3/7/2024 16:05,66.8,ng/µl,1.336,0.683,1.96,DNA
0523GOLD_08,3/7/2024 16:03,298.6,ng/µl,5.972,3.041,1.96,DNA
0523GOLD_08,3/7/2024 16:03,304.8,ng/µl,6.096,3.125,1.95,DNA
0523GOLD_09,3/7/2024 16:03,182,ng/µl,3.64,1.867,1.95,DNA
0523GOLD_09,3/7/2024 16:04,179.3,ng/µl,3.586,1.827,1.96,DNA
0523GOLD_10,3/7/2024 16:05,84.1,ng/µl,1.683,0.845,1.99,DNA
0523GOLD_10,3/7/2024 16:06,84,ng/µl,1.681,0.836,2.01,DNA
0523GOLD_11,3/7/2024 16:06,167.9,ng/µl,3.359,1.75,1.92,DNA
0523GOLD_11,3/7/2024 16:06,215.8,ng/µl,4.315,2.265,1.91,DNA
0523GOLD_12,3/7/2024 16:07,256.8,ng/µl,5.137,2.599,1.98,DNA
0523GOLD_12,3/7/2024 16:07,259.1,ng/µl,5.183,2.626,1.97,DNA
0523GOLD_13,3/7/2024 16:08,243.3,ng/µl,4.867,2.554,1.91,DNA
0523GOLD_13,3/7/2024 16:08,243.4,ng/µl,4.869,2.547,1.91,DNA
0523GOLD_14,3/7/2024 16:08,95.9,ng/µl,1.917,0.975,1.97,DNA
0523GOLD_14,3/7/2024 16:09,97.1,ng/µl,1.941,0.976,1.99,DNA
0523GOLD_15,3/7/2024 16:09,260.9,ng/µl,5.218,2.78,1.88,DNA
0523GOLD_15,3/7/2024 16:09,273,ng/µl,5.46,2.911,1.88,DNA
0523GOLD_16,3/7/2024 16:10,118,ng/µl,2.359,1.213,1.94,DNA
0523GOLD_16,3/7/2024 16:10,118,ng/µl,2.359,1.222,1.93,DNA
0523GOLD_17,3/7/2024 16:11,225.9,ng/µl,4.518,2.23,2.03,DNA
0523GOLD_17,3/7/2024 16:11,226.4,ng/µl,4.528,2.237,2.02,DNA
0523GOLD_18,3/7/2024 16:12,362.1,ng/µl,7.243,3.753,1.93,DNA
0523GOLD_18,3/7/2024 16:12,361.3,ng/µl,7.226,3.752,1.93,DNA
0523GOLD_19,3/7/2024 16:12,237.3,ng/µl,4.746,2.379,2,DNA
0523GOLD_19,3/7/2024 16:13,237.3,ng/µl,4.746,2.379,1.99,DNA
0523GOLD_20,3/7/2024 16:13,275,ng/µl,5.5,2.822,1.95,DNA
0523GOLD_20,3/7/2024 16:14,290.6,ng/µl,5.812,3.01,1.93,DNA
0523GOLD_21,3/7/2024 16:14,291.4,ng/µl,5.828,3.022,1.93,DNA
0523GOLD_21,3/7/2024 16:15,292,ng/µl,5.84,3.025,1.93,DNA
0523GOLD_22,3/7/2024 16:15,298.8,ng/µl,5.976,3.073,1.94,DNA
0523GOLD_22,3/7/2024 16:15,285.7,ng/µl,5.715,2.928,1.95,DNA
0523GOLD_23,3/7/2024 16:16,298.1,ng/µl,5.962,3.224,1.85,DNA
0523GOLD_23,3/7/2024 16:16,301.1,ng/µl,6.022,3.255,1.85,DNA
0523GOLD_24,3/7/2024 16:18,177.6,ng/µl,3.552,1.852,1.92,DNA
0523GOLD_24,3/7/2024 16:18,177.7,ng/µl,3.553,1.859,1.91,DNA
0523GOLD_25,3/7/2024 16:19,185.1,ng/µl,3.703,1.975,1.87,DNA
0523GOLD_25,3/7/2024 16:19,185.2,ng/µl,3.705,1.973,1.88,DNA
0523GOLD_26,3/7/2024 16:19,175.1,ng/µl,3.502,1.772,1.98,DNA
0523GOLD_26,3/7/2024 16:20,176.2,ng/µl,3.523,1.786,1.97,DNA
0523GOLD_27,3/7/2024 16:20,319.2,ng/µl,6.383,3.431,1.86,DNA
0523GOLD_27,3/7/2024 16:20,321,ng/µl,6.42,3.447,1.86,DNA
0523GOLD_28,3/7/2024 16:21,129.6,ng/µl,2.592,1.4,1.85,DNA
0523GOLD_28,3/7/2024 16:21,129.4,ng/µl,2.587,1.378,1.88,DNA
0523GOLD_29,3/7/2024 16:22,151.7,ng/µl,3.033,1.616,1.88,DNA
0523GOLD_29,3/7/2024 16:22,151.1,ng/µl,3.022,1.602,1.89,DNA
0523GOLD_30,3/7/2024 16:23,167.9,ng/µl,3.357,1.692,1.98,DNA
0523GOLD_30,3/7/2024 16:23,167.8,ng/µl,3.355,1.691,1.98,DNA
