Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0723FENC_01,3/28/2024 3:12:39 PM,248.3,ng/µl,4.966,2.585,1.92,DNA
0723FENC_01,3/28/2024 3:13:10 PM,254.4,ng/µl,5.089,2.656,1.92,DNA
0723FENC_01,3/28/2024 3:13:47 PM,258.3,ng/µl,5.166,2.715,1.9,DNA
0723FENC_01,3/28/2024 3:14:17 PM,258.8,ng/µl,5.177,2.706,1.91,DNA
0723FENC_02,3/28/2024 3:15:02 PM,66.1,ng/µl,1.321,0.709,1.86,DNA
0723FENC_02,3/28/2024 3:15:36 PM,65.3,ng/µl,1.307,0.701,1.87,DNA
0723FENC_03,3/28/2024 3:16:19 PM,50.9,ng/µl,1.019,0.515,1.98,DNA
0723FENC_03,3/28/2024 3:16:53 PM,50.7,ng/µl,1.014,0.517,1.96,DNA
0723FENC_04,3/28/2024 3:17:35 PM,103.8,ng/µl,2.076,1.046,1.99,DNA
0723FENC_04,3/28/2024 3:17:56 PM,103.9,ng/µl,2.079,1.037,2,DNA
0723FENC_05,3/28/2024 3:18:33 PM,124.1,ng/µl,2.483,1.293,1.92,DNA
0723FENC_05,3/28/2024 3:18:56 PM,157.3,ng/µl,3.146,1.698,1.85,DNA
0723FENC_05,3/28/2024 3:19:37 PM,125.7,ng/µl,2.513,1.313,1.91,DNA
0723FENC_06,3/28/2024 3:20:26 PM,239.6,ng/µl,4.792,2.413,1.99,DNA
0723FENC_06,3/28/2024 3:20:48 PM,237.6,ng/µl,4.751,2.396,1.98,DNA
0723FENC_07,3/28/2024 3:21:35 PM,181.7,ng/µl,3.635,1.849,1.97,DNA
0723FENC_07,3/28/2024 3:21:52 PM,180,ng/µl,3.6,1.825,1.97,DNA
0723FENC_08,3/28/2024 3:22:37 PM,207.4,ng/µl,4.148,2.122,1.95,DNA
0723FENC_08,3/28/2024 3:23:03 PM,208,ng/µl,4.161,2.113,1.97,DNA
0723FENC_09,3/28/2024 3:25:04 PM,189.9,ng/µl,3.798,1.911,1.99,DNA
0723FENC_09,3/28/2024 3:25:27 PM,189.5,ng/µl,3.789,1.911,1.98,DNA
