Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0723GOLD_01,3/28/2024 1:24:59 PM,196.6,ng/µl,3.932,2.134,1.84,DNA
0723GOLD_01,3/28/2024 1:25:33 PM,197.5,ng/µl,3.951,2.138,1.85,DNA
0723GOLD_02,3/28/2024 1:26:10 PM,213.7,ng/µl,4.275,2.229,1.92,DNA
0723GOLD_02,3/28/2024 1:26:29 PM,214.2,ng/µl,4.284,2.247,1.91,DNA
0723GOLD_03,3/28/2024 1:27:50 PM,270.6,ng/µl,5.411,2.788,1.94,DNA
0723GOLD_03,3/28/2024 1:28:09 PM,270,ng/µl,5.401,2.783,1.94,DNA
0723GOLD_04,3/28/2024 1:28:49 PM,370.3,ng/µl,7.406,3.839,1.93,DNA
0723GOLD_04,3/28/2024 1:29:10 PM,371.1,ng/µl,7.421,3.85,1.93,DNA
0723GOLD_05,3/28/2024 1:29:48 PM,236.2,ng/µl,4.724,2.386,1.98,DNA
0723GOLD_05,3/28/2024 1:30:07 PM,237.1,ng/µl,4.742,2.402,1.97,DNA
0723GOLD_06,3/28/2024 1:31:03 PM,156.9,ng/µl,3.139,1.556,2.02,DNA
0723GOLD_06,3/28/2024 1:31:23 PM,162.5,ng/µl,3.25,1.682,1.93,DNA
0723GOLD_07,3/28/2024 1:32:05 PM,193.1,ng/µl,3.862,1.996,1.94,DNA
0723GOLD_07,3/28/2024 1:32:23 PM,194.1,ng/µl,3.881,2.006,1.94,DNA
0723GOLD_08,3/28/2024 1:33:03 PM,212,ng/µl,4.24,2.152,1.97,DNA
0723GOLD_08,3/28/2024 1:33:20 PM,208.9,ng/µl,4.178,2.111,1.98,DNA
0723GOLD_09,3/28/2024 1:34:01 PM,117.2,ng/µl,2.345,1.191,1.97,DNA
0723GOLD_09,3/28/2024 1:34:25 PM,116.6,ng/µl,2.331,1.186,1.97,DNA
0723GOLD_10,3/28/2024 1:35:08 PM,124.6,ng/µl,2.493,1.334,1.87,DNA
0723GOLD_10,3/28/2024 1:35:26 PM,124.8,ng/µl,2.497,1.343,1.86,DNA
0723GOLD_11,3/28/2024 1:36:04 PM,315.8,ng/µl,6.316,3.225,1.96,DNA
0723GOLD_11,3/28/2024 1:36:55 PM,314.4,ng/µl,6.289,3.213,1.96,DNA
0723GOLD_12,3/28/2024 1:37:31 PM,402.2,ng/µl,8.043,4.05,1.99,DNA
0723GOLD_12,3/28/2024 1:37:49 PM,401.6,ng/µl,8.031,4.047,1.98,DNA
0723GOLD_13,3/28/2024 1:38:33 PM,236.3,ng/µl,4.727,2.478,1.91,DNA
0723GOLD_13,3/28/2024 1:38:53 PM,237.7,ng/µl,4.755,2.497,1.9,DNA
0723GOLD_14,3/28/2024 1:39:33 PM,222.8,ng/µl,4.456,2.328,1.91,DNA
0723GOLD_14,3/28/2024 1:39:53 PM,224.3,ng/µl,4.485,2.343,1.91,DNA
0723GOLD_15,3/28/2024 1:40:35 PM,105.3,ng/µl,2.105,1.063,1.98,DNA
0723GOLD_15,3/28/2024 1:41:00 PM,106.2,ng/µl,2.125,1.085,1.96,DNA
0723GOLD_16,3/28/2024 1:41:39 PM,125.4,ng/µl,2.508,1.386,1.81,DNA
0723GOLD_16,3/28/2024 1:42:10 PM,124.1,ng/µl,2.483,1.368,1.82,DNA
0723GOLD_17,3/28/2024 1:42:50 PM,500.5,ng/µl,10.011,5.174,1.93,DNA
0723GOLD_17,3/28/2024 1:43:09 PM,502.5,ng/µl,10.049,5.213,1.93,DNA
0723GOLD_18,3/28/2024 1:43:57 PM,403,ng/µl,8.06,4.089,1.97,DNA
0723GOLD_18,3/28/2024 1:44:15 PM,401.4,ng/µl,8.028,4.074,1.97,DNA
0723GOLD_19,3/28/2024 1:44:59 PM,416.8,ng/µl,8.337,4.372,1.91,DNA
0723GOLD_19,3/28/2024 1:45:19 PM,417.6,ng/µl,8.352,4.381,1.91,DNA
0723GOLD_20,3/28/2024 1:45:50 PM,492.1,ng/µl,9.841,4.988,1.97,DNA
0723GOLD_20,3/28/2024 1:46:08 PM,493.3,ng/µl,9.866,4.979,1.98,DNA
0723GOLD_21,3/28/2024 1:46:53 PM,235.9,ng/µl,4.717,2.413,1.96,DNA
0723GOLD_21,3/28/2024 1:47:10 PM,236.1,ng/µl,4.721,2.414,1.96,DNA
0723GOLD_22,3/28/2024 1:47:55 PM,168.1,ng/µl,3.362,1.72,1.95,DNA
0723GOLD_22,3/28/2024 1:48:15 PM,168.5,ng/µl,3.37,1.715,1.97,DNA
0723GOLD_23,3/28/2024 1:48:48 PM,218.9,ng/µl,4.378,2.238,1.96,DNA
0723GOLD_23,3/28/2024 1:49:05 PM,218.5,ng/µl,4.37,2.23,1.96,DNA
0723GOLD_24,3/28/2024 1:49:40 PM,211.4,ng/µl,4.228,2.288,1.85,DNA
0723GOLD_24,3/28/2024 1:49:57 PM,212.1,ng/µl,4.242,2.288,1.85,DNA
0723GOLD_25,3/28/2024 1:53:36 PM,131.1,ng/µl,2.622,1.362,1.93,DNA
0723GOLD_25,3/28/2024 1:53:53 PM,129.2,ng/µl,2.584,1.323,1.95,DNA
0723GOLD_26,3/28/2024 1:54:25 PM,269.2,ng/µl,5.384,2.782,1.94,DNA
0723GOLD_26,3/28/2024 1:54:47 PM,269.7,ng/µl,5.393,2.792,1.93,DNA
0723GOLD_27,3/28/2024 1:55:20 PM,249.9,ng/µl,4.997,2.489,2.01,DNA
0723GOLD_27,3/28/2024 1:55:37 PM,250.1,ng/µl,5.002,2.483,2.01,DNA
0723GOLD_28,3/28/2024 1:56:11 PM,314,ng/µl,6.281,3.057,2.05,DNA
0723GOLD_28,3/28/2024 1:56:30 PM,313.8,ng/µl,6.276,3.048,2.06,DNA
0723GOLD_29,3/28/2024 1:57:07 PM,255.6,ng/µl,5.112,2.807,1.82,DNA
0723GOLD_29,3/28/2024 1:57:25 PM,255.5,ng/µl,5.111,2.801,1.82,DNA
0723GOLD_30,3/28/2024 1:58:09 PM,468.9,ng/µl,9.378,4.644,2.02,DNA
0723GOLD_30,3/28/2024 1:58:25 PM,469.4,ng/µl,9.389,4.637,2.02,DNA
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
