"site","date_collected","N","rftm_final","sd","se","ci","Completeness"
"ASHC",2023-04-23,30,0.566666666666667,0.34072269373053,0.0622071684033784,0.12722794477173,1
"ASHC",2023-05-10,30,0.383333333333333,0.485715493092289,0.0886791106987971,0.181369145839147,1
"ASHC",2023-06-12,30,0.333333333333333,0.461133037377414,0.0841909888608275,0.172189906018629,1
"ASHC",2023-07-10,30,1.18333333333333,0.885548080173432,0.161678219755461,0.330669087531113,1
"ASHC",2023-08-07,30,2.56666666666667,0.935260735665815,0.170754467357681,0.34923209816651,1
"ASHC",2023-09-05,30,1.1,0.723973708800591,0.132178910450253,0.270336225717662,1
"ASHC",2023-10-03,30,1.38333333333333,0.84774887845372,0.154777061276269,0.316554633644416,1
"ASHC",2023-11-06,30,0.866666666666667,0.628810224829856,0.114804514843069,0.234801596807709,1
"FENC",2023-04-27,30,0.533333333333333,0.392457626382451,0.0716526316115342,0.146546086108725,1
"FENC",2023-05-15,30,0.433333333333333,0.217086242727652,0.0396343440219923,0.0810613352402638,1
"FENC",2023-06-14,30,0.45,0.634496813937274,0.115842739219534,0.23692500407764,1
"FENC",2023-07-12,30,0.633333333333333,0.628810224829856,0.114804514843069,0.234801596807709,1
"FENC",2023-08-09,30,1.75,1.19445558223445,0.218076755442591,0.446017044491312,1
"FENC",2023-09-06,30,1.23333333333333,1.1351236704106,0.207244279947315,0.423862144510698,1
"FENC",2023-10-05,30,1.41666666666667,0.861867792619044,0.157354810534878,0.321826722838108,1
"FENC",2023-11-08,30,0.85,0.418330013267038,0.0763762615825973,0.156206994144009,1
"GOLD",2023-05-25,30,0.1,0.203419051086243,0.0371390676354104,0.0759579220091126,1
"GOLD",2023-06-20,30,0.25,0.254273813857804,0.046423834544263,0.0949474025113908,1
"GOLD",2023-07-17,30,0.233333333333333,0.739679955644067,0.135046465680225,0.276201034674454,1
"GOLD",2023-08-14,30,0,0,0,0,1
"GOLD",2023-09-27,30,0.3,0.406838102172486,0.0742781352708207,0.151915844018225,1
"GOLD",2023-10-16,30,NA,NA,NA,NA,1
"LAUR",2023-05-25,30,0.4,0.531750524860724,0.09708391914381,0.198558909207335,1
"LAUR",2023-06-20,30,1.4,0.986110436565524,0.180038310099402,0.368219688534776,1
"LAUR",2023-07-17,30,1.43333333333333,0.944433175501849,0.172429118092866,0.35265714349033,1
"LAUR",2023-08-14,30,1.4,1.05372901050802,0.19238371618428,0.393468879003734,1
"LAUR",2023-09-27,30,1.55,0.893945149902656,0.163211307924674,0.333804604898791,1
"LAUR",2023-10-17,30,1.55,0.913028307148892,0.166695399822068,0.340930372923256,1
NA,NA,19380,NA,NA,NA,NA,646
