"site","date_collected","N","rftm_final","sd","se","ci","Completeness"
"ASHC",2023-04-23,30,0.566666666666667,0.34072269373053,0.0622071684033784,0.12722794477173,1
"ASHC",2023-05-10,30,0.383333333333333,0.485715493092289,0.0886791106987971,0.181369145839147,1
"ASHC",2023-06-12,30,0.333333333333333,0.461133037377414,0.0841909888608275,0.172189906018629,1
"ASHC",2023-07-10,30,1.18333333333333,0.885548080173432,0.161678219755461,0.330669087531113,1
"ASHC",2023-08-07,30,2.56666666666667,0.935260735665815,0.170754467357681,0.34923209816651,1
"ASHC",2023-09-05,30,1.1,0.723973708800591,0.132178910450253,0.270336225717662,1
"ASHC",2023-10-03,30,1.38333333333333,0.84774887845372,0.154777061276269,0.316554633644416,1
"ASHC",2023-11-06,30,0.866666666666667,0.628810224829856,0.114804514843069,0.234801596807709,1
"ASHC",2024-03-14,30,0.366666666666667,0.392457626382451,0.0716526316115342,0.146546086108725,1
"ASHC",2024-04-03,30,0.266666666666667,0.430183067152076,0.0785403232453173,0.160632997204007,1
"ASHC",2024-05-01,30,0.333333333333333,0.530668630505232,0.0968863931626966,0.19815492321567,1
"ASHC",2024-06-17,30,0.483333333333333,0.482152739666401,0.0880286438927345,0.180038791846165,1
"ASHC",2024-07-10,30,1.48333333333333,0.969209892691957,0.176952707061515,0.361908921737836,1
"ASHC",2024-08-26,29,0.96551724137931,0.565859562378312,0.105077482796559,0.215241466202339,0.966666666666667
"FENC",2023-04-27,30,0.533333333333333,0.392457626382451,0.0716526316115342,0.146546086108725,1
"FENC",2023-05-15,30,0.433333333333333,0.217086242727652,0.0396343440219923,0.0810613352402638,1
"FENC",2023-06-14,30,0.45,0.634496813937274,0.115842739219534,0.23692500407764,1
"FENC",2023-07-12,30,0.633333333333333,0.628810224829856,0.114804514843069,0.234801596807709,1
"FENC",2023-08-09,30,1.75,1.19445558223445,0.218076755442591,0.446017044491312,1
"FENC",2023-09-06,30,1.23333333333333,1.1351236704106,0.207244279947315,0.423862144510698,1
"FENC",2023-10-05,30,1.41666666666667,0.861867792619044,0.157354810534878,0.321826722838108,1
"FENC",2023-11-08,30,0.85,0.418330013267038,0.0763762615825973,0.156206994144009,1
"FENC",2024-03-06,30,0.6,0.803011572897238,0.14660918413784,0.299849449207603,1
"FENC",2024-04-02,30,0.216666666666667,0.252003466496865,0.0460093277232769,0.0940996408742438,1
"FENC",2024-05-13,29,0.379310344827586,0.607323937064908,0.112777223876287,0.231013670820027,0.966666666666667
"FENC",2024-06-18,30,0.4,0.275430697209874,0.0502865352970744,0.102847512589729,1
"FENC",2024-07-01,30,1.23333333333333,0.87821658366037,0.160339677748636,0.327931461741515,1
"FENC",2024-08-27,30,0.65,0.811023193681694,0.148071899279782,0.302841037573898,1
"GOLD",2023-05-25,30,0.1,0.203419051086243,0.0371390676354104,0.0759579220091126,1
"GOLD",2023-06-20,30,0.25,0.254273813857804,0.046423834544263,0.0949474025113908,1
"GOLD",2023-07-17,30,0.233333333333333,0.739679955644067,0.135046465680225,0.276201034674454,1
"GOLD",2023-08-14,30,0,0,0,0,1
"GOLD",2023-09-27,30,0.3,0.406838102172486,0.0742781352708207,0.151915844018225,1
"GOLD",2023-10-16,29,0.172413793103448,0.539110743807494,0.100110351886215,0.205066759771357,0.966666666666667
"GOLD",2024-04-22,30,0.166666666666667,0.239731650742692,0.0437688109532409,0.0895172695624707,1
"GOLD",2024-05-23,46,0.0326086956521739,0.124818709114169,0.0184035146365222,0.0370665811967376,1.53333333333333
"GOLD",2024-06-20,30,0.2,0.24913643956122,0.0454858826147342,0.093029075422223,1
"GOLD",2024-07-22,28,0.821428571428571,1.10733485278414,0.209266617038654,0.429379630920504,0.933333333333333
"GOLD",2024-08-14,29,0.431034482758621,0.546484510482268,0.101479625982525,0.207871590609315,0.966666666666667
"GOLD",2024-09-16,30,0.883333333333333,0.762067665261282,0.1391338835363,0.28456074283348,1
"LAUR",2023-05-25,30,0.4,0.531750524860724,0.09708391914381,0.198558909207335,1
"LAUR",2023-06-20,30,1.4,0.986110436565524,0.180038310099402,0.368219688534776,1
"LAUR",2023-07-17,28,1.53571428571429,0.891612889640759,0.168498997980652,0.345731386053052,0.933333333333333
"LAUR",2023-08-14,30,1.4,1.05372901050802,0.19238371618428,0.393468879003734,1
"LAUR",2023-09-27,30,1.55,0.893945149902656,0.163211307924674,0.333804604898791,1
"LAUR",2023-10-17,30,1.55,0.913028307148892,0.166695399822068,0.340930372923256,1
