lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0924FENC_01,2024-09-25,FENC,1,2024-10-02,Kyra Lenderman,0.5,TRUE,2024-10-02,Kelly Roper,0.5,,0.5
0924FENC_02,2024-09-25,FENC,2,2024-10-02,Kyra Lenderman,2,FALSE,,,,,2
0924FENC_03,2024-09-25,FENC,3,2024-10-02,Kelly Roper,0,FALSE,,,,,0
0924FENC_04,2024-09-25,FENC,4,2024-10-02,Kelly Roper,0.5,FALSE,,,,,0.5
0924FENC_05,2024-09-25,FENC,5,2024-10-02,Isaiah Mayo,0.5,FALSE,,,,,0.5
0924FENC_06,2024-09-25,FENC,6,2024-10-02,Isaiah Mayo,0.5,TRUE,2024-10-02,Kelly Roper,0.5,,0.5
0924FENC_07,2024-09-25,FENC,7,2024-10-02,Kelly Roper,0,FALSE,,,,,0
0924FENC_08,2024-09-25,FENC,8,2024-10-02,Kelly Roper,1,FALSE,,,,,1
0924FENC_09,2024-09-25,FENC,9,2024-10-02,Isaiah Mayo,0.5,FALSE,,,,,0.5
0924FENC_10,2024-09-25,FENC,10,2024-10-02,Isaiah Mayo,0,FALSE,,,,,0
0924FENC_11,2024-09-25,FENC,11,2024-10-02,Kelly Roper,1,FALSE,,,,,1
0924FENC_12,2024-09-25,FENC,12,2024-10-02,Kelly Roper,0,FALSE,,,,,0
0924FENC_13,2024-09-25,FENC,13,2024-10-02,Isaiah Mayo,0,TRUE,2024-10-02,Kelly Roper,0,,0
0924FENC_14,2024-09-25,FENC,14,2024-10-02,Isaiah Mayo,1,FALSE,,,,,1
0924FENC_15,2024-09-25,FENC,15,2024-10-02,Kelly Roper,0,FALSE,,,,,0
0924FENC_16,2024-09-25,FENC,16,2024-10-02,Kelly Roper,0.5,FALSE,,,,,0.5
0924FENC_17,2024-09-25,FENC,17,2024-10-02,Isaiah Mayo,1,FALSE,,,,,1
0924FENC_18,2024-09-25,FENC,18,2024-10-02,Isaiah Mayo,0.5,FALSE,,,,,0.5
0924FENC_19,2024-09-25,FENC,19,2024-10-02,Kelly Roper,0.5,FALSE,,,,,0.5
0924FENC_20,2024-09-25,FENC,20,2024-10-02,Kelly Roper,0,FALSE,,,,,0
0924FENC_21,2024-09-25,FENC,21,2024-10-02,Isaiah Mayo,0.5,FALSE,,,,,0.5
0924FENC_22,2024-09-25,FENC,22,2024-10-02,Isaiah Mayo,0,FALSE,,,,,0
0924FENC_23,2024-09-25,FENC,23,2024-10-02,Kyra Lenderman,0,FALSE,,,,,0
0924FENC_24,2024-09-25,FENC,24,2024-10-02,Kyra Lenderman,1,FALSE,,,,,1
0924FENC_25,2024-09-25,FENC,25,2024-10-02,Kelly Roper,0,FALSE,,,,,0
0924FENC_26,2024-09-25,FENC,26,2024-10-02,Kelly Roper,0,FALSE,,,,,0
0924FENC_27,2024-09-25,FENC,27,2024-10-03,Kelly Roper,1,FALSE,,,,,1
0924FENC_28,2024-09-25,FENC,28,2024-10-03,Kelly Roper,0.5,FALSE,,,,,0.5
0924FENC_29,2024-09-25,FENC,29,2024-10-03,Kyra Lenderman,2,FALSE,,,,,2
0924FENC_30,2024-09-25,FENC,30,2024-10-03,Kyra Lenderman,1,FALSE,,,,,1
