lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr_etoh,ggr_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
0423ASHC_01,2023-04-23,ASHC,1,upper,NA,2023-04-25,70.64,98.5,51.96,24.48,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-25,2023-04-26
0423ASHC_02,2023-04-23,ASHC,2,upper,NA,2023-04-25,78.83,101.82,56.09,26.11,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-25,2023-04-26
0423ASHC_03,2023-04-23,ASHC,3,upper,NA,2023-04-25,61.52,109.94,48.01,21.45,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-25,2023-04-26
0423ASHC_04,2023-04-23,ASHC,4,upper,NA,2023-04-25,66.62,79.13,54.84,23.51,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-25,2023-04-26
0423ASHC_05,2023-04-23,ASHC,5,upper,NA,2023-04-25,68.72,104.6,52.72,17.76,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-25,2023-04-26
0423ASHC_06,2023-04-23,ASHC,6,upper,NA,2023-04-25,74.57,110.5,50.23,27.24,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-25,2023-04-26
0423ASHC_07,2023-04-23,ASHC,7,lower,NA,2023-04-25,39.13,75.7,43.52,22.18,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-25,2023-04-26
0423ASHC_08,2023-04-23,ASHC,8,upper,NA,2023-04-25,84.88,111.31,55.33,22.61,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-25,2023-04-26
0423ASHC_09,2023-04-23,ASHC,9,upper,NA,2023-04-25,87.33,117.85,54.61,27.72,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-25,2023-04-26
0423ASHC_10,2023-04-23,ASHC,10,upper,NA,2023-04-25,155.33,134.28,69.73,25.95,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-25,2023-04-26
0423ASHC_11,2023-04-23,ASHC,11,mid,NA,2023-04-26,120.49,134.59,58.16,23.52,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_12,2023-04-23,ASHC,12,mid,NA,2023-04-26,57.02,85.25,53.66,25.76,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_13,2023-04-23,ASHC,13,mid,NA,2023-04-26,47.49,76.85,56.54,22.89,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_14,2023-04-23,ASHC,14,mid,NA,2023-04-26,87.72,92.58,58.3,24.05,fat,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_15,2023-04-23,ASHC,15,mid,NA,2023-04-26,53.4,85.27,46.25,24.87,fat,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_16,2023-04-23,ASHC,16,mid,NA,2023-04-26,61.18,97.19,45.54,19.88,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_17,2023-04-23,ASHC,17,mid,NA,2023-04-26,101.14,91.88,59.72,26.04,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_18,2023-04-23,ASHC,18,mid,NA,2023-04-26,67.52,99,50.72,20.72,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_19,2023-04-23,ASHC,19,mid,NA,2023-04-26,53.51,82.22,52.48,17.43,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_20,2023-04-23,ASHC,20,mid,NA,2023-04-26,57.14,81.09,54.17,26.75,fat,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_21,2023-04-23,ASHC,21,lower,NA,2023-04-26,71.2,79.27,64.98,24.05,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_22,2023-04-23,ASHC,22,lower,NA,2023-04-26,62.77,78.73,70.74,26.62,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_23,2023-04-23,ASHC,23,lower,NA,2023-04-26,114.52,92.09,68.49,31.24,fat,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
0423ASHC_24,2023-04-23,ASHC,24,lower,NA,2023-04-26,136.41,90.87,65.91,32.23,fat,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-26,2023-04-28
