lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr1_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh,,,,,,,,,,,,,
0423FENC_01,2023-04-27,FENC,1,upper,sunlight,2023-04-27,138.04,153.86,60.12,22,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-27,2023-04-30,,,,,,,,,,,,,
0423FENC_02,2023-04-27,FENC,2,upper,sunlight,2023-04-27,98.96,115.74,59.25,22.11,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-27,2023-04-30,,,,,,,,,,,,,
0423FENC_03,2023-04-27,FENC,3,upper,sunlight,2023-04-27,87.01,105.95,53.58,24.54,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-27,2023-04-30,,,,,,,,,,,,,
0423FENC_04,2023-04-27,FENC,4,upper,sunlight,2023-04-27,72.23,96.39,48.81,26.64,watery,pea crab,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-27,2023-04-30,,,,,,,,,,,,,
0423FENC_05,2023-04-27,FENC,5,upper,sunlight,2023-04-27,107.73,102.94,54.13,24.88,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-27,2023-04-30,,,,,,,,,,,,,
0423FENC_06,2023-04-27,FENC,6,upper,sunlight,2023-04-27,91.25,109.67,52.22,26.78,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-27,2023-04-30,,,,,,,,,,,,,
0423FENC_07,2023-04-27,FENC,7,upper,sunlight,2023-04-27,96.14,140.65,42.7,22.75,medium,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-27,2023-04-30,,,,,,,,,,,,,
0423FENC_08,2023-04-27,FENC,8,upper,sunlight,2023-04-27,76.61,125.09,50.39,23.56,watery,mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-27,2023-04-30,,,,,,,,,,,,,
0423FENC_09,2023-04-27,FENC,9,upper,sunlight,2023-04-27,134.75,72.94,50.31,19.87,watery,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-27,2023-04-30,,,,,,,,,,,,,
0423FENC_10,2023-04-27,FENC,10,upper,sunlight,2023-04-27,,106.92,69.83,36.82,watery,pea crab; polydora mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-27,2023-04-30,,,,,,,,,,,,,
