lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh,,,,,,,,,,,,,
0723LAUR_01,2023-07-17,LAUR,1,NA,NA,2023-07-18,162.21,103.49,86.77,32.98,5_fair,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_02,2023-07-17,LAUR,2,NA,NA,2023-07-18,137.52,90.88,87.88,29.87,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_03,2023-07-17,LAUR,3,NA,NA,2023-07-18,172.4,107.78,92.05,31.46,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_04,2023-07-17,LAUR,4,NA,NA,2023-07-18,72.84,80.08,65.91,26.67,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_05,2023-07-17,LAUR,5,NA,NA,2023-07-18,94.97,95.49,66.21,29.39,5_fair,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_06,2023-07-17,LAUR,6,NA,NA,2023-07-18,106.08,98.99,66.18,30.13,5_fair,polydora ,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_07,2023-07-17,LAUR,7,NA,NA,2023-07-18,149.5,100.89,78.61,34.54,5_fair,boring sponge & bruising,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_08,2023-07-17,LAUR,8,NA,NA,2023-07-18,100.92,78.81,73.94,28.06,7_poor_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_09,2023-07-17,LAUR,9,NA,NA,2023-07-18,232.96,122.05,90.25,36.05,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_10,2023-07-17,LAUR,10,NA,NA,2023-07-18,104.94,87.84,84.56,27.33,5_fair,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_11,2023-07-17,LAUR,11,NA,NA,2023-07-18,167.69,117.62,79.76,37.15,4_fair_plus,boring sponge. conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_12,2023-07-17,LAUR,12,NA,NA,2023-07-18,82.7,88.78,74.65,24.87,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_13,2023-07-17,LAUR,13,NA,NA,2023-07-18,62.12,78.86,63.94,24.3,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_14,2023-07-17,LAUR,14,NA,NA,2023-07-18,203.91,112.88,93.38,35.6,4_fair_plus,boring sponge,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_15,2023-07-17,LAUR,15,NA,NA,2023-07-18,129.75,89.37,83.08,29.69,5_fair,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_16,2023-07-17,LAUR,16,NA,NA,2023-07-18,122.26,91.14,79.73,30.4,6_fair_minus,conchiolin,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_17,2023-07-17,LAUR,17,NA,NA,2023-07-18,176.46,123.77,84.78,31.38,5_fair,boring sponge. mud blisters. conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_18,2023-07-17,LAUR,18,NA,NA,2023-07-18,143.56,114.3,82.44,27.65,6_fair_minus,mud blisters. conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_19,2023-07-17,LAUR,19,NA,NA,2023-07-18,152.13,100.59,84.95,33.3,5_fair,light conchiolin. mud blisters ,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_20,2023-07-17,LAUR,20,NA,NA,2023-07-18,39.81,67.21,46.9,23.54,7_poor_plus,conchiolin,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_21,2023-07-17,LAUR,21,NA,NA,2023-07-18,233.15,115.85,101.12,34.89,3_good_minus,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_22,2023-07-17,LAUR,22,NA,NA,2023-07-18,275.42,129.61,114.38,38.1,3_good_minus,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_23,2023-07-17,LAUR,23,NA,NA,2023-07-18,300.11,136.5,106.86,37.6,3_good_minus,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_24,2023-07-17,LAUR,24,NA,NA,2023-07-18,218.99,122.77,96.83,36.55,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
0723LAUR_25,2023-07-17,LAUR,25,NA,NA,2023-07-18,196.35,120.04,97.75,30.42,3_good_minus,,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-18,,,,,,,,,,,,,,
