lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
0823ASHC_01,8/7/2023,ASHC,1,upper,NA,8/7/2023,82.5,118.64,61.76,27.77,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_02,8/7/2023,ASHC,2,upper,NA,8/7/2023,78.58,132.76,49.27,23.32,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_03,8/7/2023,ASHC,3,upper,NA,8/7/2023,100.52,113.43,55.49,28.9,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_04,8/7/2023,ASHC,4,upper,NA,8/7/2023,95.58,104.3,64.06,21.56,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_05,8/7/2023,ASHC,5,upper,NA,8/7/2023,88.36,100.74,55.23,31.85,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_06,8/7/2023,ASHC,6,upper,NA,8/7/2023,83.61,121.49,53.63,21.25,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_07,8/7/2023,ASHC,7,upper,NA,8/7/2023,55.29,93.14,55.17,27.48,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_08,8/7/2023,ASHC,8,upper,NA,8/7/2023,88.8,135.45,56.33,20.38,4_fair_plus,pea crab,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_09,8/7/2023,ASHC,9,upper,NA,8/7/2023,42.62,80.31,51.67,18.74,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_10,8/7/2023,ASHC,10,upper,NA,8/7/2023,50.08,114.51,44.02,20.25,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_11,8/7/2023,ASHC,11,mid,NA,8/7/2023,123.17,114.7,64.75,33.93,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_12,8/7/2023,ASHC,12,mid,NA,8/7/2023,117.24,112.43,58.7,33.56,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_13,8/7/2023,ASHC,13,mid,NA,8/7/2023,149.72,118.52,57.29,37.86,4_fair_plus,Pea crab,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_14,8/7/2023,ASHC,14,mid,NA,8/7/2023,60.41,100.24,50.7,24.77,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_15,8/7/2023,ASHC,15,mid,NA,8/7/2023,92.68,118.98,54.4,22.23,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_16,8/7/2023,ASHC,16,mid,NA,8/7/2023,99.39,120.29,61.6,24.14,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_17,8/7/2023,ASHC,17,mid,NA,8/7/2023,134.1,130.88,62.97,37.57,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
0823ASHC_18,8/7/2023,ASHC,18,mid,NA,8/7/2023,110.09,108.43,55.23,33.58,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/7/2023,8/8/2023
