lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
0823FENC_01,8/9/2023,FENC,1,upper,oceanside_sun,8/10/2023,82.46,106.2,61.35,27.68,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/10/2023,
0823FENC_02,8/9/2023,FENC,2,upper,oceanside_sun,8/10/2023,81.1,114,56.84,23.21,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/10/2023,
0823FENC_03,8/9/2023,FENC,3,upper,oceanside_sun,8/10/2023,84.22,115.35,52.98,21.54,7_poor_plus,conchiolin. mud blisters,TRUE,TRUE,TRUE,FALSE,TRUE,8/10/2023,
0823FENC_04,8/9/2023,FENC,4,upper,oceanside_sun,8/10/2023,71.09,119.05,46.03,23.09,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/10/2023,
0823FENC_05,8/9/2023,FENC,5,upper,oceanside_sun,8/10/2023,92.61,114.37,56.59,25.92,2_good,,TRUE,TRUE,TRUE,FALSE,TRUE,8/10/2023,
0823FENC_06,8/9/2023,FENC,6,lower,oceanside_sun,8/10/2023,62.08,69.54,66.99,28.1,4_fair_plus,big pea crab,TRUE,TRUE,TRUE,FALSE,TRUE,8/10/2023,
0823FENC_07,8/9/2023,FENC,7,lower,oceanside_sun,8/10/2023,197.2,137.44,67.45,38.47,3_good_minus,"conchiolin, big mud blisters",TRUE,TRUE,TRUE,FALSE,TRUE,8/10/2023,
0823FENC_08,8/9/2023,FENC,8,lower,oceanside_sun,8/10/2023,92.61,117.69,57.74,26.78,6_fair_minus,conchiolin and mud blisters,TRUE,TRUE,TRUE,FALSE,TRUE,8/10/2023,
0823FENC_09,8/9/2023,FENC,9,lower,oceanside_sun,8/10/2023,94.07,111.22,68.51,23.88,3_good_minus,mud blisters,TRUE,TRUE,TRUE,FALSE,TRUE,8/10/2023,
0823FENC_10,8/9/2023,FENC,10,lower,oceanside_sun,8/10/2023,72.75,108.59,61.93,23.73,4_fair_plus,conchiolin and mud blisters ,TRUE,TRUE,TRUE,FALSE,TRUE,8/10/2023,
