lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
0823LAUR_01,8/14/2023,LAUR,1,NA,NA,8/15/2023,181.57,105.64,91.98,33.63,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_02,8/14/2023,LAUR,2,NA,NA,8/15/2023,254.06,110.87,99.19,41.86,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_03,8/14/2023,LAUR,3,NA,NA,8/15/2023,227.81,130.37,108.69,32.95,5_fair,stabbed when shucked ,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_04,8/14/2023,LAUR,4,NA,NA,8/15/2023,197.97,114.07,106.07,33.38,6_fair_minus,Low quality histology section,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_05,8/14/2023,LAUR,5,NA,NA,8/15/2023,223.37,124.16,105.45,34.45,7_poor_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_06,8/14/2023,LAUR,6,NA,NA,8/15/2023,175.66,106.72,87.23,34.75,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_07,8/14/2023,LAUR,7,NA,NA,8/15/2023,121.67,102.17,95.95,40.07,4_fair_plus,stabbed when shucked ,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_08,8/14/2023,LAUR,8,NA,NA,8/15/2023,184.67,114.97,96.81,31.92,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_09,8/14/2023,LAUR,9,NA,NA,8/15/2023,192.15,115.3,90.73,35.36,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_10,8/14/2023,LAUR,10,NA,NA,8/15/2023,194.18,110.22,99.24,36.82,5_fair,"stabbed, boring sponge , poor quality histology",TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_11,8/14/2023,LAUR,11,NA,NA,8/15/2023,129.36,113.11,75.39,32.19,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_12,8/14/2023,LAUR,12,NA,NA,8/15/2023,196.68,121.56,74.94,35.63,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_13,8/14/2023,LAUR,13,NA,NA,8/15/2023,198.12,116.87,83.03,32.67,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_14,8/14/2023,LAUR,14,NA,NA,8/15/2023,137.22,100,84.79,34.54,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_15,8/14/2023,LAUR,15,NA,NA,8/15/2023,140.61,94.49,75.21,29.54,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_16,8/14/2023,LAUR,16,NA,NA,8/15/2023,195.86,121.99,87.31,28.96,7_poor_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_17,8/14/2023,LAUR,17,NA,NA,8/15/2023,189.27,119.33,86.38,38.54,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_18,8/14/2023,LAUR,18,NA,NA,8/15/2023,153.44,115.63,96.75,35.04,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_19,8/14/2023,LAUR,19,NA,NA,8/15/2023,202.93,114.36,104.27,30.72,4_fair_plus,No histology due to poor condition of tissue ,TRUE,TRUE,TRUE,FALSE,FALSE,8/15/2023,
0823LAUR_20,8/14/2023,LAUR,20,NA,NA,8/15/2023,102.87,108.08,99.89,35.8,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_21,8/14/2023,LAUR,21,NA,NA,8/15/2023,112.78,97.38,68.86,27.5,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_22,8/14/2023,LAUR,22,NA,NA,8/15/2023,220.42,95.71,68.2,30.89,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_23,8/14/2023,LAUR,23,NA,NA,8/15/2023,128.17,114.55,98.42,37.64,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_24,8/14/2023,LAUR,24,NA,NA,8/15/2023,210.06,97.23,62.96,34.67,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_25,8/14/2023,LAUR,25,NA,NA,8/15/2023,108.7,131.73,104.68,33.95,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823LAUR_26,8/14/2023,LAUR,26,NA,NA,8/15/2023,186.09,104.61,74.45,26.9,6_fair_minus,poor quality histology,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
