lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh,,,,,,,,,,,,,
0923ASHC_01,2023-09-05,ASHC,1,upper,NA,2023-09-05,91.87,94.37,62.44,26.19,5_fair,stabbed,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_02,2023-09-05,ASHC,2,upper,NA,2023-09-05,98.63,96.62,72.52,25.42,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_03,2023-09-05,ASHC,3,upper,NA,2023-09-05,67.57,84.75,62.48,21.74,3_good_minus,poor histology quality ,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_04,2023-09-05,ASHC,4,upper,NA,2023-09-05,169.11,97.24,76.14,36.54,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_05,2023-09-05,ASHC,5,upper,NA,2023-09-05,97.6,87.07,64.74,28.64,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_06,2023-09-05,ASHC,6,upper,NA,2023-09-05,100.44,98.82,62.22,27,2_good,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_07,2023-09-05,ASHC,7,upper,NA,2023-09-05,98.62,100.43,63.64,27.74,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_08,2023-09-05,ASHC,8,upper,NA,2023-09-05,73.43,83.41,62.98,25.07,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_09,2023-09-05,ASHC,9,upper,NA,2023-09-05,73.23,86.86,55.12,23.59,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_10,2023-09-05,ASHC,10,upper,NA,2023-09-05,123.5,112.93,64.45,30.62,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_11,2023-09-05,ASHC,11,mid,NA,2023-09-05,78.81,99.6,61.89,28.36,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_12,2023-09-05,ASHC,12,mid,NA,2023-09-05,59.48,71.88,62.46,23.85,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_13,2023-09-05,ASHC,13,mid,NA,2023-09-05,102.69,115.83,61.6,27.06,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_14,2023-09-05,ASHC,14,mid,NA,2023-09-05,50.74,96.08,49.43,20,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_15,2023-09-05,ASHC,15,mid,NA,2023-09-05,54.13,98.66,44.98,25.39,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_16,2023-09-05,ASHC,16,mid,NA,2023-09-05,71.5,96.78,54.13,20.03,3_good_minus,pea crab ,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_17,2023-09-05,ASHC,17,mid,NA,2023-09-05,55.61,98.52,53.74,19.65,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_18,2023-09-05,ASHC,18,mid,NA,2023-09-05,53.82,112.27,45.84,21.93,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_19,2023-09-05,ASHC,19,mid,NA,2023-09-05,66.66,102.53,51.96,28.39,4_fair_plus,poor histology quality ,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_20,2023-09-05,ASHC,20,mid,NA,2023-09-05,65.22,106.69,51.31,23.43,5_fair,poor histology quality ,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_21,2023-09-05,ASHC,21,lower,NA,2023-09-05,62.73,84.11,56.19,32.01,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_22,2023-09-05,ASHC,22,lower,NA,2023-09-05,73.98,114.92,63.16,23.97,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_23,2023-09-05,ASHC,23,lower,NA,2023-09-05,61.36,115.32,55.28,26.08,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_24,2023-09-05,ASHC,24,lower,NA,2023-09-05,51.29,108.29,41.67,21.78,4_fair_plus,pea crab,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_25,2023-09-05,ASHC,25,lower,NA,2023-09-05,73.24,84.82,55.08,25.91,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_26,2023-09-05,ASHC,26,lower,NA,2023-09-05,54.65,83.37,47.31,22.89,3_good_minus,no histology ,TRUE,TRUE,TRUE,FALSE,FALSE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_27,2023-09-05,ASHC,27,lower,NA,2023-09-05,72.23,89.09,50.61,27.2,5_fair,"pea crab, no histology ",TRUE,TRUE,TRUE,FALSE,FALSE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_28,2023-09-05,ASHC,28,lower,NA,2023-09-05,101.18,112.69,59.76,22.98,4_fair_plus,poor histology quality ,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_29,2023-09-05,ASHC,29,lower,NA,2023-09-05,90.07,113.39,59.95,23.1,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
0923ASHC_30,2023-09-05,ASHC,30,lower,NA,2023-09-05,101.28,98.95,52.56,27.76,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-05,2023-09-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,                                                                                                                     ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
