lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh,,,,,,,,,,,,,
0923FENC_01,2023-09-06,FENC,1,upper,oceanside_sun,2023-09-06,52.14,102.59,42.37,16.43,3_good_minus,IM,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_02,2023-09-06,FENC,2,upper,oceanside_sun,2023-09-06,79.67,92.69,45.53,21.63,5_fair,gb,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_03,2023-09-06,FENC,3,upper,oceanside_sun,2023-09-06,44.79,95.38,42.33,13.72,3_good_minus,"MK, Pea crab , conchiolin, ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_04,2023-09-06,FENC,4,upper,oceanside_sun,2023-09-06,43.16,103.24,41.63,18.36,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_05,2023-09-06,FENC,5,upper,oceanside_sun,2023-09-06,119.57,135.93,52.19,30.86,3_good_minus,gb,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_06,2023-09-06,FENC,6,lower,oceanside_sun,2023-09-06,188.29,140.33,82.12,31.93,4_fair_plus,"mk,mud blisters  conchiolin ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_07,2023-09-06,FENC,7,lower,oceanside_sun,2023-09-06,86.59,135.38,49.25,20.25,4_fair_plus,"mk, conchiolin,  Pea crab, mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_08,2023-09-06,FENC,8,lower,oceanside_sun,2023-09-06,170.4,143.16,64.15,33.69,5_fair,"IM , conchiolin, mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_09,2023-09-06,FENC,9,lower,oceanside_sun,2023-09-06,174.62,142.1,61.42,28.37,4_fair_plus,gb,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_10,2023-09-06,FENC,10,lower,oceanside_sun,2023-09-06,123.98,136.65,56.76,26.65,4_fair_plus,"MK, Conchiolin,  mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_11,2023-09-06,FENC,11,upper,under_bridge,2023-09-06,115.31,124.82,51.2,26.73,6_fair_minus,gb,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_12,2023-09-06,FENC,12,upper,under_bridge,2023-09-06,54.11,80.29,48.87,23.8,4_fair_plus,"MK, Conchiolin,  ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_13,2023-09-06,FENC,13,upper,under_bridge,2023-09-06,58.83,88.56,48.95,22.44,3_good_minus,IM,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_14,2023-09-06,FENC,14,upper,under_bridge,2023-09-06,47.83,94.07,47.06,17.95,6_fair_minus,"MK, Conchiolin ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_15,2023-09-06,FENC,15,upper,under_bridge,2023-09-06,36.25,86.59,48.3,15.28,6_fair_minus,gb,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_16,2023-09-06,FENC,16,lower,under_bridge,2023-09-06,106.4,118.1,51.39,32.3,5_fair,IM peacrab ,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_17,2023-09-06,FENC,17,lower,under_bridge,2023-09-06,86.39,125.64,52.8,22.9,5_fair,gb,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_18,2023-09-06,FENC,18,lower,under_bridge,2023-09-06,90.48,110.14,46.97,25.7,3_good_minus,"MK, CONCHIOLIN ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_19,2023-09-06,FENC,19,lower,under_bridge,2023-09-06,48.67,92.98,49.73,23.4,5_fair,"MK, conchiolin ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_20,2023-09-06,FENC,20,lower,under_bridge,2023-09-06,84.34,120.82,43.37,24.11,4_fair_plus,gb.,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_21,2023-09-06,FENC,21,upper,lease_sun,2023-09-06,119.26,131.15,55.28,23.93,4_fair_plus,GB,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_22,2023-09-06,FENC,22,upper,lease_sun,2023-09-06,73.97,125.96,43.92,20.95,3_good_minus,"MK, pea crab",TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
0923FENC_23,2023-09-06,FENC,23,upper,lease_sun,2023-09-06,67.38,121.7,50.33,17.29,5_fair,GB,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-06,2023-09-07,,,,,,,,,,,,,
