lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
1023LAUR_01,10/17/2023,LAUR,1,NA,NA,10/18/2023,158.82,108.53,85.99,33.08,5_fair,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_02,10/17/2023,LAUR,2,NA,NA,10/18/2023,251.66,114.85,93.42,37.27,4_fair_plus,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_03,10/17/2023,LAUR,3,NA,NA,10/18/2023,169,107.98,80.69,28.88,3_good_minus,conchiolin and mud blister; poor histology sample ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_04,10/17/2023,LAUR,4,NA,NA,10/18/2023,159.97,103.22,86.94,36.28,3_good_minus,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_05,10/17/2023,LAUR,5,NA,NA,10/18/2023,149.24,117.79,68.52,32.83,3_good_minus,conchiolin and mud blister and boring sponges ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_06,10/17/2023,LAUR,6,NA,NA,10/18/2023,152.6,112.92,75.94,31.88,5_fair,conchiolin and mud blister and boring sponges ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_07,10/17/2023,LAUR,7,NA,NA,10/18/2023,142.18,103.29,82.62,34.75,3_good_minus,conchiolin and mud blister and boring sponges and pea crab,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_08,10/17/2023,LAUR,8,NA,NA,10/18/2023,211.11,113.37,84.76,35.05,4_fair_plus,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_09,10/17/2023,LAUR,9,NA,NA,10/18/2023,173.09,98.52,89.46,35.19,4_fair_plus,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_10,10/17/2023,LAUR,10,NA,NA,10/18/2023,210.29,134.29,78.76,36.18,4_fair_plus,conchiolin and mud blister and boring sponges and pea crab,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_11,10/17/2023,LAUR,11,NA,NA,10/18/2023,242.95,119.4,85.23,37.89,4_fair_plus,conchiolin and mud blister and boring sponges ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_12,10/17/2023,LAUR,12,NA,NA,10/18/2023,191.84,110.8,86.07,31.11,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_13,10/17/2023,LAUR,13,NA,NA,10/18/2023,201.61,113.39,85.78,35.3,4_fair_plus,conchiolin and boring sponges ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_14,10/17/2023,LAUR,14,NA,NA,10/18/2023,199.04,116.57,100.64,32.8,5_fair,conchiolin and boring sponges ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_15,10/17/2023,LAUR,15,NA,NA,10/18/2023,239.2,121.61,91.19,37.69,5_fair,conchiolin and boring sponges ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_16,10/17/2023,LAUR,16,NA,NA,10/18/2023,225.2,105.01,99.24,39.95,3_good_minus,poor histology sample,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_17,10/17/2023,LAUR,17,NA,NA,10/18/2023,156.37,95.87,79.16,32.18,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_18,10/17/2023,LAUR,18,NA,NA,10/18/2023,152.56,105.78,69.28,32.92,5_fair,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_19,10/17/2023,LAUR,19,NA,NA,10/18/2023,197.67,115.58,89.79,35.41,7_poor_plus,conchiolin; spherical soft tissue mass embedded in mantle - was excised and preserved in histology cassette with cross-section,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_20,10/17/2023,LAUR,20,NA,NA,10/18/2023,228.05,106.33,93.01,34.76,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_21,10/17/2023,LAUR,21,NA,NA,10/18/2023,401.63,150.79,112.78,41.87,4_fair_plus,conchiolin and mud blister and boring sponges ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_22,10/17/2023,LAUR,22,NA,NA,10/18/2023,188.14,110.1,85,31.85,4_fair_plus,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_23,10/17/2023,LAUR,23,NA,NA,10/18/2023,190.34,104.22,74.79,35.02,5_fair,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_24,10/17/2023,LAUR,24,NA,NA,10/18/2023,180.36,108.92,80.69,35.5,3_good_minus,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_25,10/17/2023,LAUR,25,NA,NA,10/18/2023,259.98,126.35,91.21,39.6,4_fair_plus,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_26,10/17/2023,LAUR,26,NA,NA,10/18/2023,218.62,116,96.79,35.47,5_fair,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_27,10/17/2023,LAUR,27,NA,NA,10/18/2023,262.82,116.92,99.09,38.22,4_fair_plus,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_28,10/17/2023,LAUR,28,NA,NA,10/18/2023,268.61,130.83,103.78,35.69,3_good_minus,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_29,10/17/2023,LAUR,29,NA,NA,10/18/2023,271.91,124.28,99.01,38.86,4_fair_plus,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
1023LAUR_30,10/17/2023,LAUR,30,NA,NA,10/18/2023,210.26,119.49,90.9,32.1,4_fair_plus,conchiolin and mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,10/18/2023,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,                                                                                                                     ,,,,,,,,,,,,,
