lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
1123FENC_01,11/8/2023,FENC,1,upper,oceanside_sun,11/8/2023,82.76,121.56,60.27,22.95,5_fair,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_02,11/8/2023,FENC,2,upper,oceanside_sun,11/8/2023,69,131.34,48.17,20.28,6_fair_minus,"conchiolin,  mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_03,11/8/2023,FENC,3,upper,oceanside_sun,11/8/2023,68.19,121.77,49.81,20.7,4_fair_plus,"peacrab,  conchiolin,  mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_04,11/8/2023,FENC,4,upper,oceanside_sun,11/8/2023,68.51,113.46,55.23,20.15,5_fair,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_05,11/8/2023,FENC,5,upper,oceanside_sun,11/8/2023,105.54,107.94,57.43,26.84,4_fair_plus,"conchiolin, mud ",TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_06,11/8/2023,FENC,6,lower,oceanside_sun,11/8/2023,55.87,112.3,48.81,17.52,4_fair_plus,"peacrab,  mud blisters, conchiolin ",TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_07,11/8/2023,FENC,7,lower,oceanside_sun,11/8/2023,147.36,134.35,62.71,36.39,3_good_minus,"peacrab,  mud blister,  conchiolin ",TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_08,11/8/2023,FENC,8,lower,oceanside_sun,11/8/2023,63.55,96.43,51.03,21.36,4_fair_plus,"conchiolin,  mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_09,11/8/2023,FENC,9,lower,oceanside_sun,11/8/2023,123.64,123.8,58.05,30.85,3_good_minus,"conchiolin,  mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_10,11/8/2023,FENC,10,lower,oceanside_sun,11/8/2023,108.39,120.75,53.4,25.05,3_good_minus,"peacrab,  conchiolin,  mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_11,11/8/2023,FENC,11,upper,under_bridge,11/8/2023,56.88,80.43,46.33,22.26,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_12,11/8/2023,FENC,12,upper,under_bridge,11/8/2023,47.53,102.28,48.27,17.76,4_fair_plus,conchiolin mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_13,11/8/2023,FENC,13,upper,under_bridge,11/8/2023,44.84,98.81,43.84,17.92,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_14,11/8/2023,FENC,14,upper,under_bridge,11/8/2023,43.43,87.3,41.44,29.22,5_fair,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_15,11/8/2023,FENC,15,upper,under_bridge,11/8/2023,85.8,87.65,65.55,28.01,3_good_minus,conchiolin mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_16,11/8/2023,FENC,16,lower,under_bridge,11/8/2023,40.49,93.71,43.14,19.99,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_17,11/8/2023,FENC,17,lower,under_bridge,11/8/2023,74.48,78.98,61.84,34.73,4_fair_plus,conchiolin mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_18,11/8/2023,FENC,18,lower,under_bridge,11/8/2023,57.29,105.43,44.82,18.65,5_fair,mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_19,11/8/2023,FENC,19,lower,under_bridge,11/8/2023,79.84,85.4,53.93,30.76,4_fair_plus,pea crab mud blister ,TRUE,TRUE,TRUE,FALSE,TRUE,11/8/2023,11/10/2023
1123FENC_20,11/8/2023,FENC,20,lower,under_bridge,11/8/2023,30.8,86.66,43.25,12.42,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,11/9/2023,11/10/2023
1123FENC_21,11/8/2023,FENC,21,upper,lease_sun,11/9/2023,66.81,109.74,45.45,25.16,5_fair,pea crab,TRUE,TRUE,TRUE,FALSE,TRUE,11/9/2023,11/10/2023
1123FENC_22,11/8/2023,FENC,22,upper,lease_sun,11/9/2023,130.41,140.98,64.39,25.14,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/9/2023,11/10/2023
1123FENC_23,11/8/2023,FENC,23,upper,lease_sun,11/9/2023,52.46,114.2,46.63,22.02,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/9/2023,11/10/2023
1123FENC_24,11/8/2023,FENC,24,upper,lease_sun,11/9/2023,59.69,125.07,46.36,19.68,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/9/2023,11/10/2023
1123FENC_25,11/8/2023,FENC,25,upper,lease_sun,11/9/2023,49.95,108.8,44.02,18.84,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/9/2023,11/10/2023
1123FENC_26,11/8/2023,FENC,26,lower,lease_sun,11/9/2023,65.8,116.87,48.03,20.56,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/9/2023,11/10/2023
1123FENC_27,11/8/2023,FENC,27,lower,lease_sun,11/9/2023,127.37,140.47,68.81,23.16,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/9/2023,11/10/2023
1123FENC_28,11/8/2023,FENC,28,lower,lease_sun,11/9/2023,186.8,162.62,71.65,29.03,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/9/2023,11/10/2023
1123FENC_29,11/8/2023,FENC,29,lower,lease_sun,11/9/2023,104.35,110.79,57.87,28.12,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/9/2023,11/10/2023
1123FENC_30,11/8/2023,FENC,30,lower,lease_sun,11/9/2023,76.23,148.19,47.81,15.31,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,11/9/2023,11/10/2023
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,                                                                                                                     ,,,,,,,,,,,,,
