lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
1123ASHC_01,11/6/2023,ASHC,1,upper,NA,11/6/2023,79.09,122.41,48.1,21.25,3_good_minus,,TRUE,TRUE,TRUE,TRUE,TRUE,11/6/2023,11/7/2023
1123ASHC_02,11/6/2023,ASHC,2,upper,NA,11/6/2023,71.51,125.22,337.7,19.82,2_good,,TRUE,TRUE,TRUE,TRUE,TRUE,11/6/2023,11/7/2023
1123ASHC_03,11/6/2023,ASHC,3,upper,NA,11/6/2023,90.85,115.63,60.52,18.17,2_good,,TRUE,TRUE,TRUE,TRUE,TRUE,11/6/2023,11/7/2023
1123ASHC_04,11/6/2023,ASHC,4,upper,NA,11/6/2023,83.85,120.51,55.76,21.84,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,11/6/2023,11/7/2023
1123ASHC_05,11/6/2023,ASHC,5,upper,NA,11/6/2023,38.59,89.3,46.71,12.37,5_fair,,TRUE,TRUE,TRUE,TRUE,TRUE,11/6/2023,11/7/2023
1123ASHC_06,11/6/2023,ASHC,6,upper,NA,11/6/2023,47.5,84.94,48.97,14.97,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,11/6/2023,11/7/2023
1123ASHC_07,11/6/2023,ASHC,7,upper,NA,11/6/2023,79.33,108.14,52.52,22.2,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,11/6/2023,11/7/2023
1123ASHC_08,11/6/2023,ASHC,8,upper,NA,11/6/2023,77.25,111.03,45.88,23.79,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,11/6/2023,11/7/2023
1123ASHC_09,11/6/2023,ASHC,9,upper,NA,11/6/2023,49.29,104.12,43.89,14.35,5_fair,,TRUE,TRUE,TRUE,TRUE,TRUE,11/6/2023,11/7/2023
1123ASHC_10,11/6/2023,ASHC,10,upper,NA,11/6/2023,53.32,115.38,44.58,18.06,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,11/6/2023,11/7/2023
