"Date_Site","Sample_count","Boring_sponge","Polydora","Conchiolin","Mud_blister","Pea_crab","Gill_erosion","Pale_digestive","Discoloration","Horn","Cyst","Tumor","Oyster_drill","Boring_snail","Shell_scarring","Pathogen_count"
"0324ASHC",30,1,15,27,23,8,0,0,0,4,2,0,NA,NA,NA,80
"0324FENC",30,0,24,30,27,4,0,0,0,4,7,0,NA,NA,NA,96
"0423ASHC",30,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0
"0423FENC",30,0,9,1,13,6,0,NA,NA,0,0,NA,NA,NA,0,29
"0424ASHC",30,0,11,29,24,7,2,0,0,0,4,1,NA,NA,NA,78
"0424FENC",30,0,19,30,26,2,0,0,0,1,6,0,NA,NA,NA,84
"0424GOLD",30,2,7,28,22,10,1,0,0,0,2,0,5,NA,NA,77
"0523ASHC",30,1,0,0,7,0,0,NA,NA,0,0,NA,NA,NA,0,8
"0523FENC",30,1,0,0,30,6,0,NA,NA,0,0,NA,NA,NA,0,37
"0523GOLD",30,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,2,2
"0523LAUR",30,11,0,16,2,0,0,NA,NA,0,0,NA,NA,NA,0,29
"0524ASHC",30,0,14,29,26,6,1,0,0,1,2,0,0,NA,NA,79
"0524FENC",30,0,26,26,26,9,0,0,0,5,1,0,NA,NA,NA,93
"0524GOLD",15,0,6,14,9,0,0,0,0,0,1,0,NA,NA,NA,30
"0524STAR",30,1,6,30,22,2,0,0,0,0,0,0,NA,0,NA,61
"0623ASHC",30,21,1,0,28,5,0,NA,NA,0,0,NA,NA,NA,2,57
"0623FENC",30,1,3,27,19,5,0,NA,NA,0,0,NA,NA,NA,0,55
"0623GOLD",30,0,0,26,1,1,0,NA,NA,0,0,NA,NA,NA,0,28
"0623LAUR",30,5,1,22,4,1,0,NA,NA,0,0,NA,NA,NA,0,33
"0723ASHC",30,0,3,1,2,2,0,NA,NA,4,0,NA,NA,NA,1,13
"0723FENC",30,1,29,30,30,4,0,NA,NA,0,0,NA,NA,NA,11,105
"0723GOLD",30,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0
"0723LAUR",28,5,1,8,3,0,0,NA,NA,0,0,NA,NA,NA,0,17
"0823ASHC",30,0,0,0,0,4,0,NA,NA,0,0,NA,NA,NA,0,4
"0823FENC",30,0,0,11,7,4,0,NA,NA,0,0,NA,NA,NA,0,22
"0823GOLD",30,0,0,1,1,0,0,NA,NA,0,0,NA,NA,NA,0,2
"0823LAUR",30,1,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,1
"0923ASHC",30,0,0,0,0,3,0,NA,NA,0,0,NA,NA,NA,0,3
"0923FENC",30,0,0,8,4,5,0,NA,NA,0,0,NA,NA,NA,0,17
"0923GOLD",30,0,0,0,6,1,0,NA,NA,0,0,NA,NA,NA,0,7
"0923LAUR",30,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0
"1023ASHC",30,1,0,30,27,2,0,NA,NA,0,0,NA,NA,NA,0,60
"1023FENC",30,0,0,27,27,5,1,NA,NA,0,1,NA,NA,NA,0,61
"1023GOLD",30,0,1,11,0,1,0,NA,NA,0,0,NA,NA,NA,0,13
"1023LAUR",30,9,0,29,20,2,0,NA,NA,0,0,NA,NA,NA,0,60
"1123ASHC",30,0,0,7,8,5,0,NA,NA,0,0,NA,NA,NA,0,20
"1123FENC",30,0,0,23,13,6,0,NA,NA,0,0,NA,NA,NA,0,42
