lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,,,,,,,,,,,
0424FENC_01,4/2/2024,FENC,1,4/2/2024,77.72,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/2/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_02,4/2/2024,FENC,2,4/2/2024,75.2,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/2/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_03,4/2/2024,FENC,3,4/2/2024,74.1,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/2/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_04,4/2/2024,FENC,4,4/2/2024,100.18,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/2/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_05,4/2/2024,FENC,5,4/2/2024,71.77,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/2/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_06,4/2/2024,FENC,6,4/2/2024,111.02,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/2/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_07,4/2/2024,FENC,7,4/2/2024,105.68,3_good_minus,,TRUE,TRUE,TRUE,TRUE,4/2/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_08,4/2/2024,FENC,8,4/2/2024,90.85,5_fair,,TRUE,TRUE,TRUE,TRUE,4/2/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_09,4/2/2024,FENC,9,4/2/2024,84.09,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/2/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_10,4/2/2024,FENC,10,4/2/2024,90.47,5_fair,,TRUE,TRUE,TRUE,TRUE,4/2/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_11,4/2/2024,FENC,11,4/3/2024,80.95,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_12,4/2/2024,FENC,12,4/3/2024,91.65,3_good_minus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,  ,,,,,,,,,,
0424FENC_13,4/2/2024,FENC,13,4/3/2024,82.45,3_good_minus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_14,4/2/2024,FENC,14,4/3/2024,77.74,5_fair,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_15,4/2/2024,FENC,15,4/3/2024,115.51,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_16,4/2/2024,FENC,16,4/3/2024,90.47,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_17,4/2/2024,FENC,17,4/3/2024,98.74,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_18,4/2/2024,FENC,18,4/3/2024,82.41,5_fair,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_19,4/2/2024,FENC,19,4/3/2024,92.09,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_20,4/2/2024,FENC,20,4/3/2024,89.98,3_good_minus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_21,4/2/2024,FENC,21,4/3/2024,90.12,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_22,4/2/2024,FENC,22,4/3/2024,105.08,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_23,4/2/2024,FENC,23,4/3/2024,116.9,3_good_minus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_24,4/2/2024,FENC,24,4/3/2024,102.25,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_25,4/2/2024,FENC,25,4/3/2024,117.99,5_fair,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_26,4/2/2024,FENC,26,4/3/2024,101.17,3_good_minus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_27,4/2/2024,FENC,27,4/3/2024,91.68,5_fair,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_28,4/2/2024,FENC,28,4/3/2024,100.27,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_29,4/2/2024,FENC,29,4/3/2024,87.55,5_fair,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
0424FENC_30,4/2/2024,FENC,30,4/3/2024,116.35,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,4/3/2024,4/4/2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,                                                                                                                     ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
