lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,
0524STAR_01,5/23/2024,STAR,1,5/23/2024,104.5,5_fair,The RFTM was very light pink so we had to borrow RFTM ,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_02,5/23/2024,STAR,2,5/23/2024,113,2_good,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_03,5/23/2024,STAR,3,5/23/2024,114.25,3_good_minus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_04,5/23/2024,STAR,4,5/23/2024,121.06,5_fair,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_05,5/23/2024,STAR,5,5/23/2024,124.65,5_fair,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_06,5/23/2024,STAR,6,5/23/2024,157.18,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_07,5/23/2024,STAR,7,5/23/2024,106.42,7_poor_plus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_08,5/23/2024,STAR,8,5/23/2024,84.35,7_poor_plus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_09,5/23/2024,STAR,9,5/23/2024,148.63,3_good_minus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_10,5/23/2024,STAR,10,5/23/2024,114.85,5_fair,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_11,5/23/2024,STAR,11,5/23/2024,120.76,5_fair,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_12,5/23/2024,STAR,12,5/23/2024,127.64,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,  
0524STAR_13,5/23/2024,STAR,13,5/23/2024,114.36,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_14,5/23/2024,STAR,14,5/23/2024,99.7,5_fair,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_15,5/23/2024,STAR,15,5/23/2024,134.29,3_good_minus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_16,5/23/2024,STAR,16,5/23/2024,87.15,7_poor_plus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_17,5/23/2024,STAR,17,5/23/2024,99.71,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_18,5/23/2024,STAR,18,5/23/2024,82.22,7_poor_plus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_19,5/23/2024,STAR,19,5/23/2024,83.79,5_fair,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_20,5/23/2024,STAR,20,5/23/2024,124.25,3_good_minus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_21,5/23/2024,STAR,21,5/23/2024,89.14,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_22,5/23/2024,STAR,22,5/23/2024,80.58,5_fair,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_23,5/23/2024,STAR,23,5/23/2024,87.69,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_24,5/23/2024,STAR,24,5/23/2024,114.21,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_25,5/23/2024,STAR,25,5/23/2024,112.11,5_fair,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_26,5/23/2024,STAR,26,5/23/2024,106.57,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_27,5/23/2024,STAR,27,5/23/2024,107.76,5_fair,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_28,5/23/2024,STAR,28,5/23/2024,104.81,5_fair,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_29,5/23/2024,STAR,29,5/23/2024,119.95,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
0524STAR_30,5/23/2024,STAR,30,5/23/2024,86.23,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,5/23/2024,5/25/2024,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,                                                                                                                     ,,,,,,,,,,,,
