lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,,,,,,,,,,,
0624FENC_01,6/12/2024,FENC,1,6/12/2024,100.52,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_02,6/12/2024,FENC,2,6/12/2024,113.39,2_good,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_03,6/12/2024,FENC,3,6/12/2024,95.1,1_very_good,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_04,6/12/2024,FENC,4,6/12/2024,107.98,1_very_good,Mantle was removed from cross-section and placed within cassette,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_05,6/12/2024,FENC,5,6/12/2024,114.58,2_good,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_06,6/12/2024,FENC,6,6/12/2024,90.84,1_very_good,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_07,6/12/2024,FENC,7,6/12/2024,106.04,1_very_good,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_08,6/12/2024,FENC,8,6/12/2024,111.22,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_09,6/12/2024,FENC,9,6/12/2024,92.37,1_very_good,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_10,6/12/2024,FENC,10,6/12/2024,106.17,2_good,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_11,6/12/2024,FENC,11,6/12/2024,89.76,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_12,6/12/2024,FENC,12,6/12/2024,100.89,1_very_good,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,  ,,,,,,,,,,
0624FENC_13,6/12/2024,FENC,13,6/12/2024,107.26,2_good,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_14,6/12/2024,FENC,14,6/12/2024,101.92,1_very_good,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
0624FENC_15,6/12/2024,FENC,15,6/12/2024,93.21,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,6/12/2024,6/13/2024,,,,,,,,,,,,,
