lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh,,,,,,,,,,,,,
0723ASHC_01,2023-07-10,ASHC,1,upper,NA,2023-07-10,69.25,103.58,57.79,23.38,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-10,2023-07-12,,,,,,,,,,,,,
0723ASHC_02,2023-07-10,ASHC,2,upper,NA,2023-07-10,42.51,97.04,47.3,15.24,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-10,2023-07-12,,,,,,,,,,,,,
0723ASHC_03,2023-07-10,ASHC,3,upper,NA,2023-07-10,80.37,101.25,55.3,26.04,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-10,2023-07-12,,,,,,,,,,,,,
0723ASHC_04,2023-07-10,ASHC,4,upper,NA,2023-07-10,45.33,89.83,52,14.84,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-10,2023-07-12,,,,,,,,,,,,,
0723ASHC_05,2023-07-10,ASHC,5,upper,NA,2023-07-10,64.26,116.53,50.9,18.53,2_good,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-10,2023-07-12,,,,,,,,,,,,,
0723ASHC_06,2023-07-10,ASHC,6,upper,NA,2023-07-10,61.15,114.13,44.32,21.18,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-10,2023-07-12,,,,,,,,,,,,,
0723ASHC_07,2023-07-10,ASHC,7,upper,NA,2023-07-10,38.38,95.63,42.21,13.63,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-10,2023-07-12,,,,,,,,,,,,,
0723ASHC_08,2023-07-10,ASHC,8,upper,NA,2023-07-10,44.28,101.85,47.8,12.45,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-10,2023-07-12,,,,,,,,,,,,,
0723ASHC_09,2023-07-10,ASHC,9,upper,NA,2023-07-10,70.69,128.57,53.39,22.26,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-10,2023-07-12,,,,,,,,,,,,,
0723ASHC_10,2023-07-10,ASHC,10,upper,NA,2023-07-10,128.38,125.45,69.07,22.62,8_poor,Bcs = 8. ,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-10,2023-07-12,,,,,,,,,,,,,
0723ASHC_11,2023-07-10,ASHC,11,mid,NA,2023-07-11,101.93,89.82,65.56,28.74,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-11,2023-07-12,,,,,,,,,,,,,
0723ASHC_12,2023-07-10,ASHC,12,mid,NA,2023-07-11,95.15,105.03,64.58,24.09,3_good_minus,Friable tissue. specimen split while cutting for histology. put tissues in cassette but not in desired configuration ,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-12,2023-07-12,,,,,,,,,,,,,
