lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh,,,,,,,,,,,,,
0723FENC_01,2023-07-12,FENC,1,upper,oceanside_sun,2023-07-13,74.18,102.79,65.09,26.41,4_fair_plus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_02,2023-07-12,FENC,2,upper,oceanside_sun,2023-07-13,67.24,102.13,47.07,21.96,2_good,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_03,2023-07-12,FENC,3,upper,oceanside_sun,2023-07-13,112.28,123.3,55.85,33.08,6_fair_minus,"Oceanside; pea crab: conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_04,2023-07-12,FENC,4,upper,oceanside_sun,2023-07-13,76.08,101.07,56.2,25.27,4_fair_plus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_05,2023-07-12,FENC,5,upper,oceanside_sun,2023-07-13,123.75,137.53,52.65,33.85,3_good_minus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_06,2023-07-12,FENC,6,lower,oceanside_sun,2023-07-13,65.35,121.67,55.74,22.39,4_fair_plus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_07,2023-07-12,FENC,7,lower,oceanside_sun,2023-07-13,90.1,91.35,57.74,22.67,3_good_minus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_08,2023-07-12,FENC,8,lower,oceanside_sun,2023-07-13,73.91,104.03,63.47,23.3,3_good_minus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_09,2023-07-12,FENC,9,lower,oceanside_sun,2023-07-13,117.72,119.32,55.38,24.37,2_good,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_10,2023-07-12,FENC,10,lower,oceanside_sun,2023-07-13,60.78,98.31,52.63,30.28,5_fair,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_11,2023-07-12,FENC,11,upper,under_bridge,2023-07-13,62.3,121.28,51.64,16.27,3_good_minus,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_12,2023-07-12,FENC,12,upper,under_bridge,2023-07-13,63.96,106.46,53.6,18.69,3_good_minus,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
0723FENC_13,2023-07-12,FENC,13,upper,under_bridge,2023-07-13,64.3,96.73,49.95,25.53,2_good,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,FALSE,TRUE,2023-07-13,,,,,,,,,,,,,,
